"Department","Course Code","Title","Credits","Description"
"Computer Science and Engineering (CSE)","CSE 414","Introduction to Database Systems","4","CSE 414 Introduction to Database Systems (4)Introduces database management systems and writing applications that use such systems; data models, query languages, transactions, database tuning, data warehousing, and parallelism. Intended for non-majors. Course overlaps with: CSE 344. Prerequisite: a minimum grade of 2.5 in either CSE 123, CSE 143, or CSE 163."
"Computer Science and Engineering (CSE)","CSE 415","Introduction to Artificial Intelligence","3","CSE 415 Introduction to Artificial Intelligence (3) NScPrinciples and techniques for automated rational decision-making by machines.  Key approaches include search, Markov Decision Processes, graphical models, Bayesian reasoning, reinforcement learning, neural networks, and other topics in artificial intelligence and machine learning. Draws examples from multiple application domains and considers societal consequences of automation and bias.  Intended for non-majors. Course overlaps with: CSE 473; CSS 382; and TCSS 435. Prerequisite: CSE 373."
"Computer Science and Engineering (CSE)","CSE 416","Introduction to Machine Learning","4","CSE 416 Introduction to Machine Learning (4) NScProvides practical introduction to machine learning. Modules include regression, classification, clustering, retrieval, recommender systems, and deep learning, with a focus on an intuitive understanding grounded in real-world applications. Intelligent applications are designed and used to make predictions on large, complex datasets. Course overlaps with: CEE 415; CSS 486; TCSS 435; and TCSS 455. Prerequisite: either CSE 123, CSE 143, CSE 160, or CSE 163; and either STAT 311, STAT 390, STAT 391, IND E 315, MATH 394/STAT 394, STAT 395/MATH 395, or Q SCI 381. Offered: jointly with STAT 416."
"Computer Science and Engineering (CSE)","CSE 417","Algorithms and Computational Complexity","3","CSE 417 Algorithms and Computational Complexity (3)Design and analysis of algorithms and data structures. Efficient algorithms for manipulating graphs and strings. Fast Fourier Transform. Models of computation, including Turing machines. Time and space complexity. NP-complete problems and undecidable problems. Intended for non-majors. Prerequisite: CSE 373."
"Computer Science and Engineering (CSE)","CSE 421","Introduction to Algorithms","3","CSE 421 Introduction to Algorithms (3)Techniques for design of efficient algorithms. Methods for showing lower bounds on computational complexity. Particular algorithms for sorting, searching, set manipulation, arithmetic, graph problems, pattern matching. Course overlaps with: CSS 449. Prerequisite: CSE 312; CSE 332."
"Computer Science and Engineering (CSE)","CSE 422","Toolkit for Modern Algorithms","3","CSE 422 Toolkit for Modern Algorithms (3)A rigorous introduction to the principles of modern algorithm design, with a particular focus on the analysis of large, noisy data sets, and the algorithmic principles underlying modern statistics and machine learning. Students reason about and implement contemporary algorithms, and analyze their behavior on real-world data sets. Prerequisite: CSE 312; CSE 332; and MATH 208."
"Computer Science and Engineering (CSE)","CSE 426","Cryptography","4","CSE 426 Cryptography (4)Rigorous introduction to modern cryptography. Design and application of important cryptographic objects, such as encryption, message authentication, and zero-knowledge proofs. Students learn to formalize security goals, design schemes for achieving these goals, and study security attacks or security proofs that establish the security or insecurity of schemes. Prerequisite: CSE 312."
"Computer Science and Engineering (CSE)","CSE 427","Computational Biology","3","CSE 427 Computational Biology (3)Algorithmic and analytic techniques underlying analysis of large-scale biological data sets such as DNA, RNA, and protein sequences or structures, expression and proteomic profiling. Hands-on experience with databases, analysis tools, and genome markers. Applications such as sequence alignment, BLAST, phylogenetics, and Markov models. Prerequisite: CSE 312; CSE 332."
"Computer Science and Engineering (CSE)","CSE 428","Computational Biology Capstone","5","CSE 428 Computational Biology Capstone (5)Designs and implements a software tool or software analysis for an important problem in computational molecular biology. Prerequisite: CSE 312; CSE 331; CSE 332."
"Computer Science and Engineering (CSE)","CSE 431","Introduction to Theory of Computation","3","CSE 431 Introduction to Theory of Computation (3)Models of computation, computable and noncomputable functions, space and time complexity, tractable and intractable functions. Prerequisite: CSE 312."
"Computer Science and Engineering (CSE)","CSE 434","Introduction to Quantum Computation","4","CSE 434 Introduction to Quantum Computation (4)Basic theory of quantum information and computation, including applications and phenomena. Builds from qubits, measurements, and quantum gates toward applications including key distribution, entanglement, non-locality, and quantum algorithms including Grover search and Shor's factoring. Includes writing quantum programs. Prerequisite: MATH 208 and CSE 312."
"Computer Science and Engineering (CSE)","CSE 438","Computational Neuroscience","3","CSE 438 Computational Neuroscience (3)Introduction to computational methods for understanding nervous systems and the principles governing their operation. Topics include representation of information by spiking neurons, information processing in neural circuits, and algorithms for adaptation and learning. Prerequisite: MATH 126 or MATH 136; MATH 208; and CSE 312."
"Computer Science and Engineering (CSE)","CSE 440","Introduction to HCI: User Interface Design, Prototyping, and Evaluation","5","CSE 440 Introduction to HCI: User Interface Design, Prototyping, and Evaluation (5)Human-Computer Interaction (HCI) theory and techniques. Methods for designing, prototyping, and evaluating user interfaces to computing applications. Human capabilities, interface technology, interface design methods, and interface evaluation tools and techniques. Prerequisite: CSE 332."
"Computer Science and Engineering (CSE)","CSE 441","Advanced HCI: Advanced User Interface Design, Prototyping, and Evaluation","5","CSE 441 Advanced HCI: Advanced User Interface Design, Prototyping, and Evaluation (5)Human-Computer Interaction (HCI) theory and techniques. Advanced methods for designing, prototyping, and evaluating user interfaces to computing applications. Novel interface technology, advanced interface design methods, and prototyping tools. Prerequisite: CSE 440."
"Computer Science and Engineering (CSE)","CSE 442","Data Visualization","4","CSE 442 Data Visualization (4)Techniques for creating effective visualizations of data based on principles from graphic design, perceptual psychology, and statistics. Topics include visual encoding models, exploratory data analysis, visualization software, interaction techniques, graphical perception, color, animation, high-dimensional data, cartography, network visualization, and text visualization. Course overlaps with: CSE 412; INFO 474; and STAT 451. Prerequisite: CSE 332."
"Computer Science and Engineering (CSE)","CSE 443","Digital Accessibility","4","CSE 443 Digital Accessibility (4) DIVCovers designing and implementing computing systems that empower and improve autonomy for all users, including those with disabilities.  Presents conceptual approaches to accessibility as both a radical choice and a legal obligation. Covers assessing and removing inaccessibility barriers in documents, applications, websites, and physical-digital interfaces. Applies disability justice and related perspectives in digital and interpersonal contexts. Prerequisite: CSE 340."
"Computer Science and Engineering (CSE)","CSE 444","Database Systems Internals","4","CSE 444 Database Systems Internals (4)The relational data model and the SQL query language. Conceptual modeling: entity/relationships, normal forms. XML, XPath, and XQuery. Transactions: recovery and concurrency control. Implementation of a database system. A medium sized project using a rational database backend. Course overlaps with: TCSS 446. Prerequisite: CSE 332; and either CSE 344 or CSE 414."
"Computer Science and Engineering (CSE)","CSE 446","Machine Learning","4","CSE 446 Machine Learning (4)Design of efficient algorithms that learn from data. Representative topics include supervised learning, unsupervised learning, regression and classification, deep learning, kernel methods, and optimization. Emphasis on algorithmic principles and how to use these tools in practice. Prerequisite: CSE 332; MATH 208 or MATH 136; and either STAT 390, STAT 391, or CSE 312."
"Computer Science and Engineering (CSE)","CSE 447","Natural Language Processing","4","CSE 447 Natural Language Processing (4)Methods for designing systems that usefully and/or intelligently process natural language text data.  Language models, text categorization, syntactic and semantic analysis, machine translation.  This course emphasizes algorithms and data-driven methods. Course overlaps with: CSS 488 and TCSS 456. Prerequisite: CSE 312 and CSE 332; recommended: MATH 208; and CSE 446 is recommended before or concurrently."
"Computer Science and Engineering (CSE)","CSE 450","Animation Production Seminar","1","CSE 450 Animation Production Seminar (1)Open to all students who have an interest in digital animation. Reviews and analyzes films, animated feature films, and television commercials. Emphasizes the technical and aesthetic basics of animation production in industry studio environments."
"Computer Science and Engineering (CSE)","CSE 451","Introduction to Operating Systems","4","CSE 451 Introduction to Operating Systems (4)Principles of operating systems. Process management, memory management, auxiliary storage management, resource allocation. Course overlaps with: CSE 410; CSS 430; and TCES 420. Prerequisite: CSE 332; CSE 333; and CSE 351."
"Computer Science and Engineering (CSE)","CSE 452","Introduction to Distributed Systems","4","CSE 452 Introduction to Distributed Systems (4)Covers abstractions and implementation techniques in the construction of distributed systems, including cloud computing, distributed storage systems, and distributed caches. Prerequisite: CSE 332 and CSE 333. ; recommended: CSE 451"
"Computer Science and Engineering (CSE)","CSE 453","Datacenter Systems","4","CSE 453 Datacenter Systems (4)Datacenter server, network, storage, security, and energy management technologies.  Virtualization, I/O architectures, resource isolation and provisioning, disaggregation, quality of service, and tail latency. Prerequisite: CSE 332 and CSE 333; recommended: CSE 451 or CSE 452."
"Computer Science and Engineering (CSE)","CSE 454","Advanced Internet and Web Services","5","CSE 454 Advanced Internet and Web Services (5)Design of Internet search engines, including spider architecture, inverted indices, frequency rankings, latent semantic indexing, hyperlink analysis, and refinement interfaces. Construction of scalable and secure web services. Datamining webserver logs to provide personalized and user-targeted services. Large project. Prerequisite: CSE 332; CSE 351; either CSE 331 or CSE 352."
"Computer Science and Engineering (CSE)","CSE 455","Computer Vision","4","CSE 455 Computer Vision (4)Introduction to image analysis and interpreting the 3D world from image data. Topics may include segmentation, motion estimation, image mosaics, 3D-shape reconstruction, object recognition, and image retrieval. Prerequisite: CSE 332."
"Computer Science and Engineering (CSE)","CSE 456","Story Design for Computer Animation","4","CSE 456 Story Design for Computer Animation (4)Animation principles and production for story development and design. Design, development, and production of several storyreels, which are a tool for the pre-production of animated features and shorts. Student use authoring tools to present finished work."
"Computer Science and Engineering (CSE)","CSE 457","Computer Graphics","4","CSE 457 Computer Graphics (4)Introduction to computer image synthesis, modeling, and animation. Topics may include visual perception, displays and framebuffers, image processing, affine and projective transformations, hierarchical modeling, hidden surface elimination, shading, ray-tracing, anti-aliasing, texture mapping, curves, surfaces, particle systems, dynamics, character animation, and animation principles. Prerequisite: CSE 332."
"Computer Science and Engineering (CSE)","CSE 458","Computer Animation","5","CSE 458 Computer Animation (5)Introduction to basic principles of computer generated animation. Focus on the modeling and lighting of animated characters. Students from art, CSE, and music team up on projects to be built on commercially-available modeling and lighting packages. Prerequisite: CSE 457."
"Computer Science and Engineering (CSE)","CSE 459","Pre-Production for Collaborative Animation","5","CSE 459 Pre-Production for Collaborative Animation (5)Pre-production of collaboratively designed animated shorts. In-depth analysis of classical and computer generated works. Character design and pre-planning, model sheets, character rigging, storyreel and animatics, character motion, design for multiple characters, and principles of animation as applied to character motion and effects. Prerequisite: CSE 458."
"Computer Science and Engineering (CSE)","CSE 460","Animation Capstone","5","CSE 460 Animation Capstone (5)Apply the knowledge gained in previous animation courses to produce a short animated film. Topics include scene planning, digital cinematography, creature and hard surface modeling, animatics and basics of character animation, and rendering techniques. Prerequisite: CSE 458, CSE 459."
"Computer Science and Engineering (CSE)","CSE 461","Introduction to Computer-Communication Networks","4","CSE 461 Introduction to Computer-Communication Networks (4)Computer network architectures, protocol layers, network programming. Transmission media, encoding systems, switching, multiple access arbitration. Network routing, congestion control, flow control. Transport protocols, real-time, multicast, network security. Course overlaps with: CSS 431; T INFO 250; and TCES 425. Prerequisite: either CSE 326 or CSE 332; either CSE 303 or CSE 333."
"Computer Science and Engineering (CSE)","CSE 462","Wireless Communication","4","CSE 462 Wireless Communication (4)Fundamentals of wireless communication. Reliable communication over noisy, unreliable channels.  Signal to noise ratio, frequency domain analysis, bandwidth, capacity of noisy communication channels, modulation, channel coding, error detection, error correction. Connection between machine learning and communication such as decoding as inference and learning as compression. Prerequisite: MATH 208 and CSE 333."
"Computer Science and Engineering (CSE)","CSE 464","Advanced Topics in Digital Animation","1-5, max. 10","CSE 464 Advanced Topics in Digital Animation (1-5, max. 10)Students design individual animated works for professional quality demo reels. 2- and 3-D animatics, special effects design, advanced character animation techniques, 3-D paint techniques and integration, short design, sequence planning, non-photorealistic rendering options, interactive animation for pre-planning, and advanced production techniques and strategies."
"Computer Science and Engineering (CSE)","CSE 469","Computer Architecture I","5","CSE 469 Computer Architecture I (5)Introduction to computer architecture. Assembly and machine language, microprocessor organization including control and datapath. Computer arithmetic. Memory systems and caching. Performance modeling of microprocessors. Prerequisite: either E E 271 or CSE 369;  and either CSE 123 or CSE 143. Offered: jointly with E E 469."
"Computer Science and Engineering (CSE)","CSE 470","Computer Architecture II","4","CSE 470 Computer Architecture II (4)Advanced computer architecture. Performance evaluation and energy efficiency. Instruction set architectures. Instruction-level parallelism. Modern microprocessor micro-architecture. Thread-level parallelism. Cache coherency and memory consistency in shared-memory multiprocessors. Memory hierarchy. GPU architecture. Warehouse-scale computing. Trends in computer design. Prerequisite: either CSE 469 or E E 469. Offered: jointly with E E 470."
"Computer Science and Engineering (CSE)","CSE 472","Introduction to Computational Linguistics","5","CSE 472 Introduction to Computational Linguistics (5) A&H/NScIntroduction to computational approaches to modeling language, for linguistic research and practical applications, including analyses at different levels of linguistic structure and symbolic as well as statistical approaches. Prerequisite: either LING 200 or LING 400; either LING 461 or CSE 311. Offered: jointly with LING 472."
"Computer Science and Engineering (CSE)","CSE 473","Artificial Intelligence","3","CSE 473 Artificial Intelligence (3)Principal ideas and developments in artificial intelligence: Problem solving and search, game playing, knowledge representation and reasoning, uncertainty, machine learning, natural language processing. Course overlaps with: CSE 415; CSS 382; and TCSS 435. Prerequisite: CSE 312 and CSE 332."
"Computer Science and Engineering (CSE)","CSE 474","Introduction to Embedded Systems","4","CSE 474 Introduction to Embedded Systems (4)Introduces the specification, design, development, and test of real time embedded system software. Use of a modern embedded microcomputer or microcontroller as a target environment for a series of laboratory projects and a comprehensive final project. Course overlaps with: B ME 460; CSS 427; and TCES 460. Prerequisite: CSE 123 or CSE 143 Offered: jointly with E E 474; AWSpS."
"Computer Science and Engineering (CSE)","CSE 475","Embedded Systems Capstone","5","CSE 475 Embedded Systems Capstone (5)Capstone design experience. Prototype a substantial project mixing hardware, software, and communications. Focuses on embedded processors, programmable logic devices, and emerging platforms for the development of digital systems. Provides a comprehensive experience in specification, design, and management of contemporary embedded systems. Course overlaps with: TME 441. Prerequisite: E E 271 or CSE 369; and E E 472 or CSE 474/E E 474. Offered: jointly with E E 475."
"Computer Science and Engineering (CSE)","CSE 478","Autonomous Robotics","4","CSE 478 Autonomous Robotics (4)Theory and application of algorithms and probabilistic techniques for autonomous robotics. Covers topics related to state estimation (Bayes filtering, probabilistic motion and sensor models), planning/control (search based planners, lattice based planners, trajectory following techniques), and perception and learning (object detection, learning from demonstrations etc.). Prerequisite: CSE 332; recommended: CSE 312; MATH 208."
"Computer Science and Engineering (CSE)","CSE 480","Computer Ethics Seminar","1-3, max. 5","CSE 480 Computer Ethics Seminar (1-3, max. 5) DIVReading and discussion seminar on the ethical issues surrounding sociotechnical systems and their impacts on society.  Includes historical perspectives and current topics.  Relates computer technology to ethical questions of power, politics, equity, privacy, autonomy, and more. Credit/no-credit only."
"Computer Science and Engineering (CSE)","CSE 481","Capstone Software Design","5, max. 15","CSE 481 Capstone Software Design (5, max. 15)Student teams design and implement a software project involving multiple areas of the CSE curriculum. Course emphasizes the development process, rather than the product. Prerequisite: CSE 312; CSE 332; CSE 351; and either CSE 331, CSE 333, or CSE 369."
"Computer Science and Engineering (CSE)","CSE 482","Capstone Software Design to Empower Underserved Populations","5, max. 15","CSE 482 Capstone Software Design to Empower Underserved Populations (5, max. 15) DIVStudents work in teams to design and implement a software project involving multiple areas of the CSE curriculum, for the purpose of empowering marginalized or underserved populations. Prerequisite: CSE 332; CSE 351; either CSE 331 or CSE 352."
"Computer Science and Engineering (CSE)","CSE 484","Computer Security","4","CSE 484 Computer Security (4)Foundations of modern computer security, including software security, operating system security, network security, applied cryptography, human factors, authentication, anonymity, and web security. Course overlaps with: E E 468. Prerequisite: CSE 332; CSE 351."
"Computer Science and Engineering (CSE)","CSE 486","Introduction to Synthetic Biology","3","CSE 486 Introduction to Synthetic Biology (3)Studies mathematical modeling of transcription, translation, regulation, and metabolism in cell; computer aided design methods for synthetic biology; implementation of information processing, Boolean logic and feedback control laws with genetic regulatory networks; modularity, impedance matching and isolation in biochemical circuits; and parameter estimation methods. Prerequisite: either MATH 136, MATH 207, MATH 307, AMATH 351, or CSE 311; and either MATH 208, MATH 308, or AMATH 352. Offered: jointly with BIOEN 423/CHEM E 476/E E 423."
"Computer Science and Engineering (CSE)","CSE 487","Advanced Systems and Synthetic Biology","3","CSE 487 Advanced Systems and Synthetic Biology (3)Covers advanced concepts in system and synthetic biology. Includes kinetics, modeling, stoichiometry, control theory, metabolic systems, signaling, and motifs. All topics are set against problems in synthetic biology. Prerequisite: E E 423/BIOEN 423/CHEM E 476/CSE 486. Offered: jointly with BIOEN 424/CHEM E 477/E E 424."
"Computer Science and Engineering (CSE)","CSE 488","Laboratory Methods in Synthetic Biology","4","CSE 488 Laboratory Methods in Synthetic Biology (4)Designs and builds transgenic bacterial using promoters and genes taken from a variety of organisms. Uses construction techniques including recombination, gene synthesis, and gene extraction. Evaluates designs using sequencing, fluorescence assays, enzyme activity assays, and single cell studies using time-lapse microscopy. Prerequisite: E E 423/BIOEN 423/CHEM E 476/CSE 486; and either CHEM 142, CHEM 143, or CHEM 145. Offered: jointly with BIOEN 425/CHEM E 478/E E 425."
"Computer Science and Engineering (CSE)","CSE 490","Special Topics in Computer Science and Engineering","1-5, max. 15","CSE 490 Special Topics in Computer Science and Engineering (1-5, max. 15)Lectures, discussions, and possibly labs on topics of current interest in computer science and engineering not covered by other CSE undergraduate courses."
"Computer Science and Engineering (CSE)","CSE 491","Data Science and Society Seminar","1","CSE 491 Data Science and Society Seminar (1)Current topics related to the societal implications of data science. Topic selection will vary from quarter to quarter and may include data privacy and security, data anonymization, hypothesis-testing on a shared database, impact of data science-based decisions on society. Includes both guest speakers and case-study or article-based discussions. Credit/no-credit only. Credit/no-credit only."
"Computer Science and Engineering (CSE)","CSE 492","Undergraduate Seminar","1-2, max. 5","CSE 492 Undergraduate Seminar (1-2, max. 5)Seminars on current topics in computer science and engineering. Topic selection will vary from quarter to quarter. Credit/no-credit only."
"Computer Science and Engineering (CSE)","CSE 493","Advanced Special Topics in Computer Science and Engineering","1-5, max. 15","CSE 493 Advanced Special Topics in Computer Science and Engineering (1-5, max. 15)Advanced topics in computer science and engineering."
"Computer Science and Engineering (CSE)","CSE 495","Project Practicum","[1-5]-, max. 5","CSE 495 Project Practicum ([1-5]-, max. 5)Available in special situations for computer science majors to compete, under instructor guidance, a substantial computing project that deepens one's knowledge and experience in the field. Projects may involve a group of students."
"Computer Science and Engineering (CSE)","CSE 496","Honors Undergraduate Research","1-9, max. 9","CSE 496 Honors Undergraduate Research (1-9, max. 9)Undergraduate research or design project carried out under the supervision of a faculty sponsor."
"Computer Science and Engineering (CSE)","CSE 497","Undergraduate Research Seminar","1","CSE 497 Undergraduate Research Seminar (1)Students prepare and give a public talk on their faculty-sponsored research projects."
"Computer Science and Engineering (CSE)","CSE 498","Undergraduate Research","1-9, max. 9","CSE 498 Undergraduate Research (1-9, max. 9)Undergraduate research carried out under the supervision of a faculty sponsor."
"Computer Science and Engineering (CSE)","CSE 499","Reading and Research","1-24, max. 24","CSE 499 Reading and Research (1-24, max. 24)Available in special situations for advanced computer science majors to do reading and research in field, subject to approval of undergraduate adviser and CSE faculty member. Free elective, but does not replace core course or computer science elective. Credit/no-credit only."
"Computer Science and Engineering (CSE)","CSE 501","Programming Language Analysis and Implementation","4","CSE 501 Programming Language Analysis and Implementation (4)Design and implementation of compilers and run-time systems for imperative, object-oriented, and functional languages. Intra- and interprocedural analyses and optimizations. Prerequisite: CSE 341."
"Computer Science and Engineering (CSE)","CSE 503","Software Engineering","4","CSE 503 Software Engineering (4)Specification, implementation, and testing of large, multiperson, software systems. Topics include abstraction, information hiding, software development environments, and formal specifications."
"Computer Science and Engineering (CSE)","CSE 504","Advanced Topics in Software Engineering","4","CSE 504 Advanced Topics in Software Engineering (4)Topics vary but may include software design and evolution, formal methods, requirements specifications, software and system safety, reverse engineering, real-time software, metrics and measurement, programming environments, and verification and validation."
"Computer Science and Engineering (CSE)","CSE 505","Principles of Programming Languages","4","CSE 505 Principles of Programming Languages (4)Design and formal semantics of modern programming languages, includes functional and object-oriented languages. Prerequisite: CSE 341."
"Computer Science and Engineering (CSE)","CSE 506","Advanced Topics in Programming Languages","4","CSE 506 Advanced Topics in Programming Languages (4)May include functional, object-oriented, parallel, and logic programming languages; semantics for languages of these kinds; type declaration, inference, and checking (including polymorphic types); implementation issues, such as compilation, lazy evaluation, combinators, parallelism, various optimization techniques. Implementation project required. Prerequisite: CSE 501 which may be taken concurrently, and CSE 505."
"Computer Science and Engineering (CSE)","CSE 507","Computer-Aided Reasoning for Software","4","CSE 507 Computer-Aided Reasoning for Software (4)Covers theory, implementation, and applications of automated reasoning techniques, such as satisfiability solving, theorem proving, model checking, and abstract interpretation. Topics include concepts from mathematical logic and applications of automated reasoning to the design, construction, and analysis of software."
"Computer Science and Engineering (CSE)","CSE 510","Advanced Topics in Human-Computer Interaction","4","CSE 510 Advanced Topics in Human-Computer Interaction (4)Content varies, including interface issues for networks, embedded systems, education applications, safety and critical systems, graphics and virtual reality, databases, and computer-supported cooperative work."
"Computer Science and Engineering (CSE)","CSE 512","Data Visualization","4","CSE 512 Data Visualization (4)Covers techniques and algorithms for creating effective visualizations based on principles from graphic design, visual art, perceptual psychology, and cognitive science. Topics include data and image models; visual encoding; graphical perception; color; animation; interaction techniques; graph layout; and automated design. Lectures, reading, and project."
"Computer Science and Engineering (CSE)","CSE 513","Disability Inclusion for Technologists","4","CSE 513 Disability Inclusion for Technologists (4)Introduction to the future of access technologies. Topics include disability justice; accessibility technology; creating accessible applications and websites; accessibility concerns in a wide variety of computational topics such as security, fabrication, and augmented reality; and the importance of technology in addressing accessibility concerns in the world at large."
"Computer Science and Engineering (CSE)","CSE 515","Statistical Methods in Computer Science","4","CSE 515 Statistical Methods in Computer Science (4)Introduction to the probabilistic and statistical techniques used in modern computer systems. Graphical models, probabilistic inference, statistical learning, sequential models, decision theory. Prerequisite: either CSE 312,STAT 341, STAT 391 or equivalent."
"Computer Science and Engineering (CSE)","CSE 517","Natural Language Processing","4","CSE 517 Natural Language Processing (4)Overview of modern approaches for natural language processing. Topics include language models, text, classification, tagging, parsing, machine translation, semantic, and discourse analysis."
"Computer Science and Engineering (CSE)","CSE 519","Current Research in Computer Science","1, max. 18","CSE 519 Current Research in Computer Science (1, max. 18)Weekly presentations on current research activities by members of the department. Only computer science graduate students may register, although others are encouraged to attend. Credit/no-credit only."
"Computer Science and Engineering (CSE)","CSE 520","Computer Science Colloquium","1, max. 18","CSE 520 Computer Science Colloquium (1, max. 18)Weekly public presentations on topics of current interest by visiting computer scientists. Credit/no-credit only."
"Computer Science and Engineering (CSE)","CSE 521","Design and Analysis of Algorithms I","4","CSE 521 Design and Analysis of Algorithms I (4)Principles of design of efficient algorithms: recursion, divide and conquer, balancing, dynamic programming, greedy method, network flow, linear programming. Correctness and analysis of algorithms. NP-completeness. Prerequisite: either CSE 332 or equivalent."
"Computer Science and Engineering (CSE)","CSE 522","Design and Analysis of Algorithms II","4","CSE 522 Design and Analysis of Algorithms II (4)Analysis of algorithms more sophisticated than those treated in CSE 521. Content varies and may include such topics as algebraic algorithms, combinational algorithms, techniques for proving lower bounds on complexity, and algorithms for special computing devices such as networks or formulas. Prerequisite: CSE 521."
"Computer Science and Engineering (CSE)","CSE 524","Parallel Algorithms","4","CSE 524 Parallel Algorithms (4)Design and analysis of parallel algorithms: fundamental parallel algorithms for sorting, arithmetic, matrix and graph problems, and additional selected topics. Emphasis on general techniques and approaches used for developing fast and efficient parallel algorithms and on limitations to their efficacy. Prerequisite: CSE 521."
"Computer Science and Engineering (CSE)","CSE 525","Randomized Algorithms and Probabilistic Analysis","4","CSE 525 Randomized Algorithms and Probabilistic Analysis (4)Examines algorithmic techniques: random selection, random sampling, backwards analysis, algebraic methods, Monte Carlo methods, and randomized rounding; random graphs; the probabilistic method; Markov chains and random walks; and analysis tools: random variables, moments and deviations, Chernoff bounds, martingales, and balls in bins. Prerequisite: either CSE 521 or equivalent."
"Computer Science and Engineering (CSE)","CSE 526","Cryptography","4","CSE 526 Cryptography (4)Introduction to the theoretical foundation of cryptography, teaching the design and application of selected important cryptographic objects, and the mathematical frameworks and methodologies of modern cryptography for formalizing security goals and developing provably secure solutions. Course overlaps with: CSS 527."
"Computer Science and Engineering (CSE)","CSE 527","Computational Biology","4","CSE 527 Computational Biology (4)Introduces computational methods leveraging artificial intelligence (AI) and machine learning (ML) techniques to understand biological systems and enhance healthcare. Utilizes various AI/ML techniques, including explainable AI, interpretable ML, deep learning, probabilistic graphical models, and causal inference.  Explores diverse problem areas such as genetics, epigenomics, transcriptomics, proteomics, imageomics, and electronic health records."
"Computer Science and Engineering (CSE)","CSE 528","Computational Neuroscience","3","CSE 528 Computational Neuroscience (3)Introduction to computational methods for understanding nervous systems and the principles governing their operation. Topics include representation of information by spiking neurons, information processing in neural circuits, and algorithms for adaptation and learning. Recommended: coursework in elementary calculus; linear algebra; and statistics. Offered: jointly with NEURO 528."
"Computer Science and Engineering (CSE)","CSE 529","Computational Genomics","4","CSE 529 Computational Genomics (4)Introduces computational and statistical approaches and practices for deriving robust and rigorous insights from modern genomics datasets.  Includes genomics-inspired problems in areas such as human genetics, regulatory genomics, and single cell genomics as well as relevant foundational statistical and computational concepts such as causal inference, hidden confounding factors, and model interpretation. Recommended: familiarity with general concepts in machine learning (e.g. CSE 446 or equivalent); and some familiarity with general principles of biology (e.g., college-level introductory course or equivalent)."
"Computer Science and Engineering (CSE)","CSE 531","Computational Complexity I","4","CSE 531 Computational Complexity I (4)Deterministic and nondeterministic time and space complexity, complexity classes, and complete problems. Time and space hierarchies. Alternation and the polynomial-time hierarchy. Circuit complexity. Probabilistic computation. Exponential complexity lower bounds. Interactive proofs. Prerequisite: either CSE 311 or equivalent."
"Computer Science and Engineering (CSE)","CSE 532","Computational Complexity II","4","CSE 532 Computational Complexity II (4)Advanced computational complexity including several of the following: circuit complexity lower bounds, #p and counting classes, probabilistically-checkable proofs, de-randomization, logical characteristics of complexity, communication complexity, time-space tradeoffs, complexity of data structures."
"Computer Science and Engineering (CSE)","CSE 533","Advanced Topics in Complexity Theory","4","CSE 533 Advanced Topics in Complexity Theory (4)An in-depth study of advanced topics in computational complexity."
"Computer Science and Engineering (CSE)","CSE 534","Quantum Information and Computation","4","CSE 534 Quantum Information and Computation (4)Introduction to quantum information and computation. Qubits, quantum gates, and measurements. Entanglement and non-locality. Density matrix formalism. Quantum algorithms: Simon's algorithm, Grover search, Shor's factoring, and Hamiltonian Simulation. Quantum error-correction. Recommended: either solid background in mathematics and/or theoretical computer science, or prior familiarity with quantum-computing fundamentals."
"Computer Science and Engineering (CSE)","CSE 535","Theory of Optimization and Continuous Algorithms","4","CSE 535 Theory of Optimization and Continuous Algorithms (4)Theoretical foundations of convex optimization and continuous algorithms. First-order methods, rates of convergence, and acceleration; gradient, subgradient, and mirror descent. Randomization, stochastic descent, leverage scores and sampling. Interior point methods. Linear systems in convex optimization. Algorithmic applications."
"Computer Science and Engineering (CSE)","CSE 541","Interactive Learning","4","CSE 541 Interactive Learning (4)Foundations and methods of interactive machine learning including multi-armed bandits, active learning, and adaptive experimental design. Stochastic and adversarial K-armed bandits, structured bandits, and contextual bandits. Online learning; adaptive data collection for supervised learning."
"Computer Science and Engineering (CSE)","CSE 542","Reinforcement Learning","4","CSE 542 Reinforcement Learning (4)Foundations of modern reinforcement learning. Topics may include Markov decision processes, value iteration, policy iteration, approximate dynamic programming, temporal difference learning, Q-learning, policy gradients, and imitation learning. Recommended: comfortable with programming; and working knowledge of linear algebra (MATH 208); vector calculus (MATH 126); probability and statistics (CSE 312 and STAT 390); algorithms (CSE 421); and machine learning (CSE 446 or CSE 546)."
"Computer Science and Engineering (CSE)","CSE 543","Deep Learning","4","CSE 543 Deep Learning (4)Foundations of modern deep learning and its applications. Topics include various forms of deep neural networks architectures such as convolution neural networks, recurrent networks, attention mechanism, training and optimization algorithms and their applications in domains such as computer vision, robotics, and natural language processing. Recommended: comfortable with programming; and working knowledge of linear algebra (MATH 208); vector calculus (MATH 126); probability and statistics (CSE 312 and STAT 390); algorithms (CSE 421); and machine learning (CSE 446 or CSE 546)."
