subject,code,credits,title,Description
LACS - Latin American and Caribbean Studies,ANTH(NAMS)(LACS) 4460/6460, 3 hours.,The Aztecs and the Maya,"Two indigenous urban societies of the Americas, from farming village beginnings to the Spanish conquest, and their lasting impact on modern middle American culture. Topics include ecology, economy, political organization, urbanism, militarism, beliefs, art, architecture, and literature."
LACS - Latin American and Caribbean Studies,ANTH(LACS) 4482/6482, 3 hours.,Archaeology of the Caribbean,"This history of archaeology in the Caribbean islands focuses on theories of migration, settlement patterns, subsistence strategies, and emergence of complex polities encountered by the first Europeans. The Caribbean region will be compared to adjacent areas along the Gulf Coast to explore the roots and limits of Caribbean traditions."
LACS - Latin American and Caribbean Studies,THEA(LACS) 4490/6490, 3 hours.,Latin American and Caribbean Theatre and Performance,Theatre and performance from several Latin American and Caribbean countries. Study of the history of theatre and performance in the region and a selection of plays by some of the best artists. Emphasis will be placed on theatre’s cultural influences and its sociopolitical role.
LACS - Latin American and Caribbean Studies,WMST(LACS) 4500/6500, 3 hours.,Latina Studies,"The study of Latina lives from a feminist perspective. Examination of research and writing about the lives of Latina women with a particular focus on the dynamics of communities in the United States, immigration, cultural values regarding gender, and effects of poverty and violence."
LACS - Latin American and Caribbean Studies,CMLT(AFST)(LACS) 4545/6545, 3 hours.,Comparative Postcolonial Studies,"Embracing a comparative approach that begins by excavating the foundations of post colonial theory, this course analyzes cultural production emanating from or relating to three distinct geographic areas: Latin America and the Caribbean, Africa, and Asia. The course will explore the changing nature of the relationship between the periphery and the core of an increasingly globalized economy."
LACS - Latin American and Caribbean Studies,AFST(RELI)(LACS) 4620/6620, 3 hours.,African Religion in Diaspora,"Diasporic movement, sustainability, modifications, syncretic tendencies of African Derived Religions in the Americas, especially Brazil, Cuba, Haiti, and North America."
LACS - Latin American and Caribbean Studies,FILM(LACS) 4640/6640, 3 hours.,Latin American Film and Media,"A historical survey of cinema and related audio(visual) media, including radio, television, and digital media, in Latin America. The course traces the role played by cinema and media in nation-building in Latin American countries as well as the relationship between film aesthetics, politics, and globalization."
LACS - Latin American and Caribbean Studies,FILM(LACS) 4640I/6640I, 3 hours. 2 hours lecture and 2 hours lab per week.,Latin American Film and Media,"A historical survey of cinema and related audio(visual) media, including radio, television, and digital media, in Latin America. The course traces the role played by cinema and media in nation-building in Latin American countries as well as the relationship between film aesthetics, politics, and globalization."
LACS - Latin American and Caribbean Studies,ECHD(LACS) 4660/6660, 3 hours.,U.S. Latino/a Mental Health: An Introduction,"An overview of Latino/a mental health issues in the United States from the perspective of well-being, cultural strengths, and empowerment. Students will examine the strengths and resiliency of U.S. Latinos/as and critically examine structural and societal barriers in the U.S. that result in stress and mental illness in this population."
LACS - Latin American and Caribbean Studies,LACS(CMLT) 4700/6700, 3 hours. Repeatable for maximum 9 hours credit.,Special Topics in Latin American and Caribbean Transnational Comparative Studies,"Focuses on two or more Latin American and/or Caribbean countries (e.g., Peru and Bolivia) or at least one Latin American county and another country outside of Latin America (e.g., Brazil and Angola). The approach could be discipline- specific (e.g., literature) or interdisciplinary (e.g., anthropology and linguistics)."
LACS - Latin American and Caribbean Studies,ALDR(AFST)(LACS) 4710E/6710E, 3 hours.,International Agricultural Development,"Analysis of international development programs, stressing the developing world's perspective. Study of issues affecting international cooperation, agricultural development and sustainability, technology transfer, and extension education."
LACS - Latin American and Caribbean Studies,ALDR(AFST)(LACS) 4710/6710, 3 hours.,International Agricultural Development,"Analysis of international development programs, stressing the developing world's perspective. Study of issues affecting international cooperation, agricultural development and sustainability, technology transfer, and extension education."
LACS - Latin American and Caribbean Studies,GEOG(LACS) 4720/6720, 3 hours.,Geography of Latin America,"The geography of Latin America, including physical, cultural, and economic characteristics of different regions. Prospects for expansion of settlement, development of resources, and growth of industries."
LACS - Latin American and Caribbean Studies,LACS 4800, 3-9 hours.,Latin American and Caribbean Studies Internship,Students are permitted to enter an organization to obtain practical and applied experience. Work is conducted in a Latin American or Caribbean language. A scholarly research paper relating this experience to academic work is required.
LACS - Latin American and Caribbean Studies,LACS 4900, 3 hours. Repeatable for maximum 9 hours credit.,Special Topics in Latin American and Caribbean Studies,Current topics in Latin America and/or the Caribbean.
LACS - Latin American and Caribbean Studies,LACS 4911, 3 hours.,Latin American and Caribbean Studies Senior Capstone Seminar,To enhance the knowledge gained and deepen the appreciation of Latin American and Caribbean Studies. Students will demonstrate proficiency in the major regional language of choice.
LACS - Latin American and Caribbean Studies,LACS 4960R, 1-6 hours. Repeatable for maximum 16 hours credit.,Faculty-Mentored Undergraduate Research I,"Faculty-supervised independent or collaborative inquiry into fundamental and applied problems within a discipline that requires students to gather, analyze, synthesize, and interpret data and to present results in writing and other relevant communication formats."
LACS - Latin American and Caribbean Studies,LACS 4970R, 1-6 hours. Repeatable for maximum 8 hours credit.,Faculty-Mentored Undergraduate Research II,"Faculty-supervised independent or collaborative inquiry into fundamental and applied problems within a discipline that requires students to gather, analyze, synthesize, and interpret data and to present results in writing and other relevant communication formats."
LACS - Latin American and Caribbean Studies,LACS 4980R, 1-6 hours. Repeatable for maximum 8 hours credit.,Faculty-Mentored Undergraduate Research III,"Faculty-supervised independent or collaborative inquiry into fundamental and applied problems within a discipline that requires students to gather, analyze, synthesize, and interpret data and to present results in writing and other relevant communication formats."
LACS - Latin American and Caribbean Studies,LACS 4990R, 1-6 hours. Repeatable for maximum 8 hours credit.,Undergraduate Research Thesis (or Final Project),"Faculty-supervised independent or collaborative inquiry into fundamental and applied problems within a discipline that requires students to gather, analyze, synthesize, and interpret data. Students will write or produce a thesis or other professional capstone product, such as a report or portfolio that describes their systematic and in-depth inquiry."
LACS - Latin American and Caribbean Studies,JRLC(LACS) 5060, 3 hours.,"Telenovelas, Culture, and Society","Examination of the connections between media, culture, and society as participants study the world's most watched television genre: the Latin American telenovela. The class focuses on the genre's contexts of production, consumption, regulation, and globalization, and analyzes telenovelas as a public forum for the negotiation of sociocultural issues."
LACS - Latin American and Caribbean Studies,EDUC(LACS) 5710/7710, 3 hours.,Issues in Latino Education,"An overview of important patterns and issues in education relating to Hispanic/Latino students K-12 and post-secondary, statewide and nationally. Includes history, cultural context, policy issues and trends, challenges faced by Latinos in school, implications for practice, and current research."
LAMS - Large Animal Medicine and Surgery,LAMS 1101E, 1 hour.,Studying for Success,"An introduction to three learning strategies proven to enhance long-term retention of new material. Rather than relying on techniques that promote short-term memorization of facts for exams and result in little to no retention afterwards, students will complete three modules, each of which focuses on a proven study strategy. Students will have opportunities to practice each strategy within the course and will receive advice about how best to use them going forward."
LAMS - Large Animal Medicine and Surgery,LAMS 1110E, 1 hour.,Preparing for Healthcare,"Introduces concepts students will encounter in prerequisite courses for medical, physician assistant, dental, or veterinary school. Illustrations, animations, and interactive models will reinforce the role each concept plays in a disease encountered in healthcare, thereby allowing students to see the impact of these concepts on their chosen profession."
LAMS - Large Animal Medicine and Surgery,LAMS 3000E, 1 hour.,Foundations of Clinical Medicine I,"This course is designed like Foundations of Clinical Medicine II and Foundations of Clinical Medicine III, neither of which is required to take this course. Students will complete three modules that address biomedical concepts encountered by healthcare professionals. These modules will be presented in a clinical context and will use four learning modalities to address them: reading text, viewing animations and illustrations, watching videos, and answering questions."
LAMS - Large Animal Medicine and Surgery,LAMS 3010E, 1 hour.,Foundations of Clinical Medicine II,"This course is designed like Foundations of Clinical Medicine I and Foundations of Clinical Medicine III, neither of which is required to take this course. Students will complete three modules that address biomedical concepts encountered by healthcare professionals. These modules will be presented in a clinical context and will use four learning modalities to address them: reading text, viewing animations and illustrations, watching videos, and answering questions."
LAMS - Large Animal Medicine and Surgery,LAMS 3020E, 1 hour.,Foundations of Clinical Medicine III,"This course is designed like Foundations of Clinical Medicine I and Foundations of Clinical Medicine II, neither of which is required to take this course. Students will complete three modules that address biomedical concepts encountered by healthcare professionals. These modules will be presented in a clinical context and will use four learning modalities to address them: reading text, viewing animations and illustrations, watching videos, and answering questions."
LAMS - Large Animal Medicine and Surgery,LAMS 4960R, 1-6 hours. Repeatable for maximum 16 hours credit.,Faculty-Mentored Undergraduate Research I,"Faculty-supervised independent or collaborative inquiry into fundamental and applied problems within a discipline that requires students to gather, analyze, synthesize, and interpret data and to present results in writing and other relevant communication formats."
LAMS - Large Animal Medicine and Surgery,LAMS 4970R, 1-6 hours. Repeatable for maximum 8 hours credit.,Faculty-Mentored Undergraduate Research II,"Faculty-supervised independent or collaborative inquiry into fundamental and applied problems within a discipline that requires students to gather, analyze, synthesize, and interpret data and to present results in writing and other relevant communication formats."
LAMS - Large Animal Medicine and Surgery,LAMS 4980R, 1-6 hours. Repeatable for maximum 8 hours credit.,Faculty-Mentored Undergraduate Research III,"Faculty-supervised independent or collaborative inquiry into fundamental and applied problems within a discipline that requires students to gather, analyze, synthesize, and interpret data and to present results in writing and other relevant communication formats."
LAMS - Large Animal Medicine and Surgery,LAMS 4990R, 1-6 hours. Repeatable for maximum 8 hours credit.,Undergraduate Research Thesis (or Final Project),"Faculty-supervised independent or collaborative inquiry into fundamental and applied problems within a discipline that requires students to gather, analyze, synthesize, and interpret data. Students will write or produce a thesis or other professional capstone product, such as a report or portfolio that describes their systematic and in-depth inquiry."
LAMS - Large Animal Medicine and Surgery,LAMS 5150-5150L, 1.3 hours. Repeatable for maximum 2.6 hours credit.,Physical Diagnosis,Veterinary clinical diagnostic procedures. Techniques and procedures necessary to perform physical diagnosis on the animal are practiced in the clinic on normal and abnormal animals.
LAMS - Large Animal Medicine and Surgery,LAMS(POPH) 5160, 1.5 hours.,Large Animal Infectious Diseases,"A review of the principles of infectious diseases of large animals, the mechanisms by which microorganisms infect and cause disease, how the immune response contributes to disease, the principles of infectious disease epidemiology, and how antimicrobials and vaccines can be used rationally to control these diseases."
LAMS - Large Animal Medicine and Surgery,SAMS(LAMS) 5201, 1.3 hours.,Advanced Clinical Dermatology,"Practical application of the course material/knowledge base acquired in the Dermatology core course. The course is based on problem/symptom-oriented, case-based discussions."
LAMS - Large Animal Medicine and Surgery,LAMS 5203-5203L, 1.1 hours. Repeatable for maximum 2.2 hours credit.,Principles of Anesthesia,Principles and application of anesthesia to large and small animals.
LAMS - Large Animal Medicine and Surgery,SAMS(LAMS) 5205-5205L, 1 hour. 1 hours lecture and 1 hours lab per week.,Comparative Clinical Dermatology,"Basic morphologic reactions of skin to disease processes, diagnostic techniques, important skin diseases in small and large animals, and current therapy."
LAMS - Large Animal Medicine and Surgery,LAMS 5211-5211L, 1 hour. Repeatable for maximum 2 hours credit. 1 hours lecture and 1 hours lab per week.,Equine Dentistry,"An introduction to equine dentistry. Topics to be covered include: instrumentation, sedation, handling, floating with hand and power tools. Extraction of deciduous and permanent teeth via intraoral extraction and various surgical techniques. The labs will involve both cadaver skulls and live horses."
LAMS - Large Animal Medicine and Surgery,LAMS 5220-5220L, 1.1 hours.,Large Animal Advanced Anesthesia,"Lectures, case-based discussions, and one two-hour laboratory covering anesthesia of large animals, including the impact of anatomic and physiologic features, selection of anesthetic drugs and techniques, modification of equipment for large animals, considerations of specific diseases, and recognition and treatment of common anesthetic complications."
LAMS - Large Animal Medicine and Surgery,LAMS 5230, 1.3 hours. Repeatable for maximum 2.6 hours credit.,"Large Animal Medicine I: Urology, Hematology, Endocrinology","Medical aspects of the urinary tract, hematology, and endocrinology of large domestic animals."
LAMS - Large Animal Medicine and Surgery,LAMS 5240, 1 hour. Repeatable for maximum 2 hours credit.,Problems in Large Animal Medicine,"A problem-based course using cases submitted to the DDI service. Students (in a small group of 3-4 along with a facilitator) will develop their learning objectives, and using the resources of the CVM, accomplish their learning objectives and provide a solution to the questions posed by practitioners."
LAMS - Large Animal Medicine and Surgery,LAMS 5250, 1 hour.,Clinical Techniques in Large Animal Medicine and Surgery,Introduction to procedures commonly performed during diagnosis and treatment of large animal cases. The course consists of lectures describing the procedures and their clinical use and interactive case discussions illustrating the application of these concepts.
LAMS - Large Animal Medicine and Surgery,LAMS 5250L, 0.5 hours. 15 hours lab per week.,Clinical Techniques in Large Animal Medicine and Surgery Laboratory,"An introduction to procedures commonly performed during diagnosis and treatment of large animal cases. The course is the laboratory companion to Clinical Techniques in Large Animal Medicine and Surgery, and laboratories will be timed to demonstrate the techniques described during lectures."
LAMS - Large Animal Medicine and Surgery,SAMS(LAMS) 5270, 2 hours. 16 hours lecture and 14 hours lab per week.,Principles of Surgery and General Surgery Practicum,"Application of surgical and anesthetic techniques to domestic animals. Principles of surgical asepsis, wound healing, and instrument handling."
LAMS - Large Animal Medicine and Surgery,LAMS 5290, 0.9 hours.,Veterinary Obstetrics,"Pregnancy and its abnormalities. Parturition, diagnosis, treatment, and prevention of dystocia in cow, mare, ewe/doe, sow, dog, and cat. Cesarean section and fetotomy. Postparturient problems."
LAMS - Large Animal Medicine and Surgery,LAMS 5301, 1 hour. Repeatable for maximum 3 hours credit.,Ruminant Internal Medicine: Respiratory Diseases,"Pathophysiology, etiology, diagnosis, treatment, and prevention of cardiopulmonary diseases of ruminants will be covered."
LAMS - Large Animal Medicine and Surgery,SAMS(LAMS) 5305, 1.2 hours. Repeatable for maximum 2.4 hours credit.,Neurology,"This course will provide a systematic approach to localizing a lesion in the nervous system. While the main emphasis will be understanding and identifying lesion location, common diseases of both small and large animals will be discussed."
LAMS - Large Animal Medicine and Surgery,LAMS 5310, 2 hours. Repeatable for maximum 4 hours credit.,Large Animal Theriogenology Selective,This is a comprehensive course that encompasses the didactic aspects of large animal theriogenology.
LAMS - Large Animal Medicine and Surgery,LAMS 5313, 1 hour. Repeatable for maximum 3 hours credit.,Equine Respiratory Diseases,"The study of etiology, pathophysiology, clinical signs, diagnosis, therapy, and prevention of common equine respiratory diseases and cardiac diseases."
LAMS - Large Animal Medicine and Surgery,LAMS 5314, 1 hour. Repeatable for maximum 2 hours credit.,Large Animal Neurology,"The etiology, pathophysiology, clinical signs and localization, diagnosis, therapy, and prevention of large animal neurologic diseases will be covered."
LAMS - Large Animal Medicine and Surgery,LAMS 5315-5315L, 1.6 hours. Repeatable for maximum 3.2 hours credit.,Equine Clinical Diagnostic Imaging,"Radiographic and ultrasonographic imaging of osseous and soft tissue disorders of the musculoskeletal, abdominal, and thoracic systems."
LAMS - Large Animal Medicine and Surgery,SAMS(LAMS) 5321-5321L, 3.5 hours. Repeatable for maximum 7 hours credit.,Veterinary Radiology,"This course is a study of the fundamentals of x-ray production, the production of quality radiographs, radiobiology, normal radiographic anatomy, and interpretation paradigms. The normal and diseased appearances of large and small animals will be discussed. Fundamentals of advanced diagnostic imaging will be presented."
LAMS - Large Animal Medicine and Surgery,LAMS 5323, 0.6 hours.,Large Animal Cardiology,"Review and discussion of clinical signs, diagnosis, and treatment of the most common cardiac diseases of large animals. Lectures will review ""core"" cardiology, sound recordings and ECG used to simulate normal and abnormal cardiac findings, and consist of audience participation (keypad interaction) case presentations."
LAMS - Large Animal Medicine and Surgery,SAMS(LAMS) 5333, 1.3 hours. Repeatable for maximum 2.6 hours credit.,Respiratory Diseases,"The diagnosis and treatment of respiratory diseases in horses, food animals, and small animals."
LAMS - Large Animal Medicine and Surgery,LAMS 5350, 1.9 hours.,Large Animal Digestive Diseases,"The diagnosis, treatment, and prognosis of diseases of the equine and food animal digestive systems."
LAMS - Large Animal Medicine and Surgery,LAMS 5351, 1 hour.,Equine Digestive Diseases,"Continuation of the material presented in the Digestive Diseases of Large Animals core course. Focus is on the presenting complaint of equine abdominal pain. The material presented is suitable for students interested in a mixed animal, equine, or large animal exclusive track."
LAMS - Large Animal Medicine and Surgery,LAMS 5353, 1 hour.,Equine Lameness and the Foot,"Significant lameness as a clinical problem, identification of the lame limb, and diagnostic techniques used to identify the cause. The equine foot is discussed in terms of its form and function in relation to disease with emphasis on relating the symptoms, diagnosis and treatment to basic principles. Individual diseases and cases are discussed."
LAMS - Large Animal Medicine and Surgery,SAMS(LAMS) 5355, 0.6 hours.,Cardiology,"Fundamentals of the cardiac evaluation, diagnostic testing, pathophysiology of CHF, recognition of common cardiac disorders, and clinical pharmacology of heart diseases. Emphasis is on auscultation and treatment of cardiomyopathies and valvular disease."
LAMS - Large Animal Medicine and Surgery,LAMS(SAMS) 5359, 2 hours.,Musculoskeletal Diseases,"Fundamental information about musculoskeletal pathophysiology focusing on bone, joint, and tendon/ligament biology. The course will form the basis for future species specific elective courses."
LAMS - Large Animal Medicine and Surgery,LAMS 5363, 1.3-7.8 hours. Repeatable for maximum 7.8 hours credit.,Large Animal Emergency Medicine and Surgery,"Clinical rotation in large animal emergency medicine and surgery. Students will participate in the admission, work-up, and treatment of large animal emergencies after hours. Additionally, participants will help with treatments on critical patients in the hospital and take part in topic and case-based rounds."
LAMS - Large Animal Medicine and Surgery,SAMS(LAMS) 5373, 1.3 hours. Repeatable for maximum 2.6 hours credit.,Small Animal Basic Surgical Techniques,Anesthetic and surgical techniques as applied to small animals.
LAMS - Large Animal Medicine and Surgery,LAMS 5375, 1 hour.,Equine Surgery I: Musculoskeletal,"Diseases of the musculoskeletal system in which surgery may be a treatment. Emphasis on diagnostic techniques, surgical decision making, surgical techniques, and postoperative care. This course emphasizes orthopedic problems."
LAMS - Large Animal Medicine and Surgery,LAMS 5376, 1 hour.,Equine Surgery II: Soft Tissue Surgery,"Diseases of the digestive, respiratory, integumental, and reproductive systems in which surgery may be a treatment. Emphasis on diagnostic techniques, surgical decision making, surgical techniques, and postoperative care."
LAMS - Large Animal Medicine and Surgery,LAMS 5380-5380L, 1 hour.,Large Animal Advanced Surgical Techniques,Advanced surgical techniques to equine and production animals.
LAMS - Large Animal Medicine and Surgery,LAMS 5385, 1 hour.,Bovine Surgery,"The course discusses diseases of the digestive, musculoskeletal, reproductive systems in which surgery may be a treatment. Emphasis is placed on diagnostic techniques, surgical decision making, surgical techniques, and post-operative care."
LAMS - Large Animal Medicine and Surgery,LAMS 5395, 0.8 hours.,"Artificial Insemination, Embryo Transfer, and Advanced Reproductive Technologies","A combination of lectures and labs will introduce students to Artificial Insemination (AI), Embryo Transfer (ET) in large animals, and other Advanced Reproductive Aechnologies (ART). Students will perform AI and actively participate in the practical management and performance of an ET program."
LAMS - Large Animal Medicine and Surgery,LAMS 5400, 1.3-3.9 hours. Repeatable for maximum 7.8 hours credit. 2.6-7.8 hours lab per week.,Large Animal Advanced Clinical Anesthesia,"Clinical training in large animal anesthesiology. Students will examine, evaluate, and provide anesthesia and analgesia for clinical patients in the large animal hospital. Practical skills and knowledge of problem-solving techniques will be emphasized."
LAMS - Large Animal Medicine and Surgery,LAMS 5415, 1.3-3.9 hours. Repeatable for maximum 15.6 hours credit.,Large Animal Internal Medicine,"A three-week clinical rotation in the large animal internal medicine of horses, ruminants, and pigs."
LAMS - Large Animal Medicine and Surgery,LAMS 5420, 1.3-3.9 hours. Repeatable for maximum 15.6 hours credit.,Large Animal Surgery,"Clinical training in general large animal surgery with emphasis on equine soft tissue, musculoskeletal, soft tissue disease, food animal lameness, alimentary surgery, diagnosis and pathophysiology of disease."
LAMS - Large Animal Medicine and Surgery,LAMS 5425S, 1.3-3.9 hours. Repeatable for maximum 7.8 hours credit.,Large Animal Farm Practice,"Clinical training in farm animal medicine. Pathophysiological mechanisms of disease in the individual animal. Examination, evaluation, and treatment of domesticated animals in the farm environment."
LAMS - Large Animal Medicine and Surgery,LAMS 5426, 1.3-3.9 hours.,Clinical Focus on Small Ruminants and Camelids,Provides students the opportunity to experience and discuss management issues and diseases of small ruminants and camelids and to perform common procedures on these species.
LAMS - Large Animal Medicine and Surgery,LAMS 5427, 2.6-3.9 hours.,Advanced Farm Animal Husbandry and Clinical Medicine,"Clinical training in farm animal medicine. Pathophysiological mechanisms of disease in the individual animal. Examination, evaluation, and treatment of domesticated animals in the farm environment. Medical and surgical principles of Farm Practice will be studied and practiced. Students will be exposed to farm/exotic animals and honey bees in a clinical situation which has inherent dangers."
LAMS - Large Animal Medicine and Surgery,LAMS 5435, 1.3-3.9 hours. Repeatable for maximum 7.8 hours credit.,General Theriogenology,"The didactic and clinical aspects of animal reproduction in bovine, canine, equine, and other species. Content includes the management of normal and abnormal reproductive cases and assigned reviews for clinical rounds."
LAMS - Large Animal Medicine and Surgery,LAMS 5436, 3.9 hours.,Small Animal Theriogenology,This is a comprehensive clinical rotation that encompasses the didactic and clinical aspects of small animal theriogenology. Emphasis is on the practical implementation of the specialty. The course is only available to fourth-year students.
LAMS - Large Animal Medicine and Surgery,SAMS(LAMS) 5445, 3.9 hours. Repeatable for maximum 7.8 hours credit.,Clinical Radiology,The production and recognition of diagnostic quality radiographs of both small and large animals as well as radiographic interpretation.
LAMS - Large Animal Medicine and Surgery,LAMS 5455, 3.9-7.8 hours. Repeatable for maximum 15.6 hours credit.,Advanced Equine Theriogenology,A comprehensive course encompassing the didactic and clinical aspects of equine theriogenology. The emphasis is on practical implementation of the specialty. The course is only available to fourth year students during the equine breeding season.
LAMS - Large Animal Medicine and Surgery,LAMS 5465, 1.3-3.9 hours. Repeatable for maximum 7.8 hours credit.,Large Animal Emergency and Critical Care,"Clinical rotation in large animal emergency medicine and surgery. Students will participate in the admission, work-up, and treatment of large animal emergencies after hours. Additionally, participants will help with treatments on critical patients in the hospital and take part in topic and case based rounds."
LAMS - Large Animal Medicine and Surgery,LAMS 5470, 1.3-3.9 hours. Repeatable for maximum 5.2 hours credit.,Equine Diagnostic Imaging and Lameness,"The object of this course is to provide students with an in-depth understanding of equine lameness, and the diagnostic imaging techniques used and their interpretation."
LAMS - Large Animal Medicine and Surgery,LAMS 5475, 1.3 hours.,Equine Clinical Nutrition,Discussion of equine nutrition concepts and journal articles regarding equine nutrition.
LAMS - Large Animal Medicine and Surgery,LAMS 5480, 1.3-3.9 hours. Repeatable for maximum 7.8 hours credit.,Equine Ophthalmology,"Provides students with a strong foundation in equine ophthalmology by providing in-depth experience performing equine ophthalmic examinations, common medical and surgical procedures, and diagnosing and treating common diseases affecting the equine eye."
LAMS - Large Animal Medicine and Surgery,LAMS 5485, 1.3-3.9 hours.,"Equine Sports Medicine, Rehabilitation, and Podiatry","Clinical rotation in equine sports medicine and podiatry. Students will predominantly see cases related to equine sports medicine and podiatry. Assigned responsibilities include case involvement, record keeping, and primary case care for patients hospitalized through the service (may include weekend treatments). This rotation is appropriate for students pursuing equine practice."
LAMS - Large Animal Medicine and Surgery,LAMS 5650/7650, 1-4 hours. Repeatable for maximum 40 hours credit.,Seminar in Large Animal Medicine and Surgery,"Seminar is presented by the student under the direction of a faculty member. The seminar can consist of a literature review or a review of clinical cases. After the presentation, the group asks questions of the student, who then leads the discussion."
LAMS - Large Animal Medicine and Surgery,LAMS 5900, 0.7-8 hours. Repeatable for maximum 20 hours credit.,Studies in Clinical Large Animal Medicine,"Studies involving different areas of large animal medicine, surgery, population medicine, or theriogenology."
LAMS - Large Animal Medicine and Surgery,LAMS 6000E, 3 hours.,Clinically-Based Concepts I,"This is the first of a series of three courses that are designed to achieve two goals. First, to apply foundational basic science concepts from cell biology, chemistry, anatomy, and physiology in a clinical context to better prepare students for careers in healthcare. In addition, this course will introduce strategies for studying and learning that have been proven to reinforce long-term recall. Students will complete three modules, two of which will address biomedical concepts encountered by healthcare professionals. These modules will be presented in a clinical context and will use four learning modalities to address them: reading text, viewing animations and illustrations, watching videos, and answering questions. The third module will describe the neuroanatomy behind memory and learning techniques that target and strengthen these pathways and provide the students opportunities to use these techniques during the course."
LAMS - Large Animal Medicine and Surgery,LAMS 6010E, 3 hours.,Clinically-Based Concepts II,"This is the second of a series of three courses that are designed to achieve two goals. First, to apply foundational basic science concepts from cell biology, chemistry, anatomy, and physiology in a clinical context to better prepare students for careers in healthcare. In addition, this course will introduce strategies for studying and learning that have been proven to reinforce long-term recall. Students will complete three modules, two of which will address biomedical concepts encountered by healthcare professionals. These modules will be presented in a clinical context and will use four learning modalities to address them: reading text, viewing animations and illustrations, watching videos, and answering questions. The third module will introduce the students to specific strategies proven to enhance long-term learning and mastery of the learned concepts."
LAMS - Large Animal Medicine and Surgery,LAMS 6020E, 3 hours.,Clinically-Based Concepts III,"This is the third of a series of three courses that are designed to achieve two goals. First, to apply foundational basic science concepts from cell biology, chemistry, anatomy, and physiology in a clinical context to better prepare students for careers in healthcare. In addition, this course will introduce strategies for studying and learning that have been proven to reinforce long-term recall. Students will complete three modules, two of which will address biomedical concepts encountered by healthcare professionals. These modules will be presented in a clinical context and will use four learning modalities to address them: reading text, viewing animations and illustrations, watching videos, and answering questions. The third module will introduce the students to specific strategies proven to enhance long-term learning and mastery of the learned concepts."
LAMS - Large Animal Medicine and Surgery,LAMS 7005, 3 hours. Repeatable for maximum 45 hours credit.,Graduate Student Seminar,Advanced supervised experience in an applied setting. This course may not be used to satisfy a student's approved program of study.
LAMS - Large Animal Medicine and Surgery,LAMS 7500, 5-17 hours. Repeatable for maximum 68 hours credit.,Large Animal Internship,Clinical training for the graduate veterinarian desiring in-depth knowledge and skills relative to the diagnosis and treatment of diseases affecting food animals and horses.
LAMS - Large Animal Medicine and Surgery,LAMS 7610, 5-18 hours. Repeatable for maximum 51 hours credit.,Large Animal Residency I,"This course provides clinical training during year one of a residency for graduate veterinarians desiring to specialize in large animal medicine, surgery, theriogenology, or anesthesiology."
LAMS - Large Animal Medicine and Surgery,LAMS 7620, 5-18 hours. Repeatable for maximum 51 hours credit.,Large Animal Residency II,"This course provides clinical training during year two of a residency for graduate veterinarians in large animal medicine, surgery, theriogenology, or anesthesiology."
LAMS - Large Animal Medicine and Surgery,LAMS 7630, 5-18 hours. Repeatable for maximum 51 hours credit.,Large Animal Residency III,"This course provides clinical training during year three of a residency for graduate veterinarians in large animal medicine, surgery, theriogenology, or anesthesiology."
LAMS - Large Animal Medicine and Surgery,LAMS 7640, 5-18 hours. Repeatable for maximum 60 hours credit.,Large Animal Residency IV,"This course provides clinical training for graduate veterinarians in the fourth year of a large animal residency in animal medicine, surgery, theriogenology, or anesthesiology."
LAMS - Large Animal Medicine and Surgery,LAMS 8010, 1-5 hours. Repeatable for maximum 10 hours credit.,Problems in Large Animal Pathophysiology,"Designed to allow graduate students the opportunity to explore, under supervision, problems pertaining to the pathophysiology of large animals. These may be, but are not limited to, the areas of large animal surgery and medicine. Open to graduate students in the biological sciences meeting the course prerequisites."
LAMS - Large Animal Medicine and Surgery,LAMS 9020, 1-12 hours. Repeatable for maximum 12 hours credit.,Instructional Challenges in Large Animal Medicine and Surgery,"Designed to provide opportunities for students in the Comparative Medical Illustration Certificate Program to explore, under faculty supervision, challenges that occur in the use of scientific visualizations to instruct veterinary students about conditions that occur in large animal species. Open to graduate students in the Comparative Medical Illustration Certificate Program."
LAND - Landscape Architecture,LAND 1500, 3 hours.,Design and the Environment,"The built environment and its effects on natural systems. Focus is on the design of the built environment as an ongoing activity integrating ecological, social, and cultural values. Topics include land use patterns and policies, development and resource management, community design issues, and strategies for improving environmental integrity and quality of life."
LAND - Landscape Architecture,LAND 1500E, 3 hours.,Design and the Environment,"The built environment and its effects on natural systems. Focus is on the design of the built environment as an ongoing activity integrating ecological, social, and cultural values. Topics include land use patterns and policies, development and resource management, community design issues, and strategies for improving environmental integrity and quality of life."
LAND - Landscape Architecture,LAND 1600, 3 hours. 6 hours lab per week.,Reading the Landscape,"Approaches to perceiving and interpreting the landscape. Topics include the landscape in art and literature, visual assessment techniques, use of maps, field sketching, and photography."
LAND - Landscape Architecture,LAND 2010, 4 hours. 8 hours lab per week.,Landscape Architecture Design Studio I,"The elements, principles, and processes of visual design as a foundation for landscape architecture. Emphasis is on the development of creativity and design skills through the application of theory and techniques in a series of two- and three-dimensional design projects."
LAND - Landscape Architecture,LAND 2020, 4 hours. 8 hours lab per week.,Landscape Architecture Design Studio II,"A continuation of Landscape Architecture Design Studio I, with continued emphasis on the development of creativity and design skills through the application of theory and techniques in a series of two- and three-dimensional design projects. Further exploration of the design process."
