"course_code","course_name","description","level"
"ACC 364","Fundamentals of Taxation.","Restricted to students in a business major. Introduction to the role of taxes in contemporary society and their impact on individuals and business entities; emphasis on federal income taxation. Three lecture hours a week for one semester. Only one of the following may be counted: Accounting 355 , 364 , 380K (Topic 11: Introduction to Taxation). Prerequisite: Accounting 311 or 311H , and 312 or 312H , with a grade of at least C- in each.","Upper-Division Courses"
"ACC 366C","International Accounting and Transfer Pricing.","Same as International Business 366 . Discover how to price transactions between subsidiaries of multinational corporations buying and selling goods, services, intellectual property and other assets in light of tax obligations and other considerations. Three lecture hours a week for one semester Only one of the following may be counted: Accounting 366C , 380K (Topic: International Accounting/Transfer Pricing), 380K (Topic: 32), International Business 366 . Offered on the letter-grade basis only. Prerequisite: Upper-division standing.","Upper-Division Courses"
"ACC 366P","Accounting Practicum.","Restricted to students in a business major. Students apply skills in their major area and focus on additional project management skills through group projects conducted in a professional setting. Students may work with a private or a public enterprise. The equivalent of three lecture hours a week for one semester. Accounting 366P and 384 (Topic: Tax Practicum) may not both be counted. Prerequisite: Forty-five semester hours of college coursework.","Upper-Division Courses"
"ACC 372T","Topics in Accounting.","Restricted to students in a business major. Study selected accounting topics. Three lecture hours a week for one semester.  May be repeated for credit when the topics vary. Prerequisite: Accounting 311 or 311H , and 312 or 312H , with a grade of at least C- in each; additional prerequisites vary with the topic.","Upper-Division Courses"
"ACC 179C, 379C","Independent Research in Accounting.","Restricted to students in the McCombs School of Business.  Conference course. Only one of the following may be counted: Accounting 379C , Business Administration Honors 379 , Business, Government, and Society 379 , Finance 379C , International Business 379C , Legal Environment of Business 379 , Management 379C , Management Information Systems 379 , Marketing 379C , Operations Management 379 , Risk Management 379 . Prerequisite: Eighteen semester hours of coursework in business and economics, six of which must be upper-division; Accounting 311 or 311H , and 312 or 312H , with a grade of at least C- in each; consent of instructor; and written approval on forms provided for that purpose before the first meeting of the course from the department chair's office.","Upper-Division Courses"
"ACC 180C","MPA Distinguished Speaker Lyceum.","Discussion of current issues confronting the accounting profession. Two lecture hours a week for one semester.  Offered on the credit/no credit basis only. Prerequisite: Graduate standing and admission to the traditional approach to the Master in Professional Accounting program.","Graduate Courses"
"ACC 380D","Advanced Topics in Financial Reporting.","Examines issues in financial reporting from a user's perspective, including how important economic transactions of large public companies are reflected in financial statements. Three lecture hours a week for one semester. May not be counted by students with credit for Accounting 380K (Topic 1: Financial Accounting Standards and Analysis I) or 380K (Topic 2: Financial Accounting Standards and Analysis II). Prerequisite: Graduate standing, admission to the Master of Business Administration program, and Business Administration 384T .","Graduate Courses"
"ACC 280J","Financial Statement Analysis for Executives.","Restricted to students in the Executive MBA Program. Explore an overview of the skills executives will need in order to analyze a company's performance and financial position in the context of the company's industry and strategic environment. Two lecture hours a week for one semester.  Offered on the letter-grade basis only. Prerequisite: Graduate standing.","Graduate Courses"
"ACC 180K, 280K, 380K","Contemporary Accounting Topics.","In-depth study of selected accounting topics. One, two, or three lecture hours a week for one semester.  May be repeated for credit when the topics vary. Prerequisite: Graduate standing; additional prerequisites vary with the topic.","Graduate Courses"
"ACC 381","Financial Accounting.","Concepts and issues involved in the preparation and interpretation of financial statements; the use of financial information to evaluate and control an organization. Three lecture hours a week for one semester. Accounting 381 and Business Administration 284T , 384T may not both be counted. Prerequisite: Graduate standing, admission to the traditional approach to the Master in Professional Accounting program, and Accounting 311 or the equivalent.","Graduate Courses"
"ACC 381M","Financial Accounting Issues in Business Decisions.","An integrative and intensive examination of financial accounting, with emphasis on management's alternative reporting strategies and investors' decisions. Three lecture hours a week for one semester. Prerequisite: Graduate standing, and Business Administration 384T or the equivalent.","Graduate Courses"
"ACC 381N","Managerial Accounting and Financial Statement Analysis.","Surveys the strategic uses of the most important elements of internal accounting systems, including cost accounting systems and management control systems used for planning and budgeting, and the use of publicly available financial accounting information to evaluate past performance, forecast future performance, and estimate the value of debt and equity securities. Meets all day on alternate Fridays and Saturdays. May not be counted by students with credit for Accounting 380K (Topic 7). Prerequisite: Graduate standing.","Graduate Courses"
"ACC 281P","Performance Management and Control for Executives.","Restricted to students in the Executive MBA Program. Examine accounting information and tools executives need to plan and evaluate personnel and operations of the firm. Explore a framework that provides a better understanding of when and why executives need specific types of accounting information to both facilitate their own decisions and influence the decisions of their employees. Two lecture hours a week for one semester.  Offered on the letter-grade basis only. Prerequisite: Graduate standing.","Graduate Courses"
"ACC 382K","Studies in Accounting Information Systems.","Quantitative and/or computerized applications to business problems; computer-based accounting information systems; analysis of optimizing models; simulation of important functional activities; large-scale simulation of the firm. Three lecture hours a week for one semester.  May be repeated for credit when the topics vary. Prerequisite: Graduate standing; Accounting 356 , Accounting 381 , Business Administration 384T , or the equivalent, or consent of instructor; and Accounting 359 , Accounting 387 (Topic 1: Introduction to Managerial Accounting), or the equivalent, or consent of instructor.","Graduate Courses"
"ACC 383K","Studies in Auditing.","Professional and technical aspects of practice; ethics and legal responsibilities; review of fieldwork, emphasizing materiality, sampling, and working papers; reporting problems, including long-form and special purpose reports; fraud examination and audit methods. Three lecture hours a week for one semester.  May be repeated for credit when the topics vary. Prerequisite: Graduate standing; additional prerequisites vary with the topic.","Graduate Courses"
