title,description,course_code
An Archaeology of Inequality: Ancient Rome in Ten Objects,"Introduction to the study of social structure in Ancient Rome with an emphasis on 'invisible Romans': groups that receive less attention in textual sources (women, slaves, children, outcasts, differently abled people, foreigners). Ten objects are used as prompts for storytelling and for an archaeological investigation of the material traces of non-elite Romans. We discuss the concept of 'object biography' developed by anthropologist Igor Kopytoff and visit the Nasher Museum of Art for hands-on activities with Roman artifacts.",HISTORY 132S
"Silk Roads and China, Ancient and Medieval Transformations","The Silk Roads are the oldest and longest routes of cultural communication and economic exchange connecting Asia, Europe and Africa. In use since the days of Alexander the Great, the Roads and its rail networks now extend from China to England, connecting 70 countries and forming a vital system. This course introduces the ancient to early modern histories, cultures, and religions of the Silk Roads anchored in four themes: Alexander's empire; life in medieval cities of Chang'an, Baghdad and Constantinople; Silk Roads religions and the interactions of Buddhism, Christianity, Judaism and Islam; and the Mongol empire visited through the travels of Marco Polo.",HISTORY 135
Minor Utopias: Everyday Approaches to a Better World,"This FOCUS seminar begins with a consideration of small-scale endeavors by ordinary people to create communities that reflect their values. After spending first half of the semester learning about past efforts to create minor utopias, students will research examples of minor utopias that interest them. Finally, the seminar will work together to develop shared framework for a minor utopia, addressing questions such as: how resources will be developed and shared, how care will be provided to those who need it, how the community's values will be communicated and enforced, and how the community will address violations of those norms.",HISTORY 137FS
From Stalin to Putin: The Art of Dictatorship,"When the Soviet Union ceased to exist, many believed that Russia's history of autocratic rule might finally end. Today Russia under Putin appears to be retreating from democracy. Putin's rule is routinely compared to a dictatorship. The Soviet most notorious dictator, Stalin is being rehabilitated by the Russian establishment. This course traces the history of modern Russian politics from Stalin to Putin and examines how such completely ordinary individuals managed to amass the kind of power that is best described dictatorial. It examines the complex evolution of communist and post-Soviet leadership. The course is comparative and draws on Nazi Germany and Fascist Italy as case studies.",HISTORY 138
Gateway Seminar. Germany in the World,"Explores the changing place of modern Germany in the world, with a focus on the aspirations, views, and agendas that have driven German engagements with the world in times of peace and war. How was it possible that this nation-state's profound engagement with the world resulted in relentless pursuits of war, empire, and genocide by mid-twentieth century, and how did the post-war Germanies chart new paths since the late 1940s? In answering these questions, the seminar will also provide an introduction into History as a craft and field of knowledge.",HISTORY 139S
Empires in Modern European History,"An introduction to political theories of imperialism and a comparative historical analysis of several European empires. Explores questions of nationalism, race, religious pluralism, state formation, globalization, and international governance. Readings drawn from history, sociology, anthropology, and political science.",HISTORY 140S
Gateway Seminar: The History of the U.S. South,"This course examines the history of the South from the colonial era to the present. The first part traces the rise of the plantation economy based on human bondage, the slaves' wars and other abolition movements, the Civil War, emancipation, and the destruction of the most powerful slaveholding society in the Atlantic world. The second part traces postwar efforts to build a democratic South, the rise of the Jim Crow system of segregation and disfranchisement, class struggles, the civil rights and abolition movements of the twentieth and twenty-first centuries, and southern culture. Students will acquire analytical and research skills using primary documents.",HISTORY 143S
Photography and History: Dictatorship & Resistance in Latin America,"This seminar explores the power of photographic images as 20th century Latin America suffered from and resisted dictatorships and fought for democracy. It opens with the world's first fully photographed and filmed revolution in Mexico (1910-17), and then investigates photographic practice in Cuba, Chile, & Brazil after 1945. While used as a tool of oppression, photographic images will also be explored as vital weapons against human rights violations and fuel for popular democratic insurgencies. This course offers freshmen a chance to share the excitement of research in action, on learning with rather than teaching at, as they improve their skill in 'reading' and contextualizing images while debating what truths, if any, a photographer can communicate, how, and under what circumstances?",HISTORY 144CNS
Indigenous Storytelling and Histories of Place,"More than antiquated stories confined to the archival record, Indigenous storytelling provides living communities today with avenues to communicate directly with ancestors to co-create abundant futures. Expressed through genealogical relationships to lands, waters, and peoples, Native communities cultivate abundance through providing care and mutual aid to each other and their environments. The course provides a framework for observing abundance created by historical and present Indigenous communities through engaged readings of critical texts and embodied practices of storytelling through art. By rejecting models of scarcity and loss of knowledge and power projected by five centuries of colonization, students will build a practical toolkit for creating abundance in everyday life.",HISTORY 145CNS
American Histories,"Through works of nonfiction, fiction, film, and memoir, this course will explore themes —freedom, family, displacement, violence, and memory that cut across US history and human experience. We will tease out the various strands of culture, class, geography, and identity that shape US history. Even more, we will analyze how writers—historians and otherwise—draw on the entangled past to make sense of the world or highlight its mystery. As a final assignment, students will produce their own piece of historical writing, rooted in original research.",HISTORY 146S
Global History of the Prison,"This is an introductory lecture class on the global history of incarceration. It studies the emergence of the prison as a penal institution in various forms: the medieval debtors' prison, industrial poorhouses, colonial prison and detention camps, and the modern prison industrial complex. Special focus is dedicated to the relationship between incarceration and race in a global context. Over the course of the semester, students will work on multimedia projects on a special topic related to prison history.",HISTORY 147
Christianity,"Introduction to Christian doctrine, ritual, social organization and ethics in the past and present.",HISTORY 149
"Visualizing Minor Stories: Archives, Museums, Histories","Explores local/ global archives to document distant, marginal or invisible histories. Guided research in Duke's collections and other museums, galleries, and digital collections. Examines injustice, liberation, and empowerment through knowledge production. Trace historical divisions and produce related research and creative projects. Variable topics like travel and missionary writings; wartime and military records of American wars in Asia and the Middle East; Afro-Asian solidarity; global and American civil rights; imperialism and the global cold war, global diasporas including Asian/American and other minority movements. Explore variable forms: oral histories, film and photography, digital exhibitions, and creative works.",HISTORY 152CNS
Gateway Seminar: New Directions in Military History,"This course introduces students to college-level historical inquiry, with a focus on military history. Why and how have people engaged in warfare? How has this changed over time, and how has this impacted race, religion, gender, sexuality, and technology? The specifics of the course -- geography, chronology, etc. -- will vary from year to year, and can be found in the course synopsis. Students will always, though, learn to think critically about armed conflict, and learn to think historically about armed conflict through the use of archives, memoirs, and oral histories.",HISTORY 153S
Gateway Seminar: Comparative Slavery,"This course takes a comparative approach to the history of slavery as it unfolded across different regions of the world from the fifteenth to the nineteenth centuries. It embraces a transnational perspective centering not only on the Atlantic world (including North America, the Caribbean, Latin America, Europe and West Africa), but also on the Indian Ocean, from Madagascar to India and to Indonesia.",HISTORY 154S
Gateway Seminar: Cold War America,"A gateway seminar designed to introduce undergraduates to historical analysis, research, and writing through study of one of the most gripping and hotly debated periods of modern history: the early Cold War contest between the US and the USSR. The course will examine both foreign relations and domestic life, with a focus on the searing impact of a politics of fear. We will explore areas ranging from the dropping of the atomic bomb to McCarthyism, from the crippling of the civil rights movement and the purge of gays from government employment to the devastating 1950s interventions in Iran, Guatemala, and Vietnam.",HISTORY 156S
Gateway Seminar: Empires in Historical Perspective,"Study of modern empires in historical comparative-connective perspective. Approaches, methods, themes include social history from below, maritime history, history of technology, debates about the ethicality of war, occupation and regime change in sovereign territories. Final research paper involving intensive primary-source research, extensive use of secondary and on-line sources for the study of empires.",HISTORY 157S
Gateway Seminar. Fascism: A History,"Examines the history of fascism in the modern world. Combines a focus on Europe's self-styled fascist movements and regimes with a study of fascism in other places of the world, including the United States, to explore fascism as a global phenomenon spanning the twentieth and twenty-first centuries. Provides an introduction into History as a craft and field of knowledge.",HISTORY 158CNS
Gateway Seminar. Fascism: A History,"Examines the history of fascism in the modern world. Combines a focus on Europe's self-styled fascist movements and regimes with a study of fascism in other places of the world, including the United States, to explore fascism as a global phenomenon spanning the twentieth and twenty-first centuries. Provides an introduction into History as a craft and field of knowledge.",HISTORY 158S
Gateway Seminar: What Did Your Grandparents Do? A Global Exploration of Individual Life Histories,"This course will focus on the stories of individuals and their experiences of the great historical events of the 20th century. Students will read from a wide variety of oral histories, memoirs, biographies and primary source materials such as diaries and letters, with an emphasis on the lives of relatively unknown figures such as farmers, merchants and housewives. The goal will be to both understand and connect imaginatively with the life experiences of the people who lived history rather than those who made it. Students will also explore the diverse stories of their own families and related networks.",HISTORY 159S
"Gateway Seminar: The Global Sixties: Race, Revolution, Sexuality","The 1960s in global context, focusing particularly on Europe, Latin America, and the United States. The rise of mass movements dedicated to racial, economic, and sexual justice, against the backdrop of Cold War and decolonization. The mobilization of music, film, and the body in the service of revolution, with attention also to the global backlash and the rise of a new conservativism. Course materials include memoirs, speeches, political treatises, and cultural artifacts from the period.",HISTORY 160S
Gateway Seminar: Asia in Global History,The goal of the course is to first explore the most important networks and flows that connected the Asian region to the Eurasian world since the ancient Silk Route and the spread of Buddhism through the new dynamics of the Early Modern World--16th to 18th centuries. The second part of the course probes the new dynamics that integrated Asian societies through Western capitalism and imperial forces in the 19th and 20th centuries. It will also cover the 'rise of Asia' in the current era of globalization.,HISTORY 162S
Gateway: Solidarity! Asian American Activism,"This course uses the history of Asian American activism to introduce students to the way historians think, read, research, and write. We will focus on transnational and internationalist Asian American activism in the 20th century, looking at how various diasporic communities confronted imperialism, colonialism, and racism.",HISTORY 163S
"Gateway Seminar - Antisemitism: Ethnicity, Race, Religion, Culture","Focuses on selected anti-Judaic and antisemitic episodes from ancient antiquity through modern times, paying attention to both antisemitic texts and events. It evaluates competing theoretical frameworks for understanding antisemitism as ethnic, racial, religious and cultural phenomenon. Can antisemitism be understood as part of the history of racism or of other forms of ethnic hatred? Why were Jews so often target of hatred? How did both Jews and antisemites view their relations with each other? How do historians understand them? If there is limited continuity among antisemitic episodes, how can the prevalence and repetitiveness of antisemitism be explained?",HISTORY 164S
Gateway Seminar: Environments in Crisis,"Understandings of human-environment relationships have been forged in moments of crisis: natural and human-made disasters, technological failures, political disputes, scientific controversies. This course addresses science, technology, and the environment in historical perspective through focused studies of environmental crises. We will learn to sort out the complex dynamics of nature, knowledge, ethics, and power wrapped up in environmental crises, the scientific and political stakes of past arguments over what is and isn't a crisis, and how understandings of environmental crisis both shape and are shaped by specific social, cultural, and political contexts (including our own).",HISTORY 165S
Gateway Seminar - Anarchism and its Discontents,"Introduction to the 19th century philosophical foundations of anarchist thought and to the history of the major anarchist movements in the 20th century in Russia, Italy and Spain. The first part of the course is an intensive investigation of the thought of Michael Bakunin, Pierre-Joseph Proudhon, Leo Tolstoy and Peter Kropotkin suing selections from their own writings. The next unit focuses on the movements they inspired in Russia and Western Europe. The last unit concerns the more contemporary manifestations of anarchism in the U.S. under the influence of Murray Bookshin. Students will write a major paper due at the end of the course.",HISTORY 166S
Gateway Seminar: How to Read a Map: The History of Cartography,"History and theory of cartography, from the ancient to the modern world. Maps as subjects of historical inquiry, sources for historical research, and ways of expressing historical argument. Space, geography, and history. Scientific, technological, economic, religious, political, artistic, social, literary, cultural, and global contexts for the production, design, dissemination, and consumption of cartography. As a History gateway, course also introduces students to various approaches to historical research method, including the development of research questions, the use of historical evidence, and the visual and written expression of historical narrative and argument.",HISTORY 168S
Heroes and Villains: Dissidence in the Middle East,"Considering the historical culture of disobedience in the Middle East and the significant actors as superheroes and villains depending on the time and their affiliations. Investigating how the dissident voices are constructed and performed from pre-modern esoteric practices in dervish convents, or coffee houses to print culture and social media in modern times. Discussing major themes such as protest and propaganda, censorship and self-censorship, and surveillance and counter-surveillance through films, poetry, graphic novels, and music.",HISTORY 169FS
Beyond Denial - A Thriving Future,"Part of the Focus cluster 'It's Not Too Late to Build a Better World,' requires permission. What are the roots of the climate crisis or unparalleled inequality?  This course explores big ideas as well as specific models that envision a radically different future, one that provides for the common good within our given biophysical limits, including discourses such as post-growth, wellbeing, and care economics; eco-feminism; eco-anarchism; decolonization; ecological justice; and commoning.  A reading and discussion intensive course that uses an interdisciplinary approach and includes elements of research, individual and group presentations, as well as a writing requirement.",HISTORY 170FS
"Gateway Seminar: History of Intimacy: Family, Friendship, Romance","Examines how changing definitions of friendship, family structure, childhood, romantic love, gender roles, and sexual orientation shaped identity formation, social conflict, and cultural production through time. Course materials include letters, diaries, autobiographies, novels, government documents, and films, in addition to academic articles and books. Students produce final projects based in original research and significant secondary reading. Time period and geographical focus varies with instructor.",HISTORY 171S
Gateway: Eyewitness to Slavery,"How do historians of slavery do their work? Helping students answer this question is the primary goal of this Gateway Seminar. We will study eyewitness accounts of people who lived during the era of slavery and wrote about it to include enslaved people, enslavers, politicians, ministers, physicians, travelers, slave traders, free black people, and merchants. We will read selected seminal books and articles as an introduction to the historiography, that is, what historians have written about slavery and how they differ in their interpretations? Through this work, the seminar helps build students' skills in research and writing.",HISTORY 172S
Gateway Seminar - The United States and the World,"Research and discussion seminar examining the place of America in the wider world, and ethical underpinnings of American expansion. Explores how Americans have viewed and defined themselves in relation to numerous 'others.' Investigates how and why a sense of mission has driven cultural, political, and geographic expansion.",HISTORY 175S
Gateway Seminar: The Meaning of Freedom in American History,"Focus on American conflicts over the meaning of 'freedom' or 'liberty.' Examination of changing definitions over time, and appraisal of the role that conflicts over 'freedom' play in defining American identity and politics in the present. Course readings (mostly primary sources) introduce students to central disputes over meanings of 'freedom' in American history, and student papers will also investigate conflicts or ideas about liberty.",HISTORY 177S
History of Energy Use and Power Generation,"The use of energy throughout human history is explored, starting from the beginnings of humanity to modern power generation. This course will consider the development of different energy sources over time, the history of energy conversion and storage technologies, and the establishment of modern thermal sciences. A major focus is the investigation of how these developments affected societal, economic, military, and technological change and growth. Understanding the historical trends related to energy use and power generation will allow for better informed prediction of humanity's energy future. Open only to students in the Focus program.",HISTORY 178FS
Gateway Seminar: Capitalism & Its Critics,"Surveys major advocates, critics, and reformers of capitalism, from Adam Smith, Charles Dickens, and Karl Marx to contemporary champions and opponents of  'free market' reform.",HISTORY 179S
"Sex, Bodies, and Power","In our world, bodies and sexual acts have become linked to political power in terms of pleasure, reproduction, identity, and even basic bodily functions such as urination and defecation. How has something so basic as one's body become so closely associated with power? Sex, Bodies, and Power engages in an interdisciplinary examination of written and visual texts to examine the way bodies have been linked to sex and power. How do we understand our own bodies? How do we develop sexual fantasies, and how are those fantasies regulated by the state and other actors and institutions? Do bodies and sex become regulated differently depending on race, ethnicity, nationality, and gender? How does this change in different times and places? How is all of this altered by global pandemics, anti-racist movements, reproductive justice, and queer embodiment? What does it mean to engage in a historical analysis of these questions?",HISTORY 181CNS
The Law in Slavery and Freedom,"This course focuses on the relationship between slavery, race, and the law. It explores the dimensions and variability of the formal law of slavery, how it addressed the category of slave, codified the powers of slaveholders, and interacted with politics and culture to shape the institution of slavery and the making of the ideology of race. We will study primary documents such as trial transcripts, appellate opinions, treatises, codes, first-person narratives, and secondary work by legal scholars and historians. The course supports the development of skills in critical inquiry, research, and writing leading to the production of a final project based in original research.",HISTORY 182S
Gateway Seminar: Civil Rights and Asian Americans,"Study of crucial legal and political moments in the struggle for equal civil rights of minorities, beginning with the laws of Chinese Exclusion, the struggle to define who was 'White,' the Asian Immigration Exclusion Acts, the relationships of Asians and African Americans and the struggle for equal schooling in the American South, the Japanese Concentration camps, the Redress and Reparations Civil Rights struggle, and the involvement of Asians Americans in the African American-led Civil Rights Movement in the 1960s, including working with Martin Luther King and Malcolm X, and Asian Americans in the anti-sweatshop unionization movement.",HISTORY 183S
Gateway Seminar: Disease in History,"Using primary sources students will explore the impact, management and changing definitions of disease in various pre-modern societies. We look at disease in the context of encounters, environmental change and state formation between 100 and 1700CE. Not just understood as a biological phenomenon, disease can also work as signifying system, creating status hierarchies and highlighting particular social and political anxieties. Through the study of five or six historical epidemics, students will learn how to create historical resources out of medical sources.",HISTORY 185S
Political Culture in Africa,"This course examines the history of political institutions in Africa. Beginning with pre-colonial political formations in a variety of African contexts, ranging from small-scale societies to large multi-ethnic states, it then examine the question of how European colonialism impacted existing African political culture and introduced or transformed institutions of governance, before moving to consider the political history of post-colonial Africa.",HISTORY 187S
Gateway Seminar: The Price of Sex: Gender and the Global Political Economy,"Explores how sex and gender have shaped economic policies and opportunities in different settings, particularly in the modern era (19th, 20th, and 21st centuries). Will focus on public policies and normative practices at the local, national, and international levels. As a gateway seminar for the history major, will focus on developing an understanding of historiography and methodology culminating in a prospectus for a future research project.",HISTORY 188S
Gateway Seminar: Slavery and Its Afterlives,"Examines the history of American slavery and the legacies of slavery in the present. Focus on slavery as a system of labor, law, race, kinship, knowledge, space, culture, property, and reproduction that affected all areas of American development. Considers the role of slavery in political debates about reparations, Confederate monuments, and critical race theory.",HISTORY 189S
Special Topics in History,Topics vary from semester to semester.,HISTORY 190
Duke-Administered Study Abroad: Special Topics in History,Topics differ by section.,HISTORY 190A
Topics in Focus Program,Open only to students in the Focus Program. Current list of courses available in the Focus program brochure and online.,HISTORY 190FS
Special Topics in History,Topics vary from semester to semester.,HISTORY 190S
"Islam, Art, and Society","Explores the historic interweaving of theology, spirituality, art, architecture, mathematics, & astronomy in the beautification of everyday objects & lived spaces. It examines how underlying principles of beauty and geometry shaped places such as hospitals, palaces, gardens, colleges, mosques, inns, and Sufi lodges as well as their historical functions in Muslim societies. Students also study and reconstruct historic examples of artistic patterns. A rotating variety of case studies across Afro-Eurasia may include sites and cultural artifacts from Bukhara, Cairo, Cordoba, Damascus, Delhi, Fes, Granada, Guangzhou, Hyderabad, Istanbul, Isfahan, Jerusalem, Malacca, Samarqand, Timbuktu & more.",HISTORY 193S
Introduction to Jewish Studies,"Why and how do we study Jewish religion, history, culture, philosophy, and politics? Introduction to the Jewish scholarly world over three millennia with an emphasis on modern approaches and contemporary problems. Includes ancient texts, medieval philosophy, modern Jewish literature and film, Sephardi/Mizrahi traditions, responses to the Holocaust, American Jewish culture, Israel/Palestine, etc. Several Duke professors and other experts (rabbis, curators, community leaders) lead guest sessions. Includes at least one field trip to a local museum, cultural site, or organization. Part of the Focus cluster Science & Religion in Public Life.",HISTORY 195FS
Introduction to Jewish Studies,"Why and how do we study Jewish religion, history, culture, philosophy, and politics? Introduction to the Jewish scholarly world over three millennia with an emphasis on modern approaches and contemporary problems. Includes ancient texts, medieval philosophy, modern Jewish literature and film, Sephardi/Mizrahi traditions, responses to the Holocaust, American Jewish culture, Israel/Palestine, etc. Several Duke professors and other experts (rabbis, curators, community leaders) lead guest sessions. Includes at least one field trip to a local museum, cultural site, or organization. Counts as the Gateway course for the Jewish Studies Certificate.",HISTORY 195S
"Imagining Human Rights: Science Fiction, Culture, and the Creation of Rights","This course engages students in the intersection of speculative fiction and the history of ideas about human rights and what it means to be human. Using interdisciplinary tools, including history, anthropology, and public policy, students will explore created worlds and new ways of thinking about what rights humans—and other beings—have, how those rights are proposed, and what happens when those rights are contested. The course focuses on how the imaginary influences or presages the real, allowing us to experiment with what-ifs. Students will work in Duke's Locus Archives of primary documents on 20th-century science fiction spanning writers from China, the USSR., and Japan.",HISTORY 196S
Introduction to Asian American History,"An introduction to the historical experiences of the diverse communities of Asian America, from the mid-19th century to the early 21st century. Topics will include migration, immigration law, experiences of war, community formation, and political activism. Students will also gain experience working with primary sources.",HISTORY 198
Globalization and History,"Examination of globalization issues in a historical perspective. Reviews phenomena, institutions, e.g. empires, states, religion, corporation, and international agencies, and policies which enabled exchange of commodities, people, and cultures. Explores empirical evidence on growth and development for different world regions and historians' and social scientists' interpretations. Examines benefit of maintaining fine balance between quantitative evidence and historical analysis in assessing waning international integration of societies, markets, and cultures from first wave of European expansion to the present.",HISTORY 201
Gender and Socialism,"History of socialist feminism as a global political movement and philosophical-theoretical tradition with a special focus on its divergent national trajectories and conflict-ridden relationship with liberal feminism and socialist and communist movements and governments in Europe, Russia, China and US since the nineteenth century; offers an overview of European, Russian, Chinese and US history of the last two centuries; includes exploration of principles and aspirations that informed socialist theory of modern society, social justice, family, motherhood, parenthood, sexual difference, gender equality as well as public policies and legislation instituted or informed by the socialist tradition.",HISTORY 202
History of Global Health,"The course begins with the development of ancient medicine in Europe & China, and continues into the rise of biomedicine (e.g. laboratory science & microbiology) in the 19th and 20th centuries. Particular diseases illustrate important themes, such as the role of warfare in medical developments, the creation of international policy to control disease, and how non-Western societies intersected biomedicine. We trace global circulations of people and commodities to show how international agencies, charities and governing bodies have spread both disease and the means to fight it. Medicine has always been a global undertaking, and its history prepares us to address emerging health crises.",HISTORY 203
Histories of the Future: Hope in the Past and Present,"This class, offered in the Transformative Ideas Program, explores the ways in which people have imagined the future from Antiquity to the present. We begin with a study of the prophetic traditions in Judaism, Christianity, and Islam and the spread of apocalyptic ideas in medieval and Renaissance Europe. Then, we turn to the emergence of the Idea of Progress in the Enlightenment and beyond before tracing the interplay of apocalypticism and progressivism down to the contemporary period. Historically these visions of the future – one religious and one predominantly secular – have played a major role in shaping the human capacity for hope. But what can we do at present? Neither narrative exercises the hold it once did. Where – in a moment of global crises – do we turn for hope? x",HISTORY 204S
Wars of Empire: Europe's Small Wars of the 19th and Early 20th Centuries,"The 19th and early 20th century wars through which the modern European empires 'pacified' the regions they conquered were considered 'Small Wars': conflicts that were imbalanced, with well-trained and equipped troops on one side, and what one theorist called 'savages and semi-civilized races' on the other. In these clashes, 'civilized' Europe was expected to easily triumph, but Europe's great empires consistently found themselves challenged and thwarted by the indigenous forces on the battlefields of Asia and Africa. This course will look at examples from the histories of the British, French, Italian, and Russian Empires, discussing both the military and imperial contexts of these struggles.",HISTORY 205
"Great Powers Diplomacy, 1789-1914","This course will examine the political, economic, diplomatic and military relations of the Great Powers, 1789-1914. We will trace the development of the Great Power system within the context of the foundations of State power, examining topics including: (1) the diplomacy of the individual Great Powers; (2) the rise of non-European powers; (3) the military strategies of the Great Powers in peacetime and war; (4) the relationship between European continental commitments and world power; (5) the significance of technological advance for the strategic balance; (6) and the relationship between economic stability and diplomacy in the international system. We will end by exploring the collapse of the 19th century international system and the origins and outbreak of World War I.",HISTORY 206
Union Activism,"This course examines the past and present of U. S. union activism. This labor movement has been in prolonged decline in this country, but shown signs of revitalization as the gap between the earnings and opportunities for working people and the wealthy has grown larger than ever before. Readings and guest speakers will give students of rich view of labor organizing, with some written assignments. All students will gain hands-on experience by doing volunteer work with local labor movements. We will combine reflection about the history, problems, difficulties, and success of unionization through both our classroom and activist work.",HISTORY 207S
South African Past and Present,"Explores the history of modern South Africa from the beginning of the mineral revolution in the 1860s to the post-apartheid present. We will cover mining-centered industrialization, the emergence of Afrikaner and African nationalism, segregationist ideology, and the construction of apartheid. We will examine the plethora of anti-apartheid struggles, and the regional and wide-ranging global efforts to end apartheid and usher in democracy. The establishment and promise of multi-party democracy, the AIDS epidemic, and the reemergence of social movements are all topics we will consider and we will conclude by reflecting on the place of South Africa as a regional, continental, and world power.",HISTORY 208S
Islam in Asia,"Focus on the northern tier of Muslim-inhabited lands. The early spread of Islam among continental Asia's non-Arab peoples. The evolution of Muslim religious and cultural institutions under Mongol, Central Asian, Russian and Chinese empires. Asian Muslim encounters with European modernity and experience of Muslims under and after Soviet/Chinese socialist regimes.",HISTORY 209S
Global Islam,"A global history of Islamic thought, practice, spirituality, politics, and culture. This course analyzes the emergence of Islam and the spread of Muslim culture and learning across Africa, Asia, and Europe. It introduces how Muslims fostered a globalized economy and international community of scientists, scholars, agriculturalists, musicians, artisans, and philosophers of diverse backgrounds – along with other key themes that students may pursue in greater detail in future coursework. Gateway course for an interdisciplinary certificate in Islamic studies.",HISTORY 210
Islamic Civilization II,Continuation of Religion 375.,HISTORY 211
The Turks: From Ottoman Empire to European Union,"Readings in cultural history and literature to examine transformations in Turkish identity from the Ottoman era to EU accession. Discussion of the 'gazi thesis', the 'sultanate of women', religious tolerance (millets), conversion, modernity and nationalism. Secondary topics include Sufism, Islam, gender, and historiography. Interdisciplinary focus. Taught in English.",HISTORY 212
Secularism,"This course examines the theory and practice of secularism through a global and comparative historical lens. It interrogates how secularism is related to the concept of religion, from the formation and development of secularism to the policies and laws enacted by secular states. How are questions of gender equality, race, and the exercise of power connected to the practice of secularism? What is the place of religious tolerance, free speech, and minority rights in secular societies? How do secular states adjudicate questions of religion? A diverse range of case studies include Egypt, France, Senegal, Turkey, the United States of America, and beyond.",HISTORY 213S
The Modern Middle East,The historical development of the Middle East in the nineteenth and twentieth centuries. The emergence of nation-states in the region following World War I.,HISTORY 214
Shamanism and Spirit Possession,"Anthropological, psychological, and Religious Studies approaches to cross-cultural study of spirit possession and shamanism. Examination of in-depth case-studies and comparative works, from both literate civilizations and non-literate cultures. Engage with contemporary concerns with nature and boundaries of personhood and embodiment and their relation to leadership.",HISTORY 215S
"Between Moscow, Beijing and Delhi: Narratives of Europe and Asia","Exercise in reconstructing Eurasian history from the 13th century Mongol invasions to post-Soviet era through critical reading of eyewitness accounts—travel notes and memoirs. Reflects on political, religious, and cultural evolution, expansion, and rivalry as well as cross-cultural and trans-regional exchange.",HISTORY 216S
Modern & Global India,"Examines the historical foundations for the emergence of India as a modern and global society with a focus on the Mughal empire, British colonialism, and Indian nationalism. Uses textual and visual sources for charting how local political, social-economic and cultural factors intersect with the global movements of peoples, goods, technologies, and ideas in the creation of the modern nation-state of India. Concludes with discussion of globalization of Indian labor, food, and Bollywood. Time frame from 1500 to present.",HISTORY 218
Indian Civilization,"Surveys the rise of civilization and kingdoms on the Indian subcontinent from the first urban centers of the Indus Valley through the establishment of the Mughal Empire in the 16th century. Uses literary, archeological, linguistic, ethnological, and inscriptional evidence on the diversity of Indic peoples and their complex social, religious, and caste integration into the major states and empires of pre-modern India; considers wider civilizational networks and extensions of the Indian cultural sphere into other parts of Asia; integrates a historical and anthropological perspective on various primary materials.",HISTORY 219S
China from Antiquity to 1400,"Beginning with the early neolithic cultures, focus on the evolution of Han civilization, the formation of the imperial state system in China, ecological adaptations and foundations of the agrarian economy, the coming of Buddhism to China, and China's contacts with other peoples and regions of Asia up to A.D. 1400.",HISTORY 220
"Food, Farming, and Feminism","Viewing 'agriculture,' 'nature,' and 'consumption' as pressing feminist themes and exploration of various dimensions of the cultural and political ecology/economy of producing, processing, circulating, preparing, and consuming sustenance. Particular focus on the ethical impact of US policy on rural farm communities and developing nations.",HISTORY 221
Survey of Modern China 1800-Present,"The course introduces the broad political and social changes of the last two hundred years in China beginning with the Qing imperial era and the last emperors, to the Opium Wars, the turning point of the Taiping Rebellion, the Republican Revolution and Communist Revolution; with focus and introduction to critical thought on imperialism, nationalism and ethnicity, revolution and social change using primary documents, secondary readings and films.",HISTORY 223
9/11 and Its Aftermath: How Bin Laden Changed America and the World,"Course will examine the impact of the 9/11 attacks and the response to these attacks on America and the World. Study the historical, political, and sociological forces that gave rise to Al Qaeda, and it's ideology. Course will chart and assess the response to the attacks by the United States and its allies, including military actions, U.S. foreign policy, intelligence collection, law enforcement policy, and homeland security. Address thematic issues such as the impact of attacks on American history, politics, foreign policy, culture, and national cohesion.",HISTORY 224
Muslim Women Across the Ages,"This course explores the diverse realities of Muslim women's lives, from the origins of Islam to the present, through autobiographical and biographical accounts situated in their social, economic, political, and cultural contexts. The women we will encounter through textual and audiovisual materials represent a wide range of personal backgrounds, including scholars, mystics, merchants, philanthropists, poets, slavegirls, feminists, and Islamists. We will metaphorically travel across the globe and time to understand the multifarious facets of Muslim women's lived experiences.",HISTORY 225S
Ancient and Early Modern Japan,"Japan from earliest settlement to 1868; the Heian Court, rise of the samurai, feudal society and culture, the Tokugawa age, and the Meiji Restoration.",HISTORY 226
The Emergence of Modern Japan,A survey of modern Japanese history from 1850 to the present. Emphasis on social change as experienced by ordinary people. Includes a comparative overview of Japan's experience of modernity. This class is not open to students who have taken History 122A.,HISTORY 227
Chinatowns: A Cultural History,"Explores the intersection of space and ethnicity through the myriad ways Chinatown has circulated as memory, fantasy, narrative, myth, in the dominant cultural imagination, and how lived realities of overseas Chinese communities, Asian American history, and changing conceptions of 'Chineseness' have productively engaged with real and phantom Chinatowns. Research will emphasize multi-disciplinary approaches, such as urban history, architecture, ethnography, economics; or engagement in a creative project.",HISTORY 228
Asian American Community History,"How have Asian Americans built communities in the United States in the 19th and 20th century? This course explores the institutions, politics, cultural fabric, social relationships, and conflicts that have characterized East, South, and Southeast Asian American communities in the United States.",HISTORY 229S
Greek History,"The political and intellectual history of the Greeks from earliest times to the death of Alexander the Great. Not open to students who have had, or are taking, Classical Studies 181S.",HISTORY 230
