"course_code","course_title","credits","department","description"
"LAW 418","International IP & Policy Sem","2 credits.","Law School (LAW)","This seminar examines the major treaties and other international agreements providing protection for patents, trademarks, and copyrights and other forms of intellectual property, including the World Trade Organization TRIPS Agreements, the US free trade agreements and the World Intellectual Property Organization treaties. Particular attention will be given to the roles of the WTO and the WIPO. The course also examines some of the recent issues that have attracted controversy in the international arena as well as relevant recent developments in foreign countries, including the European Union member states and China.Offered by Law. May not be repeated for credit. Registration Restrictions:Enrollment is limited to Law level students. Schedule Type:Seminar, Writing Grading:This course is graded on theLaw Regular scale."
"LAW 419","Prosecuting Terrorism Seminar","2 credits.","Law School (LAW)","This course analyzes the tools used to investigate and prosecute acts of terrorism and violations of national security laws. A research paper is required. The class is designed to highlight in practical terms the tension between protecting the nation’s security versus protecting privacy and individual liberties. The course utilizes the “9-11 Commission Report” to give context for modern day investigations and prosecutions. It looks at constitutional issues associated with searches, seizures, confessions and freedom of the press. It looks at electronic surveillance techniques, the use of classified information at trial, and substantive statutes used to prosecute cases.Offered by Law. May not be repeated for credit. Registration Restrictions:Enrollment is limited to Law level students. Schedule Type:Seminar, Writing Grading:This course is graded on theLaw Regular scale."
"LAW 422","Immigration Policy Seminar","2 credits.","Law School (LAW)","This course will examine U.S. immigration policy as it is embodied in our laws and procedures and will ask how our nation’s immigration policy reflect on our values as a nation. The course will discuss whom we let in, whom we keep out, how do we treat the people already here, and why. The course is broken down topically along the lines of a typical immigration law class, but this course is not concerned with the mechanics of the immigration laws. The class is intended to reach into the policy goals, the implications of policy, and the unintended consequences of poorly designed policies.Offered by Law. May not be repeated for credit. Registration Restrictions:Enrollment is limited to Law level students. Schedule Type:Seminar Grading:This course is graded on theLaw Regular scale."
"LAW 425","Structure of Liberty Seminar","2 credits.","Law School (LAW)","This seminar will examine the manner in which constitutions may be designed to protect liberty, with an emphasis upon and a close reading of the debates of the Framers at their Convention in Philadelphia in the summer of 1787. The debates are the greatest and least read set of deliberations upon liberty and democracy, and have the excitement of a fine detective novel. The course will also examine the empirical literature of how presidential and parliamentary regimes have fared, when it comes to protecting liberty, and students will read Bagehot’s The English Constitution. The seminar will end with a look at the expansion of executive power in the U.S.Offered by Law. May not be repeated for credit. Registration Restrictions:Enrollment is limited to Law level students. Schedule Type:Seminar, Writing Grading:This course is graded on theLaw Regular scale."
"LAW 426","Homeland Sec & Law Sem","2-3 credits.","Law School (LAW)","This course is identical to Law 388 with the exception that it is conducted as a seminar and requires a seminar paper.Offered by Law. May not be repeated for credit. Registration Restrictions:Enrollment is limited to Law level students. Schedule Type:Seminar, Writing Grading:This course is graded on theLaw Regular scale."
"LAW 427","Health Law Seminar","2 credits.","Law School (LAW)","This seminar will provide students with an overview of the U.S. health care system and the laws and regulations affecting such complex industry in the provision of health care services and supplies to its direct and indirect consumers.  Students will learn the fundamentals of health laws, regulatory compliance, legislative and policy landscape.  They will also gain a basic understanding of the ethical considerations governing health law and public health policy.Offered by Law. May not be repeated for credit. Registration Restrictions:Enrollment is limited to Law level students.Students with the Current Wiley Program Student or Fully Online Term attributes maynotenroll.Students in the Mason Korea campus maynotenroll. Schedule Type:Seminar, Writing Grading:This course is graded on theLaw Regular scale."
"LAW 429","Persp on Indiv Family &","0-3 credits.","Law School (LAW)","This course is identical to Law 344 with the exception that it is conducted as a seminar and will require a seminar paper.Offered by Law. May not be repeated for credit. Registration Restrictions:Enrollment is limited to Law level students. Schedule Type:Seminar, Writing Grading:This course is graded on theLaw Regular scale."
"LAW 432","Intel Prop & Antitrust Seminar","2 credits.","Law School (LAW)","The seminar will focus on the U.S. approach to antitrust matters involving intellectual property rights, including conduct involving standard-essential patents, with comparison to foreign approaches by courts and agencies in Canada, China, Europe, Korea, Japan, and India. The course will include guest speakers from the U.S. antitrust agencies, as well as leading practitioners. Grading will be based on class participation and a seminar paper. There are no course prerequisites, but Antitrust I: Principles as a prerequisite, or concurrent enrollment in the course, is recommended.Offered by Law. May not be repeated for credit. Registration Restrictions:Enrollment is limited to Law level students. Schedule Type:Seminar, Writing Grading:This course is graded on theLaw Regular scale."
"LAW 435","Jurisprudence Seminar","0-3 credits.","Law School (LAW)","This is an interdisciplinary course introducing students to the fundamental question of post-World War II Anglo-American jurisprudence, the problem of deriving meaning from written texts. The derivation of meaning from written documents characterizes attorneys' work (interpreting cases and contracts, for instance), and is the essence of judges' work. But it also characterizes the work of biblical exegetes and of literary critics, and it turns out that the debates in those disciplines mirror those of modern jurisprudence. This course explores those debates, all the while examining the legal function as something possibly unique.Offered by Law. May not be repeated for credit. Registration Restrictions:Enrollment is limited to Law level students. Schedule Type:Seminar, Writing Grading:This course is graded on theLaw Regular scale."
"LAW 437","Federal Cir Prac Sem (E)","0-2 credits.","Law School (LAW)","A seminar on the practical aspects of appearing before the Federal Circuit, as well as the most relevant substantive issues currently before the Court. The seminar discusses the history of the Court, the purpose for its creation, the Court's jurisdiction, rules of practice, and the practical workings of the Court. Practical aspects of appearing before the Court will include opinion analysis, brief writing, and oral argument. The seminar also explores some of the more complex issues currently faced by the Court. Finally, the seminar will discuss Federal Circuit cases recently heard by the Supreme Court.Offered by Law. May not be repeated for credit. Registration Restrictions:Enrollment is limited to Law level students. Schedule Type:Seminar, Writing Grading:This course is graded on theLaw Regular scale."
"LAW 438","Pat Lit & Disp Res Sem (E)","0-3 credits.","Law School (LAW)","The course covers all core stages of a patent infringement action--from the filing of a complaint, to trial before judge and jury. Students work together as a litigation team representing one party in a patent infringement case against a team of students from Suffolk Law School in Boston. The course culminates in a trial either in DC or in Boston depending on the year. Throughout the semester, the students participate in the various aspects of the case including drafting pleadings, working on written and document discovery, briefing and arguing claim construction (before a judge), taking and defending depositions, preparing expert reports, drafting summary judgment motions, and presenting at trial. A wide variety of roles and responsibilities are available and involve varying degrees of writing, research, and oral advocacy skills. Patent Law I is a prerequisite for this course.Offered by Law. May not be repeated for credit. Registration Restrictions:Required Prerequisite:LAW 284D-.D-Requires minimum grade of D-.Enrollment is limited to Law level students. Schedule Type:Seminar, Writing Grading:This course is graded on theLaw Regular scale."
"LAW 439","Comparative Law Seminar","2 credits.","Law School (LAW)","This course offers an introduction to comparative legal systems. The course will survey the two main legal families, civil and common law. It will also look briefly at mixed legal systems. The second part of the course looks at specific areas of the law from a comparative perspective, in particular at comparative judicial politics. The final part of the course looks at recent developments in comparative law and economics, particularly the legal origins literature and the controversial relationship between law and development.Offered by Law. Limited to two attempts. Registration Restrictions:Enrollment is limited to Law level students. Schedule Type:Seminar Grading:This course is graded on theLaw Regular scale."
"LAW 442","Advanced Constitutional Law: Freedom of Religion Seminar","2 credits.","Law School (LAW)","This class examines the original meaning of the Free Exercise and Establishment Clauses as well as contemporary constitutional jurisprudence and conflicting schools of interpretation. This course is identical to Law 234 with the exception that it is conducted as a seminar and will require a seminar paper.Offered by Law. May not be repeated for credit. Registration Restrictions:Enrollment is limited to Law level students. Schedule Type:Seminar Grading:This course is graded on theLaw Regular scale."
"LAW 444","Legal Practicum: Global Antitrust Regulatory Comments","3 credits.","Law School (LAW)","This course provides students the opportunity to engage in the global antitrust community by analyzing an active proposal by a competition agency, legislative body or other governmental entity to enact or modify competition law and policy in a foreign jurisdiction. The course combines practical lectures with
hands-on experience in research and writing comments on behalf of the Global Antitrust Institute (GAI) along with the GAI faculty.Offered by Law. May not be repeated for credit. Registration Restrictions:Enrollment is limited to Law level students. Schedule Type:Writing Grading:This course is graded on theLaw Regular scale."
"LAW 445","Public Choice/Public","0-3 credits.","Law School (LAW)","Provides students with a critical introduction to and analysis of public-choice and social-choice literature and relates covered concepts to actual cases, statutes, and legal doctrines. Covered topics will include structural and evolutionary analyses of state and federal legislative decision-making processes; structural and evolutionary analyses of judicial decision-making processes, including the doctrines of stare decisis and justiciability; evaluating public choice and social choice based proposals to expand the reach of federal judicial review; examining the proper role, if any, of interest group theory in constitutional and statutory interpretation; delineating the spheres of public and private law; examining the role of public choice and social choice in developing a structural analysis of separation of powers and federalism; and evaluating the competing roles of efficiency and cycling on the evolution of legal doctrine. Specific coverage may vary from year to year.Offered by Law. May not be repeated for credit. Registration Restrictions:Enrollment is limited to Law level students. Schedule Type:Seminar, Writing Grading:This course is graded on theLaw Regular scale."
"LAW 446","Tax Policy Seminar","2 credits.","Law School (LAW)","This course offers an introduction to the principal policy considerations that arise by the efforts of governments to raise revenue. The topics addressed include the merits of different tax systems (e.g., income and consumption taxes), questions of tax administration and legal complexity, and the efficiency implications of taxation. The course involves reading and commenting on research articles that have been published in the areas the course examines.Offered by Law. May not be repeated for credit. Registration Restrictions:Enrollment is limited to Law level students. Schedule Type:Seminar, Writing Grading:This course is graded on theLaw Regular scale."
"LAW 448","Lw of Govt Oversight & Int Inv","0-3 credits.","Law School (LAW)","This seminar is intended to provide students with the knowledge and skills necessary to become effective practitioners in the fields of government oversight and internal investigations. In particular, this course will examine the role of the Department of Homeland Security, Office of Inspector General in protecting national security. Class sessions will rely on the case study method to illustrate relevant concepts related to internal investigations and program reviews. Discussion will focus heavily on Inspector General legal authorities, the report writing process, and effective interviewing techniques. In addition, collaborative partnerships are imperative to conducting oversight of domestic intelligence activities and national security investigations. Thus, legal authorities of the Department of Justice, the Office of the Director of National Intelligence, and the Department of Defense will also be discussed at length.Offered by Law. May not be repeated for credit. Registration Restrictions:Enrollment is limited to Law level students. Schedule Type:Seminar, Writing Grading:This course is graded on theLaw Regular scale."
"LAW 450","Wrongful Convictions Seminar","2 credits.","Law School (LAW)","This course will focus on systemic errors in our criminal justice system that lead to the conviction of innocent people. Students will learn about the causes and consequences of wrongful convictions, as well as about legal remedies available for correcting wrongful convictions and policy reforms for preventing them. Students will also be introduced to innocence case investigation and post-conviction procedure.Offered by Law. May not be repeated for credit. Registration Restrictions:Enrollment is limited to Law level students. Schedule Type:Seminar, Writing Grading:This course is graded on theLaw Regular scale."
"LAW 454","Bankruptcy Reorg Seminar","2 credits.","Law School (LAW)","This Seminar will cover the procedures, the strategies and the dynamics of corporate reorganization under Chapter 11 of the U.S. Bankruptcy Code. Among other topics, the Seminar will examine management of the debtor's business, financing the debtor while in bankruptcy, what goes into a plan of reorganization and confirmation of the plan. The Seminar will use as a case study a current or recent corporate chapter 11 reorganization case including student access to the Court's electronic docket. Bankruptcy is a prerequisite for this course.Offered by Law. May not be repeated for credit. Registration Restrictions:Required Prerequisite:LAW 167D-.D-Requires minimum grade of D-.Enrollment is limited to Law level students. Schedule Type:Seminar, Writing Grading:This course is graded on theLaw Regular scale."
"LAW 475","Adv Antitrust Sem","2 credits.","Law School (LAW)","This course will cover advanced topics in modern antitrust law, including recent Supreme Court cases and developments involving the Federal Trade Commission and the Department of Justice Antitrust Division. The course will examine selected topics, such as the controversies surrounding dominant firms and exclusionary conduct, as well as such areas as the interface between the antitrust laws and intellectual property, health care, efforts to limit antitrust immunity, the Noerr-Pennington doctrine and state action, and merger policy (including the treatment of efficiencies and measurement of entry), as well as an overview of EU competition law. The course will emphasize contemporary topics in antitrust analysis, with guest lecturers providing presentations on a range of topics, focusing on both US and European antitrust law. The course will conclude with the presentation of student research papers.Offered by Law. May be repeated within the degree for a maximum 2 credits. Registration Restrictions:Required Prerequisite:LAW 156D-.D-Requires minimum grade of D-.Enrollment is limited to Law level students.Enrollment limited to students with the Current Wiley Program Student attribute. Schedule Type:Seminar, Writing Grading:This course is graded on theLaw Regular scale."
"LAW 481","Food Law & Policy Seminar","2 credits.","Law School (LAW)","This seminar will explore a variety of timely issues and topics in the field of Food Law & Policy, which looks at the basis and impact of laws and regulations that govern the food and beverages we grow, raise, produce, transport, buy, sell, distribute, share, cook, eat, and drink. Through readings that include law review articles; features in the mainstream press; book excerpts; case law; and research, reports, and other materials produced by a variety of governmental and non-governmental sources, students will study the relationship between the laws and policies that structure our food system – and their intended and unintended consequences. The course focuses on myriad issues related to government action (or inaction) pertaining to food and discusses issues pertaining to laws and regulations created at all levels of government.Offered by Law. May not be repeated for credit. Registration Restrictions:Enrollment is limited to Law level students. Schedule Type:Seminar, Writing Grading:This course is graded on theLaw Regular scale."
"LAW 492","Intelligence Law Seminar","2 credits.","Law School (LAW)","This seminar will provide students with an overview of the U.S. Intelligence Community (IC) and its sources of legal authority. Students will engage in exercises (both written and oral) to analyze and draft practical guidance on relevant legal issues for the IC. Each class will involve an overview of the specific topic followed by either the drafting of a short memorandum addressing a hypothetical client question or a simulated inter-agency meeting. No security clearance is required since all materials and discussions will be at the unclassified level. Although this seminar is focused on issues most relevant to IC agencies, each week’s practical exercise will focus on drafting and/or negotiating skills useful and relevant to any government attorney.Offered by Law. May not be repeated for credit. Registration Restrictions:Enrollment is limited to Law level students. Schedule Type:Seminar, Writing Grading:This course is graded on theLaw Regular scale."
"LAW 493","Computer Crime Seminar","2 credits.","Law School (LAW)","This course will introduce students to the basic laws of computer crimes, including the Computer Fraud and Abuse Act and various laws relating to online piracy, inappropriate content, intellectual property protection, and the like.  The course will also cover challenges relating to the investigation and prosecution of computer crimes including the gathering and validation of digital evidence and attribution of online activities.Offered by Law. May not be repeated for credit. Registration Restrictions:Enrollment is limited to Law level students. Schedule Type:Seminar, Writing Grading:This course is graded on theLaw Regular scale."
"LAW 497","Emerging Lw of Internet Sem","2 credits.","Law School (LAW)","Increasingly technology has served as a disruptive force which challenges society to make important decisions about what privacy is and how it should be respected and/or protected. Students will survey the historical, policy and technological bases of privacy and information governance. Particular attention will be paid to notions of ""relationship dependent context"" as it relates to the collection, use and disclosure of information. Leading legal academic scholarship in the field of information privacy will be discussed and students will apply knowledge of the law of privacy and technology to current legal and policy problems. Each student will apply their acquired knowledge both in class as well as through the preparation of a scholarly student paper. Issues such as Do-Not-Track and Online Advertising, Security Breaches, Workplace Monitoring, Comparative International Approaches, Ownership of Facts and Information, Health and Financial Privacy and more will be covered.Offered by Law. May not be repeated for credit. Registration Restrictions:Enrollment is limited to Law level students. Schedule Type:Seminar, Writing Grading:This course is graded on theLaw Regular scale."
"LAW 500","Advanced LRWA Seminar (W)","0-3 credits.","Law School (LAW)","Limited to Writing Fellows in LRWA Program.Offered by Law. May be repeated within the degree for a maximum 6 credits. Registration Restrictions:Enrollment is limited to Law level students. Schedule Type:Seminar, Writing Grading:This course is graded on theLaw Regular scale."
"LAW 510","Scholarly Writing","2 credits.","Law School (LAW)","Scholarly Writing introduces students to writing and editing for scholarly legal journals. The primary emphasis of the course is the mechanics of writing a publishable quality case note or comment in one of George Mason's legal journals. The course also introduces students to editing and source checking professional pieces selected for publication by the journals. Scholarly Writing therefore seeks to improve the legal writing and editing skills of individual students, as well as the overall quality of George Mason's legal journals. As of Fall 2010, students receive two (2) total credits for this class. One (1) credit is ""in-class"" and one (1) credit is ""out-of-class."" Course is graded ""CR"".Offered by Law. May not be repeated for credit. Registration Restrictions:Enrollment is limited to Law level students. Schedule Type:Lecture Grading:This course is graded on theLaw CR (CN) scale."
"LAW 511","Law Journal Management","1 credit.","Law School (LAW)","Limited to incoming editorial board members of the law school’s academic journals. As of Fall 2010, students receive one (1) credit for this class which is “out-of-class” credit and graded “CR”.Offered by Law. May not be repeated for credit. Registration Restrictions:Enrollment is limited to Law level students. Schedule Type:Lecture Grading:This course is graded on theLaw CR (CN) scale."
"LAW 520","Supervised Externship (Comp)","0-2 credits.","Law School (LAW)","Through this program, students have undertaken externships in such varied places as the U.S. Department of Justice, the Federal Communications Commission, Capitol Hill, the Nature Conservancy, the Recording Industry of America, a variety of federal and state courts, the Alexandria Commonwealth Attorney's Office, the U.S. Patent and Trademark Office, Legal Services offices across the country, and more. Students secure these paid externships on their own in a variety of ways, including through the job posting information available in Career & Academic Services and networking. This pass/fail program is offered year round, and students may earn 2 out-of-class credits for 120 hours of field work completed over the course of a semester or 3 out-of-class credits for 180 hours of field work. Students must attend tutorials during the semester. Students may register for this program after having their internship and field supervisor approved by the course instructor.Offered by Law. May be repeated within the degree for a maximum 6 credits. Registration Restrictions:Enrollment is limited to Law level students. Schedule Type:Internship, Lecture Grading:This course is graded on theLaw CR (CN) scale."
"LAW 521","Supervised Externship (Comp)","3-4 credits.","Law School (LAW)","Through this program, students have undertaken externships in such varied places as the U.S. Department of Justice, the Federal Communications Commission, Capitol Hill, the Nature Conservancy, the Recording Industry of America, a variety of federal and state courts, the Alexandria Commonwealth Attorney's Office, the U.S. Patent and Trademark Office, Legal Services offices across the country, and more. Students secure these paid externships on their own in a variety of ways, including through the job posting information available in Career & Academic Services and networking. This pass/fail program is offered year round, and students may earn 2 out-of-class credits for 120 hours of field work completed over the course of a semester or 3 out-of-class credits for 180 hours of field work. Students must attend tutorials during the semester. Students may register for this program after having their internship and field supervisor approved by the course instructor.Offered by Law. May be repeated within the degree for a maximum 6 credits. Registration Restrictions:Enrollment is limited to Law level students. Schedule Type:Internship, Lecture Grading:This course is graded on theLaw CR (CN) scale."
"LAW 525","Supvd Extrn Capitol Hill (Comp","0-3 credits.","Law School (LAW)","Through this program, students have undertaken externships in such varied places as the U.S. Department of Justice, the Federal Communications Commission, Capitol Hill, the Nature Conservancy, the Recording Industry of America, a variety of federal and state courts, the Alexandria Commonwealth Attorney's Office, the U.S. Patent and Trademark Office, Legal Services offices across the country, and more. Students secure these paid externships on their own in a variety of ways, including through the job posting information available in Career & Academic Services and networking. This pass/fail program is offered year round, and students may earn 2 out-of-class credits for 120 hours of field work completed over the course of a semester or 3 out-of-class credits for 180 hours of field work. Students must attend tutorials during the semester. Students may register for this program after having their internship and field supervisor approved by the course instructor.Offered by Law. May be repeated within the degree for a maximum 6 credits. Registration Restrictions:Enrollment is limited to Law level students. Schedule Type:Internship, Lecture Grading:This course is graded on theLaw CR (CN) scale."
"LAW 579","Supvd Extrn VA Practice (Comp)","0-3 credits.","Law School (LAW)","This course is identical to Law 179 with the exception that students in Law 579 are compensated for the work being performed during their externships.Offered by Law. May be repeated within the degree for a maximum 6 credits. Registration Restrictions:Enrollment is limited to Law level students. Schedule Type:Internship, Lecture Grading:This course is graded on theLaw CR (CN) scale."
"LAW 604","Estate Planning Seminar (E)","0-3 credits.","Law School (LAW)","Includes a substantial writing requirement, with an emphasis on organization of facts, the development of problem-solving thought patterns, and performance of research, drafting, and writing skills that are involved in the practice of law. Income Tax, Trust and Estates, and Estate and Gift Taxation are prerequisites to this course.Offered by Law. May not be repeated for credit. Registration Restrictions:Required Prerequisites:LAW 236D-, 330D-and 219D-orLAW 221D-.D-Requires minimum grade of D-.Enrollment is limited to Law level students. Schedule Type:Seminar, Writing Grading:This course is graded on theLaw Regular scale."
"LAW 612","FTC Seminar","0-2 credits.","Law School (LAW)","The seminar will examine the FTC as an institution in its many facets. The Commission's two main missions, consumer protection and antitrust, provide it with a platform for involvement with major sectors of the economy. We will examine the Commission's structure, its legal authority, and how it uses that authority in pursuing its many activities. We will address numerous issues that currently occupy so much of the agency's time, including intellectual property, health care, privacy, consumer fraud, and many others. The seminar will conclude with presentation of research projects involving particular issues the Commission faces.Offered by Law. May not be repeated for credit. Registration Restrictions:Enrollment is limited to Law level students. Schedule Type:Seminar, Writing Grading:This course is graded on theLaw Regular scale."
"LAW 620","Federalism Seminar","0-3 credits.","Law School (LAW)","This seminar will examine a variety of topics in the political economy of constitutional federalism. Issues to be covered include the advantages and disadvantages of political decentralization, competition between state and local governments, the impact of federalism on the status of minority groups, the Founding Fathers' view of federalism, and the role of the judges in enforcing federalism through judicial review. While most of the course focuses on federalism in the United States, some readings will also employ a comparative perspective. Each student will be required to write a research paper on a federalism-related topic of his or her choice. Grading will be based partly on written work, and partly on class participation.Offered by Law. May not be repeated for credit. Registration Restrictions:Enrollment is limited to Law level students. Schedule Type:Seminar Grading:This course is graded on theLaw Regular scale."
"LAW 622","Jurisprudence Readings Seminar","0-3 credits.","Law School (LAW)","This seminar is devoted to a close reading of major works of legal and political philosophy. For instance, the seminar might consider justice and rhetoric in Plato, Aristotle, and Cicero, or the contributions of Adam Smith to American legal philosophy. Students who enrolled in Law 622 in prior years may enroll in the course a second time because the assigned readings change semester to semester.Offered by Law. May be repeated within the degree for a maximum 6 credits. Registration Restrictions:Enrollment is limited to Law level students. Schedule Type:Seminar, Writing Grading:This course is graded on theLaw Regular scale."
"LAW 624","State Attorneys General Sem","2 credits.","Law School (LAW)","This seminar course will cover the history, powers and duties, and initiatives of the state Attorneys General around the country. It will begin with an overview of the history of the Office of Attorney General, followed by a survey of the law and related issues pertaining to the jurisdiction, powers and duties of the Office and its role in state government. Over the course of the semester, a number of contemporary issues regarding the state Attorneys General and their enforcement authority in antitrust, consumer protection, criminal law and environment as well as in state-federal relationships will be discussed. Distinguished guest lecturers, who will offer insight on various high profile topics of interest, have been invited, including Attorneys General, former Attorneys General, and other members of the legal community.Offered by Law. May not be repeated for credit. Registration Restrictions:Enrollment is limited to Law level students. Schedule Type:Seminar, Writing Grading:This course is graded on theLaw Regular scale."
"LAW 635","Law and Religion Seminar","2,3 credits.","Law School (LAW)","The Law & Religion Seminar treats the law of the First Amendment to the U.S. Constitution, both the Free Exercise and the Nonestablishment Clauses, and the Religious Freedom Restoration Act, using the leading textbook in the field (McConnell, Garvey and Berg), and some supplementary readings to keep the student abreast of this area’s continual evolution. There is also some treatment of history, religious freedom in connection with family law topics, natural law, international religious freedom law, and leading religions’ doctrines and teachings concerning religious freedom. It is a paper course, requiring a 25-40pp paper, which accounts for 55% of the student’s grade. Class participation accounts for the remainder.Offered by Law. Registration Restrictions:Enrollment is limited to Law level students. Schedule Type:Seminar, Writing Grading:This course is graded on theLaw Regular scale."
"LAW 637","Animal Law Seminar","2 credits.","Law School (LAW)","This course is identical to Law 177 with the exception that it is conducted as a seminar and will require a seminar paper.Offered by Law. May not be repeated for credit. Registration Restrictions:Enrollment is limited to Law level students. Schedule Type:Seminar, Writing Grading:This course is graded on theLaw Regular scale."
"LAW 639","Disability Law Seminar","2 credits.","Law School (LAW)","This course surveys American law as it relates to people with disabilities. Primary focus is on discrimination in employment, education, government services, public accommodations run by private entities, and housing. The course will also cover issues involving the civil rights of institutionalized persons.Offered by Law. May not be repeated for credit. Registration Restrictions:Enrollment is limited to Law level students. Schedule Type:Seminar, Writing Grading:This course is graded on theLaw Regular scale."
"LAW 640","Antitrust III:  Advanced Antitrust Seminar","0-2 credits.","Law School (LAW)","This seminar has three components: (1) Readings and discussion of materials on current issues in antitrust in high tech markets and in relation to intellectual property. Readings will include court decisions, pleadings in pending cases, and secondary materials; (2) Guest speakers with diverse careers in antitrust; and (3) Your completion of a seminar paper on an approved topic, a draft of which you will present in class. Grades will depend upon the paper and your contribution to classroom discussion. Antitrust I: Principles is a prerequisite for this course.Offered by Law. May not be repeated for credit. Registration Restrictions:Enrollment is limited to Law level students.Students with the Current Wiley Program Student or Fully Online Term attributes maynotenroll.Students in the Mason Korea campus maynotenroll. Schedule Type:Seminar, Writing Grading:This course is graded on theLaw Regular scale."
"LAW 641","Surveillance Law Seminar","2 credits.","Law School (LAW)","This seminar course will expose students to laws and policies relating to government surveillance, from traditional criminal wiretaps to high tech surveillance conducted as part of the global war on terrorism. The course will involve a survey of the Fourth Amendment’s search and seizure case law and the application of that body of law to government surveillance efforts. Issues discussed will include: wiretaps in drug and organized crime cases; warrantless surveillance programs in the ’60-‘70s; legislative efforts to constrain surveillance; the expansion of government surveillance following the attacks of 9/11; and the implications of new surveillance technologies in an increasingly cyber- and technology-oriented world.Offered by Law. May not be repeated for credit. Registration Restrictions:Enrollment is limited to Law level students. Schedule Type:Seminar, Writing Grading:This course is graded on theLaw Regular scale."
"LAW 642","European Union Law Seminar","0-3 credits.","Law School (LAW)","This course aims to give students a comprehensive introduction to European Union law in light of the ongoing economic and political challenges facing the 28-country bloc. In the opening weeks, the course will survey the succession of treaties that have led to today’s EU and the institutions that govern the Union, and lay out key legal and political themes and principles associated with European integration. The middle portion of the course delves into the nature of the EU legal order, including the role of the judiciary, interaction with the domestic law of member states and with international law, and the Union’s increasingly important fundamental rights framework. The final segment, after spring break, covers data privacy law and migration issues, the basics of the EU internal market and competition (antitrust) framework, and the EU’s increasingly prominent and ambitious role as an international actor in its own right.Offered by Law. May not be repeated for credit. Registration Restrictions:Enrollment is limited to Law level students. Schedule Type:Seminar, Writing Grading:This course is graded on theLaw Regular scale."
"LAW 645","Global Antitrust Law Seminar","2-3 credits.","Law School (LAW)","The seminar will cover hot topics in global antitrust, including international due process; multinational case coordination and cooperation; efforts at international convergence, such as soft law recommendations by multilateral organizations like ICN and OECD; the use of non-competition factors in competition analysis, extraterritorial application of antitrust laws; and the intersection of antitrust and trade policy. The seminar will also provide an overview of competition law and major investigations and cases in key jurisdictions, such as Brazil, Canada, China, the European Union, India, Japan, and Korea. The course will include guest speakers, including from the U.S. antitrust agencies and leading practitioners.Offered by Law. Registration Restrictions:Enrollment is limited to Law level students.Enrollment limited to students with the Current Wiley Program Student attribute. Schedule Type:Lecture Grading:This course is graded on theLaw Regular scale."
"LAW 646","Hist & Foundation Admin State","2 credits.","Law School (LAW)","In this seminar, students will study the history and development of administrative agencies. Starting from the Founding era around the time of the Constitution’s ratification in 1788, the course will trace the law and theory surrounding administration, including the influence of intercontinental thought and theory on the development of American administration in the nineteenth and twentieth centuries. The course will consider questions related to the constitutional foundations of various forms of administrative action and administrative structure. The course will also trace the development of the contemporary relationship between administrative agencies and Congress, the President, and federal courts. The seminar will conclude with an examination of how this history might relate to modern controversies about the legal limits of administration.Offered by Law. May not be repeated for credit. Registration Restrictions:Law level students maynotenroll. Schedule Type:Seminar Grading:This course is graded on theLaw Regular scale."
"LAW 651","Federal Budget Law Seminar","2 credits.","Law School (LAW)","Studies the law underlying the federal budget process, including the preparation of the president's budget, the Congressional Budget Resolution, and the appropriations and reconciliation bills. Also examines the Constitutional provisions underlying the federal budget process.Offered by Law. May not be repeated for credit. Registration Restrictions:Enrollment is limited to Law level students. Schedule Type:Seminar Grading:This course is graded on theLaw Regular scale."
"LAW 654","Counterterrorism Law Seminar","2 credits.","Law School (LAW)","This seminar course will provide students with exposure to the laws and policies relating to U.S. government counterterrorism efforts and will survey the wide range of legal issues implicated by such efforts at home and overseas.  Issues to be addressed will include international and domestic law applicable to counterterrorism activities, the authorities for the use of force, offensive operations overseas, domestic counterterrorism efforts, surveillance of terrorists, capture, detention, and interrogation of terrorism suspects, prosecutions in military commissions and domestic courts, immigration matters, and other legal authorities for addressing terrorism issues.Offered by Law. May not be repeated for credit. Registration Restrictions:Enrollment is limited to Law level students. Schedule Type:Seminar Grading:This course is graded on theLaw Regular scale."
"LAW 659","Corp National Security Sem","2 credits.","Law School (LAW)","This course will cover a range of national security related laws and related matters particularly applicable to companies operating both in the United States and abroad, including sanctions laws, trade laws, executive orders, the Foreign Corrupt Practices Act, the Foreign Agents Registration Act, the National Emergencies Act, the International Economic Emergency Power Act, the Foreign Sovereign Immunities Act, the Logan Act, and matters relating to the Committee on Foreign Investments in the United States.Offered by Law. May not be repeated for credit. Schedule Type:Seminar Grading:This course is graded on theLaw Regular scale."
"LAW 663","Comparative Const","Lw Sem.2 credits.","Law School (LAW)","This seminar examines the constitutional law of 15 of the G-20 nations, which are constitutional democracies: the United States; the United Kingdom; France; Germany; Japan; Italy; India; Canada; Australia; South Korea; Brazil; South Africa; Mexico; Indonesia; and the European Union. The 13 class sessions will compare cases from all of these countries on the following topics: 1) Introduction; 2) Constitutionalism and Amendment rules; 3) Foundational Judicial Review cases; 4) Separation of Powers; 5) Federalism; 6) Bills of Rights and Unenumerated Rights; 7) Equality Rights; 8) Freedom of Expression; 9) Freedom of Religion; 10) Comparative Civil, Criminal, and Appellate Procedure; 11) Property Rights and Economic Liberties; 12) judicially enforceable entitlement benefits; and 13 Constitutional Guarantees of Democracy.Offered by Law. Schedule Type:Seminar Grading:This course is graded on theLaw Regular scale."
