"course_title","code","subject","description"
"Modern Latin America","HIST 315","HIST - History","A survey of Latin America since the 1800s. Students will examine the emergence of national identities and the processes of modernization and globalization in the region. The course also examines how race, social structures, and politics evolved after independence in the region, giving particular attention to the legacies of colonialism. Course readings and lectures highlighting unique national experiences and continuities across the region.  This course is offered atthe 100and 300level with additional assignments atthe 300level.  Not open to students who have takenHIST 121.  (Same asLAC 320.)"
"Ministers and Magicians:  Black Religions from Slavery to the Present","HIST 316","HIST - History","This course examines the history and diversity of African American religious expression from slavery until the present, emphasizing both mainstream and alternative faiths. It covers the religious world views of enslaved Africans, and examines faiths inside and outside of Christianity.  Topics may include: independent black churches, magical practices, the Holiness and Pentecostal movements, black Islam, religious freemasonry, and esoteric faiths. The class emphasizes the influence of gender, class, race, migration, and urbanization on black religion.  (Same asAAAS 316andAMS 316.)"
"Indian Territory","HIST 318","HIST - History","This course examines the cultural, social, economic, environmental, and political background of Indian territory in what is now the state of Oklahoma. It surveys the diverse geographical regions, tribal cultures, the impact of the Indian Removal Act, assimilation, acculturation, westward expansion, the Civil War, boarding schools, the Dawes Act, the Curtis Act, and land runs on Territory residents. The course also treats post-Civil War violence, outlaws, and the role of tribal courts along with controversies over removals, Land Run celebrations, allotment scandals, and Osage oil murders.  (Same asHUM 345andISP 345.)"
"History, Women, and Diversity in the U.S.","HIST 319","HIST - History","This survey course explores the history of being female in America through a focus on the ways differences in race, sexuality, ethnicity, class, and life cycle have shaped various aspects of women's lives.  Themes to be explored could include, but are not limited to:  social and political activism; intellectual developments; family; women's communities; work; sexuality; and culture.  (Same asWGSS 319.)"
"From Goddesses to Witches:  Women in Premodern Europe","HIST 320","HIST - History","This course examines the social, cultural, and political contexts of women's spirituality and their relations to gender relations in Europe from about 30,000 B.C.E. to the 16th century Protestant Reformation.  Lectures move both chronologically and topically, covering such subjects as goddess-worshiping cultures, women's roles in Christian and Jewish societies, symbols of women, and male attitudes toward women.  Students will be able to participate in weekly discussions of primary and secondary source readings about women.  (Same asWGSS 320.)"
"From Mystics to Feminists:  Women's History in Europe 1600 to the Present","HIST 321","HIST - History","This survey of women's history in Europe looks at changing patterns of women's economic roles and family structures in preindustrial and industrial society, the importance of women in religious life, cultural assumptions underlying gender roles, and the relationship of women to political movements, including the rise of feminism.  (Same asWGSS 321.)"
"LGBTQ U.S. History, 1600-1900","HIST 322","HIST - History","This course will take students on the first part of an exciting journey through an alternative version of U.S. history, exploring the experiences and treatment of men who love men, women who love women, and people with unconventional sexual and gender identities, telling this story as it unfolded in the British colonies established in North America, through the revolutionary period, and in the United States over the course of the nineteenth and twentieth centuries, and into the early twenty-first century. The first part of this two course sequence begins in the colonial period and ends around 1900 as modern categories of sexuality and sexual orientation came into existence.  We will examine the ways in which individuals who craved intimacy with members of the same sex understood and negotiated their desires in an often hostile world. And we will consider how Early America's remarkable diversity shaped this history of same-sex love and desire.  (Same asWGSS 322.)"
"LGBTQ U.S. History, 1900-Present","HIST 323","HIST - History","This course will take students on the second part of an exciting journey through an alternative version of U.S. history, exploring the experiences and treatment of men who love men, women who love women, and people with unconventional sexual and gender identities, telling this story as it unfolded in the British colonies established in North America, through the revolutionary period, and in the United States over the course of the nineteenth and twentieth centuries, and into the early twenty-first century. The second part of this two course sequence focuses on the twentieth and twenty-first centuries. We will examine the changing understanding of non-normative sex, love, and desire; the political tactics, framings, and fights around sexual identities and rights; and the intersection of structural inequalities including, but not limited to, race, class, ability, and gender with LGBTQ histories. Please note thatWGSS 322orHIST 322is not a prerequisite forWGSS 323or HIST 323, though students interested in LGBTQ history should consider taking both.  (Same asWGSS 323.)"
"History of Women and the Body","HIST 324","HIST - History","This course examines different notions about women and their bodies from a historical perspective.  It discusses the arguments and circumstances that have shaped women's lives in relation to their bodies, and women's responses to those arguments and circumstances.  This course covers a wide geographical and chronological spectrum, from Ancient societies to the present, from Latin America and the Middle East, to North America and Western Europe.  (Same asWGSS 324.)"
"The Spanish Inquisition","HIST 325","HIST - History","A broad historical study of the Spanish Inquisition from 1478 to its afterlife in modern culture, including its use in political debates and its depiction in popular culture. Topics include anti-Semitism, the nature of the inquisitorial investigation, the use of torture, censorship and the relationship between the Inquisition, the Spanish monarchy and other religious and lay authorities. Taught in English.  Will not count toward the Spanish major.  (Same asJWSH 315andSPAN 302.)"
"Native Americans Confront European Empires","HIST 326","HIST - History","Since 1492, Native American societies have struggled against European conquest and colonization. This course examines the history of Native American encounters with Europeans and their empires from 1492 through 1800 in North and South America. Native American cultures varied widely as did their interactions with Europeans of diverse nations. Using a comparative framework this course will examine the continuities and differences in indigenous reactions to European imperialism in the Americas. Themes of the course include: conquest, colonialism, religion, and resistance and accommodation."
"The Premodern Middle East","HIST 327","HIST - History","A survey of the history of the Middle East from the origins of Islam in the seventh century to the rise and consolidation of the Ottoman Empire in the eighteenth century.  Lectures and discussions focus on diversity within the Middle East at the height of the Islamic empires.  Topics include the life of Muhammad and early Islamic communities, expansion of Islam into Asia, Africa and Europe, intellectual strength in the medieval period, and the everyday lives of women, Christians, Jews and other minority groups."
"The Modern Middle East","HIST 328","HIST - History","A survey of the history of the Middle East from 1800 to the present. Lectures and discussions focus on diversity within the Middle East over two centuries of major political and cultural change.  Topics include causes for the decline of the Ottoman Empire, debates over modernization, European imperialism and the formation of nation-states, twentieth century cultural revolutions and women's activism, the Arab-Israeli conflict, and the revival of Islamic social movements."
"Age of Empires-The Atlantic 1400-1800","HIST 331","HIST - History","This course examines the history of empires in the Atlantic World. During this period African, European and Native American empires encountered each other vying for people and territory. These encounters vastly transformed the people and societies of this broad geographic region. Not only did these empires challenge each other, anti-imperial groups including pirates and African maroons actively undermined imperial systems. This course will examine themes of empire in the Atlantic including conquest, enslavement and slave trades, indigenous and African resistance, and independence."
"Sex in History","HIST 332","HIST - History","This course offers a survey of the history of human sexuality in the Western world; the second half of the semester emphasizes the American experience.  Topics for consideration may include:  masturbation, pornography, sex work, homosexuality, bisexuality, ""perversions"" (paraphilias), sex and marriage, racialized sexualities, sexual violence, trans* identities and experiences, sexuality and national identities, and colonialized sexualities.  The course demonstrates the various ways in which sex, specifically the social and political meanings attributed to physical acts, changes over time and shapes human experiences and interactions far beyond the bedroom.  (Same asAMS 323,HUM 332andWGSS 311.)"
"Eurometro:  Visions of the European Metropolis, 1849-1939","HIST 333","HIST - History","This course investigates the interrelated symbols of the European metropolis during the ""Age of Great Cities"", from the filth of the sewers to the ""filthiness"" of prostitution.  Students investigate gender and class in the metropolis by exploring a few stereotypes: the juvenile delinquent, the woman on the street, and the flaneur.  The course format stresses discussion of common texts, including short readings of literature from the period and historical scholarship.  Students also analyze contemporary photographs, art, architecture, and advertising."
"The Great War:  The History of World War I","HIST 334","HIST - History","A historical survey of the causes, course, and consequences of the conflict, 1878-1919, stressing its socio-economic dimensions as well as its political ramifications and military aspects.  Considerable use will be made of visual aids.  No prerequisites."
"History of Jewish Women","HIST 335","HIST - History","This course explores the history of Jewish women from antiquity to the twentieth century. It examines the historical constructions of women's gender roles and identities in Jewish law and custom as well as the social and cultural impact of those constructions in the context of the realities of women's lives in both Jewish and non-Jewish society. (Same asJWSH 335,WGSS 335.)"
"Ethics, Ideas and Nature","HIST 336","HIST - History","This course examines the ethical frameworks developed for thinking about, using, and protecting the natural world. Examples of topics include indigenous approaches to nature, the history of ecological ideas, environmental movements, the role of the state in managing resources, utilitarianism and progressivism, environmental lawmaking, wilderness advocacy, nature and theology, the rights of nature, and environmental justice. Students are introduced to the theories of duty ethics, justice ethics, utilitarianism, and rights ethics, and required to apply ethical decision making to contemporary and historical environmental issues. Multiple perspectives on the history of human interactions with nature demonstrate the importance of reflecting upon the value systems inherent in human-centered environmental ethics and nature-centered environmental ethics.  (Same asEVRN 336.)"
"History, Ethics, Modernity","HIST 337","HIST - History","This course will examine how human dignity is preserved and violated in the modern age. Cast in a global framework, themes may include the history of human rights; the moral universe of health and wellbeing; narratives of genocide and collective resistance; the shifting status and treatment of the poor and the colonized; and the impact of changing technology on ethics in medicine, science, and the environment."
"The History of the Second World War","HIST 340","HIST - History","A survey of the origins, course, and consequences of the war, 1930-1945.  Political, economic, military, and social aspects will be dealt with in the context of their global effects.  Extensive use will be made of motion pictures and other media."
"Hitler and Nazi Germany","HIST 341","HIST - History","An examination of the rise of Hitler and Nazism, beginning with the breakdown of 19th century culture in the First World War and continuing through the failure of democracy under the Weimar Republic. The course will also discuss the impact of Nazism on Germany and how Nazism led to the Second World War and the Holocaust. Particular attention is paid to the moral and ethical dilemmas facing individuals living under the Nazi regime, as well as those concerning victims and perpetrators in the Holocaust.  (Same asGERM 341andJWSH 341.)"
"The Holocaust in History","HIST 343","HIST - History","The systematic murder of the Jews of Europe by the Nazis during World War II is one of the most important events of modern history.  This course studies the Holocaust by asking about its place in history.  It compares other attempted genocides with the Holocaust and examines why most historians argue that it is unique.  Other topics covered include the reasons the Holocaust occurred in Europe when it did, the changing role of anti-Semitism, and the effects of the Holocaust on civilization.  The course also discusses why some people have sought to deny the Holocaust.  The course concludes by discussing the questions people have raised about the Holocaust and such issues as support for democracy, the belief in progress, the role of science, and the search for human values which are common to all societies.  (Same asJWSH 343.)"
"Hard Times:  The Depression Years in America, 1929-1941","HIST 345","HIST - History","An analysis of the experiences of the American people during the Great Depression.  Attention will also be given to the global dimensions of the crisis, socioeconomic dislocation, cultural and institutional change, and the impact of the Asian and European wars."
"Law and Society in America","HIST 346","HIST - History","Law and lawyers have powerfully shaped American values and institutions.  This course explores law's impact on American society from the age of European colonization through present.  Topics include liberty, public order, race and ethnicity, the family, property, speech, environment, and self-government.  The course also examines the changing images of lawyers and the law over time.  Course materials include not just statutes and court decisions, but literature, imagery, and popular culture materials."
"Environmental History of North America","HIST 347","HIST - History","A survey of changes in the landscape and in people's perceptions of the natural world from 1500 to present. Topics include agroecology, water and energy, the impact of capitalism, industrialism, urbanization, and such technologies as the automobile and the origins of conservation.  (Same asEVRN 347.)"
"History of the Peoples of Kansas","HIST 348","HIST - History","A survey of culture and society in Kansas from prehistory to the present.  Topics include Native American life, Euro-American resettlement, Bleeding Kansas and the Civil War, agricultural settlement, urbanization and industrialization, depression and recovery, and modern Kansas in transition.  Emphasis in the course will be on social and economic conditions, the experience of ethnic and racial groups, inter-racial relations, and the role of women."
"Antisemitism: A Long History","HIST 349","HIST - History","This course surveys the genesis, evolution and persistence of antipathy towards Jews and Judaism from late antiquity through the twentieth century, exploring its connections to religious and secular ideologies and its changing nature over time, place, and culture. Using primary source documents, religious and secular art and literature, the mass media and popular expression, the course examines how antisemitism was articulated and implemented, how Jews and Judaism were perceived and represented, and how Jews and Judaism responded to antisemitism.  (Same asJWSH 349.)"
"The Korean War, 1950-1953","HIST 350","HIST - History","An examination of the origins, pattern of development, and legacy of this still unsettled conflict, which in many ways set the tone for the entire post-1945 era of the Cold War.  Points of emphasis will include the motives and policies of the major participants (Koreans, Americans, Chinese, and Soviets), as well as the effects of the war on their domestic politics and foreign policy positions."
"American Indian and White Relations to 1865","HIST 351","HIST - History","This course provides an intensive survey of the Indians of North America from Prehistory to 1865, and focuses on ancient indigenous cultures, early European-Indian relations and the impact of European culture upon the indigenous peoples of North America.  (Same asHUM 348,ISP 348.)"
"American Indians Since 1865","HIST 352","HIST - History","This course examines American Indian/White relations from reconstruction to the present.  It surveys the impact of westward expansion and cultural changes brought about by the Civil War, forced education, intermarriage, the Dawes Act, the New Deal, the World Wars, termination, relocation and stereotypical literature and movies.  The class also addresses the Red Power and AIM movements, as well as indigenous efforts to decolonize and to recover and retain indigenous knowledge.  After learning about the past from both Native and non-Native source materials, students will gain multiple perspectives about historical events and gain understandings of diverse world views, values, and responses to adversity.  (Same asHUM 350andISP 350.)"
"Indigenous Peoples of North America","HIST 353","HIST - History","This course surveys the history of the first peoples to inhabit North America from prehistory to present.  Commonly and collectively referred to as American Indians, indigenous peoples include a diverse array of nations, chiefdoms, confederacies, tribes, and bands, each of which has its own unique cultures, economies, and experiences in dealing with colonial and neocolonial powers.  This class seeks to demonstrate this diversity while at the same time providing an understanding of the common struggle for political and cultural sovereignty that all indigenous nations face.  Indigenous nations that have developed a relationship with the United States will receive primary focus, but comparative reference will be made to First Nations of Canada."
"U.S. Borderlands Since 1848","HIST 355","HIST - History","This course discusses issues associated with the Mexican borderlands region after conquest and acquisition by the United States.  Themes include race relations, immigration, labor, economics, politics, culture, and the environment.  We discuss how the region was incorporated into the United States, and how this relationship is evolving.  We also examine the notion of a borderlands region and whether or not this is a valid characterization for Kansas."
"At the Movies: U.S. History on the Silver Screen","HIST 356","HIST - History","The motion picture was invented right here in the United States more than a century ago, and Americans have been going to the movies ever since. Movies have expressed their dreams and nightmares, aspirations and fears, hopes and dreads. Through a wide-ranging study of Hollywood films from the 1920s to the present, including the industry that created them and the people who watched them, this course explores what Americans have seen and felt at the movies."
"History of the American West","HIST 357","HIST - History","This course examines major themes in the history of the American West from Columbus to the present.  The course includes topics familiar to the American West such as the California Gold Rush and the Battle of Little Bighorn.  More importantly, it also offers a way of understanding North American history that is different from that of most U.S. history courses:  through the lens of imperial settlement.  The course focuses on:  1) cultural encounters between settlers and indigenous peoples as well as among Anglo settlers, the Spanish-speaking populations of the Mexican borderlands, and Asian immigrants to the Pacific Coast; 2) the impact of hunting, logging, ranching, and mining on the environment and the influence of the arid Western environment on human societies;and 3) the cultural symbolism of the American West in literature and film as an enduring national icon and ideology that has shaped settlement and regional history."
"The Vietnam War","HIST 358","HIST - History","This course is a survey of the Vietnam War. It covers the early days of Cold War, 1945-54, and all phases of the Vietnam War: the advisory phase (1955-64); the Americanization phase (1965 -68); the Vietnamization Phase (1969-73); and the final phase, the Vietnam Civil War, 1972-75. This course covers the causes, course, conduct, and consequences of the war and in so doing provides a political, military, and social history of the war."
"The Black Experience in the U.S. Since Emancipation","HIST 359","HIST - History","An interdisciplinary study of the history and culture of Black people in America from Reconstruction to the present. Topics covered include an analysis of Reconstruction, Black leaders, organizations and movements, the Harlem Renaissance, migration, and race relations. Demographic variables covered include socio-economic class, education, political persuasion, and influence by avant-garde cultural changes. (Same asAAAS 306andAMS 306.)"
"The American Way of War Since World War II","HIST 362","HIST - History","This course is a survey of American Military History from World War II to current military operations. It covers the Cold War, the Korean War, the Vietnam War, both Persian Gulf wars, the global war on terrorism, and the war in Afghanistan. The course examines the causes, course, conduct, and consequences of the wars and covers advances in technology and doctrine, civil-military relations, foreign policy, and inter-service rivalry, providing a political, military, and cultural history of the wars."
"Perspectives on Science, Engineering and Mathematics","HIST 363","HIST - History","This course places the historical creation of scientific and technological knowledge within a broader social, cultural, and political context. Students will learn that the STEM disciplines are not merely a static body of facts, theories, and techniques but involve diverse, evolving processes which are continually generated and reformulated. By examining the role of failure in knowledge creation, the religious motivations behind space exploration, the continued legacy of racist practices in medicine, the construction and ramifications of ""Big Science,"" and other topics, students will go beyond the ""genius inventor"" narrative to question the presumed neutrality and progressive inevitability of scientific and technological advancements. Through a mixture of online activities, readings, videos, and synchronous online discussions, we will also examine the formulation and codification of ""expertise,"" investigate the process of professionalization within the STEM fields, and interrogate how science and technology have supported systems of oppression throughout history."
"Angry White Male Studies","HIST 364","HIST - History","This course charts the rise of the ""angry white male"" in America and Britain since the 1950s, exploring the deeper sources of this emotional state while evaluating recent manifestations of male anger. Employing interdisciplinary perspectives  this course examines how both dominant and subordinate masculinities  are represented and experienced in cultures undergoing periods of rapid change connected to modernity as well as  to  rights-based movements of women, people of color, homosexuals and trans individuals.  (Same asAMS 365,HUM 365andWGSS 365.)"
"Magic and Superstition in European History","HIST 367","HIST - History","This course traces the changing role and understanding of magic in European culture, religion, politics and science from the late Middle Ages through the early 20th century.  Topics may include alchemy, miracles, magical healing, witchcraft, monsters and demonic possession."
"A History of Afro-Latin America","HIST 368","HIST - History","This course examines the history of Africans and their descendants in Latin America.  In this region, Africans could be found serving as militia commanders, laboring as skilled tradesmen, running their own businesses, working as household servants, and toiling on plantations.  Students will study the varied experiences of these men and women across colonial and national boundaries.  Topics include:  acculturation/ Creolization, manumission, family formation, social networks, economic roles, political mobilization, and interaction with indigenous peoples."
"The History of Modern American Conservatism","HIST 374","HIST - History","In this course students will gain an in-depth knowledge of modern American conservatism, primarily through the lens of political history.  We will focus on the development of the conservative political movement from the 1930s through contemporary times.  We will ponder several interrelated questions: how did conservatives build a movement capable of exercising political power; what do conservatives mean when they discuss equality, liberty, and freedom; how have conservatives conceptualized the role of the United States in the world; what role have ideas played in the conservative movement; how have different factions of conservatives fought for control of their movement while struggling to maintain political unity; and how have conservatives governed?  Finally, we will contextualize modern American conservatism in the broader, dynamic political culture of the United States."
"Immigrants, Refugees, and Diasporas","HIST 376","HIST - History","This course looks at people who choose to cross political borders, are forced to flee beyond them, or constitute ethnic minorities living outside a homeland. Examining these groups from a global historical perspective, this course explores how ethical debates about the rights of non-citizens and ethnic outsiders have evolved in the modern age. Students learn about important issues that have affected the lives of immigrants, refugees, and diasporas, including citizenship, mobility, cultural representation, asylum policies, and the concept of human rights. The course concludes with a look at contemporary manifestations of these issues, from debates over the place of Muslims in Europe to discussions about immigration policy in the United States.  (Same asGIST 376.)"
"Everyday Communism in Eastern Europe","HIST 377","HIST - History","This course investigates through film, literature, memoirs, photography, architecture, and scholarship the experience of ordinary citizens under Soviet-style communism in Eastern Europe.  We study the ways people supported, resisted, opposed, and merely got by under state socialism from the late 1940s to the collapse of Communism in 1989."
"Beyond the Iron Curtain:  Soviet Perspectives on the Cold War","HIST 378","HIST - History","This course reimagines the Cold War through Soviet eyes, challenging assumptions and offering less familiar perspectives on a global conflict. Analyzing Soviet and American mass media, popular culture, declassified documents, and personal stories, students investigate the following:  Who started the Cold War, and who won it?  Was it a time of relative peace or paranoia?  How did the two sides view each other and did espionage help them know each other better?  How did people and culture sometimes cross the iron curtain?  What were the Soviets doing in places like Latin America and the Middle East?  And why were both sides so concerned with Olympic athletes, ballet defectors, and cosmonauts?"
"Introduction to Public History","HIST 380","HIST - History","This course will introduce students to the methodological and theoretical practice of public history. The course aims to guide students to think about history beyond the book and acquaint them with examples of public histories such as museums, memorials, monuments, power of the archive, preservation through oral histories, and democratizing history through digital tools. Through class lectures and assignments, students will develop an understanding of how being a steward of historical knowledge can have a more significant effect once it reaches the broader public. The class will wrestle with topics such as: memory and historical preservation; democratizing history through digital tools; exhibits and monuments; power of archival collection; and funding institutions of public history.  This course will guide students to build a deeper understanding of historical practice but also to communicate effectively with the public.  (Same asMUSE 380.)"
"Israeli-Palestinian Conflict:  An Introduction","HIST 381","HIST - History","This course provides an introduction to the Israeli-Palestinian conflict including its history from the Ottoman period to the present day, the social and political effects on Israeli and Palestinian life and citizenship, official and unofficial narratives, and international responses.  (Same asGIST 329andJWSH 329andPOLS 369.)"
"United States in the 1960s","HIST 383","HIST - History","In the Sixties, millions of Americans rejected socially-sanctioned established wisdom, long-standing cultural precepts and conventional political policies and practices. In this gateway course we will examine how and why they did so, why so many other Americans rejected their challenges to the status quo, and what difference these rebellions made in Americans' lives. By placing their struggles in historical context, we will think about how and why people make and resist social change and how historical circumstances restrain and enable people's individual and collective ability to act and to make their own futures. Through readings, lectures, discussion, and various assignments students will have opportunities to debate the great questions of that era and ponder the relevance of historical events and understandings to their own lives and to the life of the nation, as they sharpen their analytic abilities and their capacity to communicate those analyses effectively. Formerly known asHIST 229. Not open to students with credit inHIST 229."
"Chicana/Latina Women’s History","HIST 384","HIST - History","This course delves into the diversity of experiences and viewpoints of Chicanas and Latinas residing in the United States, spanning from the twentieth century to the present era. The course offers a comprehensive examination of the historical significance of the terms ""Chicana"" and ""Latina,"" as well as its use among women of Latin American descent residing in the United States. The course will cover topics such as myths and stereotypes, labor activism, motherhood, Chicana and Latina feminism, women’s organizations, and the ongoing challenges faced by Chicanas and Latinas in their pursuit of societal recognition and representation.  Additionally, the course explores the many strategies employed by women to advocate for themselves and their communities. Lectures, discussions, and assignments will guide students to gain a deeper understanding of Chicana/Latina experiences, covering how they moved from activism to holding positions of power during the latter part of the twentieth century and into the twenty-first century in the U.S.  (Same asWGSS 384.)"
"Trans: A Global History","HIST 386","HIST - History","Transgender issues are in the news with almost daily references in mainstream and social media on medical, legal, and cultural aspects connected to transgender lives. Yet, despite increased trans visibility, we often overlook the fact that transgender people have a long history. This course addresses that shortcoming, by exploring not only the historical evidence of the existence of trans people in the past but explaining why documenting trans lives matters to us today. Trans history is as old as human history. Rigid gender categories are only characteristic of recent history and in mostly Western cultures. The history of trans individuals before the twentieth century is largely unknown, not due to a lack of sources, but because of the difficulties of translating trans experiences of the past to modern readers. Categories such as “transgender” did not exist before the twentieth century, and yet there have always been people who felt their lived gender did not conform with the gender they were assigned at birth. This course is structured thematically and chronologically as a survey of the history of transgender people while also examining how “trans” as a category has changed throughout history and in different cultures and geographies. An overarching thread of the course examines how  the prevailing view of a gender binary—human beings divided as either women or men—is only one of multiple ways of understanding gender.  (Same asWGSS 386.)  Prerequisite:  One prior course in WGSS or HIST or permission of instructor."
"Alexander the Great: Man and Myth","HIST 387","HIST - History","This course explores the life, times, and legacy of Alexander the Great (356-323 BCE). It covers the historical context of ancient Greece and Macedon from which Alexander emerged; his engagement with ancient Greek, Egyptian, and Persian cultures; his military campaigns; his aims in creating an empire; and the immediate aftermath of his conquests. In addition, the course considers the role of “great men” in history and historiographical problems in reconstructing the past. It also explores how the image of Alexander has been transmitted, interpreted, challenged, and reshaped from antiquity to the present. Topics may include: the use of the memory of Alexander by later Greeks and Romans; the medieval Alexander tradition; responses to Alexander in Middle Eastern and Indian thought and literature; the legacy of Alexander’s conquests in the age of empires; his transformation in Hollywood; and his contested place in the modern political dispute between Greece and North Macedonia.  (Same asCLSX 322.)"
"Julius Caesar: Man and Myth","HIST 388","HIST - History","This course explores the life, times, and legacy of Julius Caesar (c. 100-44 BCE). It covers Caesar’s early political career, his military campaigns, and his rise to power through civil war, with special attention paid to his aims, political reforms, and the institutions that enabled his rise to power. In addition, it considers the role of “great men” in history and historiographical problems in reconstructing the past. It also explores how the image of Caesar has been transmitted, interpreted, challenged, and reshaped from antiquity to the present. Topics may include: the impact of Julius Caesar in Rome with the creation of an empire ruled by “Caesars”;  Medieval responses to Caesar as tyrant, king, and emperor; Caesar as a paradigm of populist tyranny from the Renaissance to the present; the legacy of his literary output and the Romantic image of Caesar as a genius; his impact on the modern age of empires; and re-imaginings of Caesar in film, TV, and video games.  (Same asCLSX 323.)"
"Topics in Western History:  ______","HIST 389","HIST - History","A study of a specialized theme or topic in Western History. Students will examine major issues and methods of historical study through the study of a specific historical period or topical area.   This course grants HIST Category I credit.  May be repeated for credit when topic varies."
"Topics in Non-Western History:  _____","HIST 390","HIST - History","A study of a specialized theme or topic in non-Western History. Students will examine major issues and methods of historical study through the study of a specific historical period or topical area. This course grants HIST Category II credit.  May be repeated for credit when topic varies."
"Topics in (Honors):  _____","HIST 391","HIST - History","A study of a specialized theme or topic in History.  May be repeated for credit when topic varies.  Open only to students admitted to the University Honors Program. Prerequisite:  Permission of instructor."
"Made in China:  Chinese Business History","HIST 394","HIST - History","This course examines the development of business culture in China since 1900. Looking particularly at how it has transformed and adapted in response to China's own changing political environment as well as China's changing engagement with the West and Japan. We examine cases of western businesses in China and Chinese businesses in both China and the West.  Topics include the rise of industrialism, the role of foreign investment, China's role in the global market place, the relationship between business and the state, state-run enterprises, factory life, entrepreneurialism, advertising, consumerism, and economic nationalism."
"History of Sushi","HIST 395","HIST - History","Sushi, now served at Midwestern supermarkets and university cafeterias, reveals the transformation of an ancient Japanese dish into a global phenomenon. This course takes familiar Japanese dishes like sushi and ramen as starting points to ask how food accrues or sheds national characteristics in an age of globalization. To learn the origin of sushi and ramen, the class traces the evolution of the diet in the context of the development of Japanese civilization. Using the methodology of food history, course assignments include short research papers on Japanese foodstuffs; analyses of primary sources from statistics to comic books to movies; and short essays drawing from participant observation of Japanese foods now available locally."
"Hitler and Nazi Germany, Honors","HIST 396","HIST - History","An examination of the rise of Hitler and Nazism, beginning with the breakdown of 19th century culture in the First World War and continuing through the failure of democracy under the Weimar Republic. The course will also discuss the impact of Nazism on Germany and how Nazism led to the Second World War and the Holocaust. Particular attention is paid to the moral and ethical dilemmas facing individuals living under the Nazi regime, as well as those concerning victims and perpetrators in the Holocaust.  (Same asEURS 396, andGERM 396andJWSH 396.)  Prerequisite:  Membership in University Honors or consent of instructor."
"From Mao to Now:  China's Red Revolution","HIST 397","HIST - History","This course on China's Communist revolution considers the evolution of Maoism, or Chinese Communism, from its ideological origins through its implementation during and after the Chinese Communist revolution.  It examines major Maoist movements such as Land Reform, the Great Leap Forward, the Cultural Revolution, and the cult of Mao.  It further considers the globalization of Maoism by examining examples of other Maoist revolutions and revolutionaries in places like Cambodia, Peru, and Nepal."
"The Samurai","HIST 399","HIST - History","Japan's warrior class, the samurai, dominated politics and society for more than half of Japan's recorded history.  This course traces the history of the samurai from their origins to the dissolution of their class in 1877, examining their military role, philosophy, and cultural contributions.  It also considers continued references to the ""spirit of the samurai"" in the twentieth century."
"Indigenous People of the Great Plains","HIST 400","HIST - History","This course examines the emergence of horse-mounted indigenous societies in the Great Plains; the nature of the indigenous societies of the Great Plains in the nineteenth century; conflicts with the United States; the beginning of the reservation period; and indigenous people of the Great Plains in the modern era.  Readings combine primary documents and novels with selections from anthropology, social history, and environmental history.  (Same asISP 400.)"
"Case Studies in:  _____","HIST 401","HIST - History","Examination of a limited aspect of a general subject; other aspects of the same subject may be offered other semesters."
"War and Society in Greece and Rome","HIST 402","HIST - History","This course explores the military history of the ancient world, with a focus on the connections between warfare and political, social, and cultural developments. Through extensive reading, analysis, and discussion of a wide variety of ancient sources (literary, epigraphic, archaeological) and contemporary scholarship, this class will survey both the major developments in warfare in Greece and Rome, while at the same time investigating the relationship of military institutions, technologies, tactics, and strategies to the key political and economic changes, social structures, and value systems of antiquity. Beyond exploring famous and influential campaigns and battles (Persian Wars; Peloponnesian War; rise of Macedonia; Punic Wars; Roman civil wars; barbarian invasions), topics will include: hoplite warfare and the emergence of Sparta and Athens; sea-power, democracy, and imperialism; citizen militia and professionalization in Rome; trauma, triumph, and memorialization; gender roles and ethnic identity.  (Same asCLSX 402.)"
"Playing with the Past: History in Games and Gaming","HIST 403","HIST - History","Humans have played games since prehistoric times. Frequently games are more than just entertainment; they often convey political, cultural, social, economic concepts. Games are more than just leisure; they are historical texts that do work to shape our understanding of the past. This class examines the relationship between history and games. How do games portray history? How do they shape our understanding of the past? How can games help us understand the way that the past has influenced the present? How do games tackle historically constructed issues such as race and gender? Can games be used to challenge power systems, stereotypes, and social inequities? Students will be asked to play and analyze a variety of board games and videogames to better understand these questions."
"Technology and the Modern World","HIST 404","HIST - History","We live in a technological world. From the moment we wake up until the moment we fall asleep, our lives as modern human beings are defined by the existence of and our interactions with various technologies. Far from neutral, technologies embody the values, priorities, and power disparities of a society. As a result, their creation, use, and proliferation raise profound ethical questions such as their environmental impact, equitable access, and potential unintended consequences or ""spillover effects"".  In this class, we will apply ethical codes to key case studies within the history of technology to understand how moral issues inherent within contemporary discussions of emerging technologies have developed and changed over time."
"Women, Gender, and Sexuality in the North American West","HIST 405","HIST - History","This course will provide students with an overview of how the history of women have profoundly shaped and given meaning to the development of the North American West (which includes present-day states and provinces in the U.S., Canada, and Mexico). The class will examine the lives of women who represent diverse backgrounds, lands, and time periods in this western region. In addition to women, lectures, readings, and discussion will focus on the themes of gender, masculinity, class, race, ethnicity, sexuality, labor, and environment. Broad in chronological scope that spans pre-contact into the twenty-first century, this course is not a comprehensive survey. Rather, the class will examine how women and groups of women across the region defended, survived, explored, cultivated, and imagined the West as a place that defined their homes, migrations, settlement patterns, as well as sites of captivity, displacement, war, and development.   (Same asWGSS 305.)"
