"department","code","title","description","credits"
"Engineering Science (ESC)","ESC 460M","Multidisciplinary Design Project","This course will provide students with the opportunity to learn the design process in the context of an industry- or government-sponsored or service-based design project that demands delivering a working solution. The design projects in this course will be structured for students from two or more different engineering majors, as defined by the project sponsors in collaboration with the instructor and departmental project coordinators. While the projects may be supplied/supported/initiated by industry, topics may be related to the cutting-edge multidisciplinary research areas represented by the strengths and diversity of the Engineering Science faculty, such as nanotechnology, biomaterials, and other areas requiring cross-discipline collaboration. The project sponsor will provide the technical expertise for the project, a clear definition of all project deliverables, and the financial support to cover needed materials and supplies and travel costs. Project sponsors will be invited to attend two key events each semester: Project Kickoff in week 1 of the semester to define the project and answer questions from the students as well as the Design Showcase in week 15 of the semester, when teams present their project results to sponsors, faculty, other students, and the public. The College of Engineering will provide the facilities where the design teams will work together to develop the design concept and prototype solutions. Faculty members in the Department of Engineering Science and Mechanics will administer the course, including reading, evaluating, and grading the final project report, provide lectures on topics including on project management, design, product manufacturing, intellectual property, engineering ethics, societal/global/contemporary/professional issues, and related technical topics, and organize invited technical lectures related to industry projects. In accordance with standard procedures, specific multidisciplinary projects will be selected for this course to provide challenging design experiences for all students. The selection of these projects will be done by the course instructor prior to the start of each semester of the course offering. Multidisciplinary teams are be formed based on specific technical elements of the project and project scope.","3 Credits"
"Engineering Science (ESC)","ESC 460W","Multidisciplinary Design Project","This course will provide students with the opportunity to learn the design process in the context of an industry- or government-sponsored or service-based design project that demands delivering a working solution. The design projects in this course will be structured for students from two or more different engineering majors, as defined by the project sponsors in collaboration with the instructor and departmental project coordinators. While the projects may be supplied/supported/initiated by industry, topics may be related to the cutting-edge multidisciplinary research areas represented by the strengths and diversity of the Engineering Science faculty, such as nanotechnology, biomaterials, and other areas requiring cross-discipline collaboration. The project sponsor will provide the technical expertise for the project, a clear definition of all project deliverables, and the financial support to cover needed materials and supplies and travel costs. Project sponsors will be invited to attend two key events each semester: Project Kickoff in week 1 of the semester to define the project and answer questions from the students as well as the Design Showcase in week 15 of the semester, when teams present their project results to sponsors, faculty, other students, and the public. The College of Engineering will provide the facilities where the design teams will work together to develop the design concept and prototype solutions. Faculty members in the Department of Engineering Science and Mechanics will administer the course, including reading, evaluating, and grading the final project report, provide lectures on topics including on project management, design, product manufacturing, intellectual property, engineering ethics, societal/global/contemporary/professional issues, and related technical topics, and organize invited technical lectures related to industry projects. In accordance with standard procedures, specific multidisciplinary projects will be selected for this course to provide challenging design experiences for all students. The selection of these projects will be done by the course instructor prior to the start of each semester of the course offering. Multidisciplinary teams are be formed based on specific technical elements of the project and project scope.","3 Credits"
"Engineering Science (ESC)","ESC 475","Particulate Materials Processing","Fundamentals of processing particulate materials including production, characterization, handling, compaction, and sintering of metal, carbide, intermetallic, and composite powders.","3 Credits"
"Engineering Science (ESC)","ESC 481","Elements of Nano/Micro-electromechanical Systems Processing and Design","Interdisciplinary fundamentals of nano/microelectromechanical systems (NEMS/ MEMS), including design, fabrication and machining of miniature systems. Draws from mechanics, science and materials.  E SC 481 Elements of Nano/Micro-electromechanical Systems Processing and Design (3) The objective of the course is to introduce students to the theory and technology of nanofabrication. This objective is realized via the study of materials and devices for NEMS as well as nano-system's design, manufacture and packaging,. Emphasis on the interrelationships between material properties and processing, device/system structure, and the mechanical, electrical, optical, or (bio)chemical behavior of devices/systems. As taught, the course is multidisciplinary and requires adequate background in materials science, mechanics, and device physics. The course comprises lecture presentations and laboratory demonstrations. Students attending this course come from different engineering majors, physics, and materials science. The students are assessed using a combination of homework assignments, class presentations, group projects, and written quizzes and exams.","3 Credits"
"Engineering Science (ESC)","ESC 482","Micro-Optoelectromechanical Systems (MOEMS) and Nanophotonics","Principles and applications of Micro-Optoelectromechanical and Nanophotonic devices and systems.  E SC 482 Micro-Optoelectromechanical Systems (MOEMS) and Nanophotonics (3) E SC 482 provides the engineering student with a unifying and multifaceted description of MOEMS and nanophotonics. Students will learn the fundamental principles behind many novel micro- and nanophotonic devices and systems and their practical applications in the fields of communication, sensor and image technology.The course starts with an overview of the fundamental physics of semiconductors with emphases on silicon, III-V and II-V compound semiconductors due to their important applications in MOEMS and active nanooptoelectronic devices. Semiconductor nanostructures, such as epitaxial grown quantum wells and quantum dots, and chemically synthesized nanowires and collodial nanocrystals will be introduced through discussions on their unique electronic structures carrier transport and excitonic dynamics. In addition to inorganic materials, the structures and critical characteristics of electro-optic and light emitting polymers will also be reviewed for their fast-growing applications in display technology, sensory and information processing systems.The general principles for the design and operation of MOEMS and nanooptoelectronic devices will be discussed in the frame of geometrical optics, electromagnetic theory, and semiconductor physics. The reflection of light at dielectric interfaces will be reviewed to reveal the critical features of optical waveguide structures and to introduce the concept of surface plasma waves. In-depth descriptions will be given for the interband-and intraband- electron transition and exciton emission process in semiconductor quantum structures. Important instances of applying the 'quantum confinement' in nanostructures to tailor their optical and optoelectronic properties will be underscored during the mechanism-analysis of laser diodes, detectors and modulators. The new concept of 'photonic crystals' will be introduced through the analysis of parallelism between electron transport in semiconductor lattices and light propagation in periodic dielectric media.Following a brief survey of the state-of-the-art technologies for the fabrication of MOEMs and nanophotonic devices, the course topics will move to their application examples in the fields of communication, sensor and image technology. For each application example, analysis will be carried out on the design, fabrication, and characterization issues of the involved systems/devices. Their merit-of-performance will be linked to the application practice to illustrate how the introduction of MOEMs/nanophotonic devices advances the technology in each specific field. Important topics to be covered in this part include micromachined lightwave systems, microcavity light emitting devices, fiber based biological nanosensors, nanoparticle enhanced surface plasma resonance sensors, microspectrometers, and digital micromirror device (DMD)-based projection display engine.","3 Credits"
"Engineering Science (ESC)","ESC 483","Simulation and Design of Nanostructures","Introduction to computer simulation techniques and their applications at the physical/life sciences interface.  E SC (MATSE) 483 Simulation and Design of Nanostructures (3) Students will learn the simulation techniques and the design rules of nanostructures. Basic concepts of computer modeling will be introduced using quantum and classical approaches. Fundamental physical phenomena encountered in the molecular fields of computational physics, chemistry, and biology will be studied. Applications are drawn from a broad range of fields including soft and condensed matter to build an understanding of nanostructures.The course will assume knowledge and skill developed in the prerequisite courses ofPHYS 214andMATH 230. Students are expected to combine knowledge from other courses with information presented here to develop sophisticated interpretations and understanding of physical and chemical principles of nanostructures and their design rules.Evaluation methods to be used in this course will be two in-class examinations and one final period examination. The course contains a computer code generation and implementation component. Students will use commercial or educational computer codes (e.g. Matlab, Mathematica, AMBER, CHARMM, VASP, etc.) which are available at our high performance computing clusters (http://gears.aset.psu.edu/hpc/)/ Students will use the computing clusters to perform simulations which are accessible from any classroom or laboratory at Penn State.The principal objectives of the course is to learn the fundamental physics of nanostructures and to design them with computer simulations. This approach starts from classical molecular dynamics that apply on the large scale biological and synthetic assemblies and encompasses quantum mechanics for the molecular and atomic sizes. This course will give a broad scientific picture of simulation techniques in the area of nano-science and technology.","3 Credits"
"Engineering Science (ESC)","ESC 484","Biologically Inspired Nanomaterials","Advances in biomolecular-based Science and technology at the physical/life sciences interface.  E SC 484 Biologically Inspired Nanomaterials (3) Students will learn the concepts of molecular engineering and the advances in biomolecular-based science and technology at the physical/life sciences interface. Basic concepts of protein structure and function will be introduced. Applications from a broad range of fields, including condensed and living matter to build an understanding of device applications including biologically-inspired molecular-scale devices will be introduced.The course will assume knowledge and skill developed in the prerequisite courses ofPHYS 214andMATH 230. Students are expected to combine knowledge from other courses with information presented here to develop sophisticated interpretations and understanding of physical and chemical principles of molecular structures and their design rules.Evaluation methods to be used in this course will be two in-class examinations and one final period examination. The course contains a substantial writing component. Students will prepare bio-science and technology reports.The principal objective of the course is to learn and analyze molecular engineering technologies at the bio and nano interface. This course will give a broad technological picture of emerging protein technologies in the area of biomolecular materials.","3 Credits"
"Engineering Science (ESC)","ESC 494","Senior Thesis","Students must have approval of a thesis adviser before scheduling this course.","1-9 Credits/Maximum of 9"
"Engineering Science (ESC)","ESC 494H","Senior Thesis","Students must have approval of a thesis adviser before scheduling this course.","1-9 Credits/Maximum of 9"
"Engineering Science (ESC)","ESC 496","Independent Studies","Creative projects, including research and design, which are supervised on an individual basis and which fall outside the scope of formal courses.","1-18 Credits/Maximum of 18"
"Engineering Science (ESC)","ESC 497","Special Topics","Formal courses given infrequently to explore, in depth, a comparatively narrow subject which may be topical or of special interest.","1-9 Credits/Maximum of 9"
"Engineering Technology (ET)","ET 200","Graphic Communications","The study of graphic communications relating to the design and construction industry.","3 Credits"
"Engineering Technology (ET)","ET 300","Mechanics I: Statics","Equilibrium of coplanar force systems; analysis of frames and trusses; shear and moment diagrams; friction; centroids and moment of inertia.ET 300Mechanics I: Statics (3)This course is intended to provide the students with both the theory and application of the fundamental principles of static analysis by introducing free-body diagrams as a tool for solving statics problems. Students gain knowledge of Vector Mechanics, representation of physical quantitiesby a vector notation. Grasp the meaning of magnitude and direction of a vector; understand the definition of a unit vector. Master the mechanics of Vector Algebra. Emphasis will be placed on equations of equilibrium for particles and rigid bodies. Students are able to understand the physical meaning of a force and moment equilibrium. Master the balance of forces and moments to ensure equilibrium for 2D and 3D structures. This will be followed by analyzing internal forces in cables and bending moments in beams.","3 Credits"
"Engineering Technology (ET)","ET 321","Dynamics","Motion of a particle, relative motion; kinetics of translation; rotation and plane motion; conservation of energy and momentum.ET 321Dynamics (3)The students will be introduced to the fundamental concepts of dynamics for particles motion along straight and curved paths. The students will learn and utilize concepts in particle kinematics and study the relationship between the forces acting on a body, the mass of the body and the motion of the body by using Newton's second law of motion, the principle of work and energy and the principle of linear momentum and impulse. This will be followed by analyzing the rotation of a rigid body about a fixed axis, and extending kinematic concepts to plane motion of rigid bodies.The concepts of work, energy, linear momentum and angular momentum of a rigid body in plane motion will be introduced. The students will learn how to apply the principle of impulse/momentum to solve rigid-body planar kinetic problems that involve force, mass, velocity and time, and the principle of work/energy to solve problems that involve force, mass, velocity and displacement.Dynamics course will also provide students with the tools to obtain desired information from those models by solving the equations governing the motion of the system. Topics covered in Dynamics include: kinematics of particles, application of Newton's laws to particles, energy and momentum methods for particles, kinematics of rigid bodies, application of the laws of Newton and Euler to rigid bodies, and energy and momentum methods for rigid bodies.","3 Credits"
"Engineering Technology (ET)","ET 322","Strength of Materials","Axial, torsional, bending, and combined stress analysis; deformation and deflection analysis of cables, shafts, and beams; column design and analysis.ET 322Strength of Materials (3)Strength of materials deals with the relationship among the external forces acting on a body, the resulting stresses (intensity of internal forces) and the deformation (change of size or shape). The determination of proper sizes and material of construction of mechanical components and structural members to satisfy strength and deformation requirements are important topics of strength of materials. The students will be introduced to the concept of stress - normal, shear and bearing stress, and relate strain to stress using material properties. The students will develop an understanding of design parameters such as design stresses, factors of safety for axial loads, transverse loads and torsional loads, to design components such as beams and circular shafts satisfying strength and deformation requirements. The students will also learn to calculate moments of inertia, centroids and apply parallel axis theorem for moment of inertia. The students will be introduced to the concept of combined stresses and their analysis using graphical and analytical methods. Finally, the concept of buckling in columns will be introduced.","3 Credits"
"Engineering Technology (ET)","ET 323","Strength of Materials Laboratory","Measurement of mechanical properties of materials, structural testing.ET 323Strength of Materials Laboratory (1)The objective of the strength of materials laboratory is to demonstrate the basic principles in the area of strength and mechanics of materials to the undergraduate students through a series of experiments. Students will be conducting experiments using Universal Testing Machines to calculate tensile strength of steel and aluminum samples and experiments to measure hardness of non-heat treated and heat treated steels. Students will also test steel samples in single shear, double shear and impact loading, followed by experiments on the torsion testing machine to calculate torsional strength of aluminum samples and the strut apparatus to analyze different modes of buckling in a slender aluminum column. The laboratory demonstrates important concepts from the strength of materials theory course.","1 Credits"
"Engineering Technology (ET)","ET 495","Internship","Supervised off-campus, nongroup instruction including field experiences, practica, or internships.  Written or oral critique of activity required.","1-18 Credits/Maximum of 18"
"Engineering Technology (ET)","ET 496","Independent Studies","Creative projects, including research and design, that are supervised on an individual basis and that fall outside the scope of formal courses.","1-18 Credits/Maximum of 18"
"English (ENGL)","ENGL 2","The Great Traditions in English Literature","This course provides fundamental skills of textual analysis in the context of literary texts written in English, drama, and poetry (from the Middle Ages to the twentieth century) that address large questions of ethical and social value. Course reading includes English-language texts from around the world. Students learn to speak and write clearly about the ideas generated by the texts as they consider interpretive issues found in their assigned readings and participate actively in the various forms of critical thinking required to address those issues.","3 Credits"
"English (ENGL)","ENGL 4","Basic Writing Skills","Intensive practice in writing sentences and paragraphs and instruction in grammar, usage, and punctuation. Designed for students with deficient preparation. This course may not be used to satisfy the basic minimum requirements for graduation in any baccalaureate degree program.","3 Credits/Maximum of 6"
"English (ENGL)","ENGL 5","Writing Tutorial","Tutorial instruction in composition and rhetoric for students currently enrolled inENGL 4orENGL 15. This course may not be used to satisfy the basic minimum requirements for graduation in any baccalaureate degree program.","1 Credits"
"English (ENGL)","ENGL 6","Creative Writing Common Time","Required one hour a week meeting time; readings, professional development, advising, community-building.  ENGL 006 Creative Writing Common Time (1 per semester/maximum of 8) This course is to be required of all B.F.A. in Creative Writing majors at Penn State Erie as long as they are students in that degree program. This means that every semester they are working toward the B.F.A. in Creative Writing they must sign up for this course, and they must complete it successfully. Successful completion is based on regular attendance at the various functions, all held at the same one hour time period each week. The purpose of this course is to provide students with the necessary experience of listening to the writers of national stature brought to campus through The Smith Series, to provide them with lectures by both faculty and outside experts to help them develop professionally as writers, to allow for essential group advising for successful completion of the major, and to foster a sense of community among the student writers in the program.","1-8 Credits/Maximum of 8"
"English (ENGL)","ENGL 10","Group Writing Tutorial","Course Description:ENGL 10is a one-credit course that provides group tutorial instruction in writing for students currently enrolled inENGL 15. It is not a replacement for composition classes or individual conferences with theENGL 15instructor. Rather,ENGL 10offers the opportunity to learn about and practice writing in a collaborative, group setting and to become an active part of the writing community at Penn State. ThroughoutENGL 10, students work directly with texts and assignments from theirENGL 15course.","1 Credits/Maximum of 2"
"English (ENGL)","ENGL 15","Rhetoric and Composition","ENGL 15is an intensive, rhetorically based experience in reading and writing that will prepare you both to understand the communications that surround you and to succeed in your own communication efforts. Thus, in this course, we will focus specifically on analyzing verbal and visual texts (our reading) as well as on producing such texts (our writing), always in terms of rhetorical principles. Even if the term rhetoric isn't familiar to you, you bring a good deal of rhetorical skill to this class: you already know how to gauge the way you perceive and produce language according to the speaker, the intended audience, and the purpose. You may not always gauge perfectly, your perception may not always be accurate, and your production may not always be successful, but you still often try to interpret and choose language that is appropriate to the rhetorical situation. When you do not succeed, you often try again. The goal ofENGL 15, then, is to help you build on what you already know how to do as you become a more confident reader and writer. You will become more attuned to your goals as a writer, more aware of the ongoing conversation surrounding the topic, and more resourceful in terms of the appropriate delivery of your information, the rhetorical appeals at your disposal, and the needs and expectations of your audience. You will also learn to research and synthesize multiple outside sources in order to support your arguments effectively and ethically. In other words, we hope you'll come to write with skill, conviction, sophistication, and grace, if not immediately, then soon. In the process, you'll learn how to read more critically as well.","3 Credits"
"English (ENGL)","ENGL 15A","Rhetoric and Composition","English 15A is an intensive, rhetorically based experience in reading and writing that will prepare you both toENGL 15Ais a version ofENGL 15with an added emphasis on culture and diversity. The term diversity can have multiple definitions. During this class, you will sharpen your argumentation skills by exploring the many layers of this term as well as how it relates to issues of social justice, race, class, gender & sexuality, higher education, and more. By focusing on diversity and rhetoric & composition, you can become critical citizens inside and outside the university by using writing as a tool to engage actively and influentially with the communities you belong to and as an act of inquiry. This course attempts to emphasize diversity in a safe and yet provocative learning environment where you can develop sophistication as both a producer and consumer of knowledge as you explore and respect the diverse perspectives and backgrounds of your classmates. Major writing assignments for this course typically deal with issues of diversity in some form. understand the communications that surround you and to succeed in your own communication efforts. Thus, in this course, we will focus specifically on analyzing verbal and visual texts (our reading) as well as on producing such texts (our writing)-always in terms of rhetorical principles. Even if the term rhetoric isn't familiar to you, you bring a good deal of rhetorical skill to this class: you already know how to gauge the way you perceive and produce language according to the speaker, the intended audience, and the purpose. You may not always gauge perfectly, your perception may not always be accurate, and your production may not always be successful-but you still often try to interpret and choose language that is appropriate to the rhetorical situation. When you do not succeed, you often try again. The goal of English 15A, then, is to help you build on what you already know how to do as you become a more confident reader and writer. You will become more attuned to your goals as a writer, more aware of the ongoing conversation surrounding the topic, and more resourceful in terms of the appropriate delivery of your information, the rhetorical appeals at your disposal, and the needs and expectations of your audience. You will also learn to research and synthesize multiple outside sources in order to support your arguments effectively and ethically. In other words, we hope you'll come to write with skill, conviction, sophistication, and grace-if not immediately, then soon. In the process, you'll learn how to read more critically as well.","3 Credits"
"English (ENGL)","ENGL 15E","Rhetoric and Composition Enhanced","ENGL 15EEnhanced prepares students to understand the functions of and produce a variety of texts for public and academic audiences. Class size is limited to 18 (as opposed to the regular 24) and provides individualized instruction, regular engagement with peers, and weekly online tutorials. The combination of these resources helps familiarize students with conventional genres and practices of usage and style written discourse. The course is cohort-based and paced, which means that there is an established start and end date, and that students will have weekly deadlines to meet throughout the term.","3 Credits"
"English (ENGL)","ENGL 15S","Rhetoric and Composition","English 15S is an intensive, rhetorically based experience in reading and writing that will prepare you both to understand the communications that surround you and to succeed in your own communication efforts. Thus, in this course, we will focus specifically on analyzing verbal and visual texts (our reading) as well as on producing such texts (our writing)-always in terms of rhetorical principles. Even if the term rhetoric isn't familiar to you, you bring  good deal of rhetorical skill to this class; you already know how to gauge the way you perceive and produce language according to the speaker, the intended audience, and the purpose. You may not always gauge perfectly, your perception may not always be accurate, and your production may not always be successful-but you still often try to interpret and choose language that is appropriate to the rhetorical situation. When you do not succeed, you often try again. The goal of English 15S, then, is to help you build on what you already know how to do as you become a more confident reader and writer. You will become more attuned to your goals as a writer, more aware of the ongoing conversation surrounding the topic, and more resourceful in terms of the appropriate delivery of your information, the rhetorical appeals at your disposal, and the needs and expectations of your audience. You will also learn to research and synthesize multiple outside sources in order to support your arguments effectively and ethically. In other words, we hope you'll come to write with skill, conviction, sophistication, and grace-if not immediately then soon. In the process, you'll learn how to read more critically as well.","3 Credits"
"English (ENGL)","ENGL 30H","Honors Rhetoric and Composition","English 30H is an intensive, rhetorically based experience in reading and writing that will prepare you both to understand the communications that surround you and to succeed in your own communication efforts. Thus, in this course, we will focus specifically on analyzing verbal and visual texts (our reading) as well as on producing such texts (our writing)-always in terms of rhetorical principles. Even if the term rhetoric isn't familiar to you, you bring a good deal of rhetorical skill to this class: you already know how to gauge the way you perceive and produce language according to the speaker, the intended audience, and the purpose. You may not always gauge perfectly, your perception may not always be accurate, and your production may not always be successful, but you still often try to interpret and choose language that is appropriate to the rhetorical situation. When you do not succeed, you often try again. The goal of English 30, then, is to help you build on what you already know how to do as you become a more confident reader and writer. You will become more attuned to your goals as a writer, more aware of the ongoing conversation surrounding the topic, and more resourceful in terms of the appropriate delivery of your information, the rhetorical appeals at your disposal, and the needs and expectations of your audience. You will also learn to research and synthesize multiple outside sources in order to support your arguments effectively and ethically. In other words, we hope you'll come to write with skill, conviction, sophistication, and grace-if not immediately, then soon. In the process, you'll learn how to read more critically as well. As an honors section,ENGL 30His enriched by more rigorous requirements (longer papers, additional research component where the student is required to cite and engage critical sources and conversations). Participation requirements are also enhanced, making for a richer honors experience.","3 Credits"
"English (ENGL)","ENGL 30T","Honors Freshman Composition First-Year Seminar","English 30T is an intensive, rhetorically based experience in reading and writing that will prepare you both to understand the communications that surround you and to succeed in your own communication efforts. Thus, in this course, we will focus specifically on analyzing verbal and visual texts (our reading) as well as on producing such texts (our writing)-always in terms of rhetorical principles. Even if the term rhetoric isn't familiar to you, you bring a good deal of rhetorical skill to this class: you already know how to gauge the way you perceive and produce language according to the speaker, the intended audience, and the purpose. You may not always gauge perfectly, your perception may not always be accurate, and your production may not always be successful-but you still often try to interpret and choose language that is appropriate to the rhetorical situation. When you do not succeed, you often try again. The goal of English 30T, then, is to help you build on what you already know how to do as you become a more confident reader and writer. You will become more attuned to your goals as a writer, more aware of the ongoing conversation surrounding the topic, and more resourceful in terms of the appropriate delivery of your information, the rhetorical appeals at your disposal, and the needs and expectations of your audience. You will also learn to research and synthesize multiple outside sources in order to support your arguments effectively and ethically. In other words, we hope you'll come to write with skill, conviction, sophistication, and grace-if not immediately, then soon. In the process, you'll learn how to read more critically as well. As an honors section,ENGL 30Tis enriched by more rigorous requirements (longer papers, additional research component where the student is required to cite and engage critical sources and conversations). Participation requirements are also enhanced, making for a richer honors experience.","3 Credits"
"English (ENGL)","ENGL 50","Introduction to Creative Writing","If you enjoy writing to express yourself creatively - you will be at home in this course. You will also be at home here if you are an avid reader of fiction, poetry, and nonfiction, but have never tried your hand at writing it. InENGL 50you will explore the genres of nonfiction, fiction, and poetry by reading published essays, short stories, and poems and by writing personal essays, sketches, scenes, and poems. We'll discuss the relationship between the genres and also discuss what makes each a distinct art form. You'll hand in regular writing assignments in addition to completing longer writing projects. You'll share some of your creative work to discuss in class.","3 Credits"
"English (ENGL)","ENGL 50H","Introduction to Creative Writing","This course provides students with an introduction to, and extensive practice in, creative writing in the three genres of fiction, nonfiction, and poetry. The course includes instruction in principles of composition in each genre, as well as techniques of literary composition that cross and interlink those genres. If you enjoy writing to express yourself creatively--you will be at home in this course. You will also be at home here if you are an avid reader of fiction, poetry, and nonfiction, but have never tried your hand at writing it. In English 50H you will explore the genres of nonfiction, fiction, and poetry by reading published essays, short stories, and poems and by writing personal essays, sketches, scenes, and poems. We'll discuss the relationship between the genres and also discuss what makes each a distinct art form. You'll hand in regular writing assignments in addition to completing longer writing projects. You'll share some of your creative work to discuss in class. This is an honors course.","3 Credits"
"English (ENGL)","ENGL 83S","First-Year Seminar in English","Each section of the course will focus on a well-defined body of scholarship that is topical in the discipline, such as ""Ethical Dilemmas in Literature,"" ""Individual Freedom and Social Constraint in Literature,"" ""Global Cultures, Local Identities,"" ""American Landscapes, American Literatures,"" ""Shakespeare,"" ""Vital Rhetorics,"" and ""Turning 2000: Nostalgia and Popular Culture at the Turn of the Century."" In addition to the academic topic and issues of this course, students can expect to gain a general introduction to the University as an academic community and have the opportunity to explore their responsibilities as members of that community. Students will develop an understanding of the learning tools and resources available to them, including the opportunity to develop relationships with faculty and other students who share their academic interests. Each section of 83S will require active class participation from all students and a minimum of three substantial written assignments. Each of these written assignments will take one of the following forms: essay, essay exam, or a semester long reading journal. The course fulfills a General Education humanities requirement or a bachelor of arts humanities requirement.","3 Credits"
"English (ENGL)","ENGL 88","Australian/New Zealand Cultural Perspectives","Australian and New Zealand cultural and social perspectives, with emphasis on the historical development of intellectual, aesthetic, and humanistic values.ENGL 88Australian/New Zealand Cultural Perspectives (3) (GH)(BA) This course meets the Bachelor of Arts degree requirements. Students are expected to learn fundamental skills of close textual analysis in the context of the study of a variety of works by authors from Australia and New Zealand. Studying a range of novels, poems, plays, and works of non-fiction, students will discuss the development of Australian and New Zealander literatures in historical context and gain understanding of the historical development of societal values in nations other than the U.S.A. The course aspires to relate geography and history to emerging social and cultural developments as the state and status of the two countries changed during the nineteenth and twentieth centuries, and to track their increasing separation from the ""Mother Country""; (i.e. Great Britain) as they developed a sense of themselves as different and separate from European societies. The process was neither comfortable nor easy, nor steadily progressive, but the record of it is an often fascinating story of human endeavor and struggle, very frequently against great odds and disappointments, which in turn affected the development of national character if such a thing can be said to exist.The literatures reflect some of the attitudes and qualities that emerged as the two societies were coming into being and forging their own unique identities.","3 Credits"
"English (ENGL)","ENGL 97","Special Topics","Formal courses given infrequently to explore, in depth, a comparatively narrow subject which may be topical or of special interest.","1-9 Credits/Maximum of 9"
"English (ENGL)","ENGL 98","Special Topics","Formal courses given infrequently to explore, in depth, a comparatively narrow subject which may be topical or of special interest.","1-9 Credits/Maximum of 9"
"English (ENGL)","ENGL 100","English Language Analysis","An examination of English sounds, words, and syntax using traditional, structural, and transformational grammar.","3 Credits"
"English (ENGL)","ENGL 101","Introduction to Literature","InENGL 101students will study a wide variety of forms of literature --- poetry, novel, short story, drama, graphic novels --- from different time periods and cultures to gain a better understanding of how literature explores human values and issues. Throughout the course, students might use the texts to ask such questions as: of what value is a play, a novel, a poem, or a short story? Is literature worthwhile for its ability to tell a good story or for its questions that do not lend themselves to easy answers? Can literature improve our lives, individually and collectively? The course may also take advantage of literary events occurring on campus each semester--such as poetry readings, dramatic performances, even films relating to the course --- to enrich the experience both of literature and of campus life.","3 Credits"
"English (ENGL)","ENGL 103","The Great Traditions in American Literature","Fred Lewis Pattee's career at Penn State marks the beginning of a heyday for the study of American literature. By the 1930s, prominent American critic Granville Hicks hailed what he dubbed ""the great tradition of American literature"" as a series of key themes in American writing, including folk traditions, politics, business, labor, social critique, fugitives, and flight. Since Hicks's time, literary scholars have contested the very notion of any ""great tradition,"" because so many different authors have always participated in the American literary scene. This course examines American literature by looking at the dynamic and varied literary productions that, across time, have comprised the American literary canon, even as it calls into question the notion of whether America ever had a single literary canon, whether historically or in the present day. Students will learn how access to educational institutions, to writing equipment, and to printed and graphic materials all influenced who might become an author, and who, a reader. They will also learn how changing political and cultural institutions influenced writers' literary production and literary achievements. With text selection at the instructors' discretion, students will study poetry, fiction, non-fiction, oratory, and drama, and they will examine many of the most enduring themes in American literature: religion; moral and ethical ideals; the lure of mobility, especially upward mobility (or absence of it); gender dynamics; enslavement, abolitionism, and emancipation; race and ethnicity; the lure (and social complications) of the American West; American pragmatism; love and loss; hope and despair. Students will be asked to take up such questions as the following: Who has had a voice in American literary history? Why are some writers more frequently studied than others? Who determined what should be considered ""great"" literature inside the academy? In what ways does the study of American literary history uphold American values of freedom and freedom of expression? Who had access to publication, when, and under what circumstances? How does the publishing marketplace influence readers' choices regarding ""great"" American literature? How do educational institutions influence readers' choices? The course aims to provide a foundation for further study of American literature by equipping students with an understanding of the American literary past and its complex relationship to American culture and to American educational, political, and marketing institutions. Instructors might examine one or two key themes in the tradition, or they might ask students to learn about sweeping literary movements across time.","3 Credits"
"English (ENGL)","ENGL 104","The Bible as Literature","This course examines the literature of the Bible. Throughout this course, students will study the language, thought, images, and structures of the book that has arguably proved the central text of Western literature. Students will also actively explore the ways in which the Bible has shaped the literature of English-speaking cultures around the world. Students will read substantial portions of the Old and New Testaments, learning to read critically and to interpret the Bible as they would any other literary text. They will also learn about the historical construction of the Bible, some history of its translation, and contemplate the competing versions of existing Biblical texts. Accordingly, reading the Bible as literature by necessity requires critical engagement with different international cultures from different historical periods.","3 Credits"
"English (ENGL)","ENGL 105","American Popular Culture and Folklife","AMST 105/ENGL 105offers a survey of popular culture and folklife in America's past and present. The course synthesizes a broad scope of materials from areas such as literature, movies, television, sports, amusement parks, music, media, and advertising. While selected topics for readings, lectures, and discussion vary from class to class, all courses focus on a critical examination of a variety of popular and folk cultures in order to produce an enriched understanding of America, its past, its diverse cultures, its evolving values and traditions, and its inhabitants. To meet this goal, popular and folk cultures will be examined from a variety of perspectives, including race, gender, and class.AMST 105may be taken by students pursuing the American Studies major; for them, the course provides preparation for more advanced courses in American folklore, American literature, and American cultural history. Non-American Studies students may use this course to fulfill the general education requirement (GH). Students will receive the US designation for this course, and it meets the Bachelor of Arts degree requirements.","3 Credits"
"English (ENGL)","ENGL 106","The Lynd Ward Graphic Novel Prize","This course is offered in tandem with The Lynd Ward Graphic Novel Prize, sponsored and administered by Penn State University (the first prize of its kind in the United States). The Lynd Ward Prize is awarded annually to the best graphic novel, fiction or non-fiction, published in the previous calendar year by a living U.S. or Canadian citizen or resident. The course provides background for the history of the graphic novel in the United States, with a focus on Lynd Ward's woodcut novels from the 1930s. Students also study the winning book, attend the award ceremony and public talk from the creator(s), and meet with the creator(s) to discuss their work. This is a one-credit course with limited meetings.","1 Credits/Maximum of 3"
